run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
1,audio/empty,old,79275.0,76818.8,99543.8,172609.2,12614.3,6,5,6,1251,1251
1,audio/empty,new,83418.8,77343.8,85831.2,175613.7,11987.7,6,5,6,1251,1251
1,audio/one,old,141293.8,137887.5,174106.2,308507.2,7077.5,12,10,12,2567,2567
1,audio/one,new,93431.2,86131.2,121543.8,205205.1,10703.1,12,10,12,2411,2411
1,audio/accepted128,old,6055718.8,5951162.5,6232925.0,13180247.9,21137.0,647,650,647,161379,161379
1,audio/accepted128,new,396712.5,392587.5,443581.2,863142.6,322651.8,647,650,647,141411,141411
1,audio/mixed640,old,29234343.8,29034225.0,29820250.0,63642542.6,21892.1,3207,3210,3207,769635,769635
1,audio/mixed640,new,847118.8,834375.0,856581.2,1839547.2,755502.1,1159,650,1159,150627,150627
1,audio/rejected512,old,23274168.8,22830968.8,23550462.5,50678941.8,21998.6,2566,2565,2566,609507,609507
1,audio/rejected512,new,536081.2,527737.5,552375.0,1171169.7,955079.1,518,5,518,10467,10467
1,graphics/empty/multifalse,old,84568.8,81412.5,87737.5,185395.2,11824.7,7,5,7,1368,1368
1,graphics/empty/multifalse,new,85306.2,79518.8,93693.8,186835.6,11722.5,7,5,7,1368,1368
1,graphics/empty/multitrue,old,87362.5,80268.8,93956.2,185683.3,11446.6,7,5,7,1368,1368
1,graphics/empty/multitrue,new,84018.8,77706.2,101668.8,183954.8,11902.1,7,5,7,1368,1368
1,noteskin/empty,old,117543.8,115650.0,130637.5,254167.3,8507.5,12,10,12,2582,2582
1,noteskin/empty,new,116618.8,102468.8,131112.5,255580.3,8575.0,12,10,12,2582,2582
1,graphics/one/multifalse,old,155200.0,137037.5,181037.5,340183.8,6443.3,18,12,18,3227,3227
1,graphics/one/multifalse,new,102093.8,97325.0,118450.0,223643.1,9794.9,18,12,18,3051,3051
1,graphics/one/multitrue,old,146187.5,144318.8,157131.2,320250.5,6840.5,18,12,18,3227,3227
1,graphics/one/multitrue,new,93793.8,88406.2,160543.8,205342.2,10661.7,18,12,18,3051,3051
1,noteskin/one,old,155493.8,152012.5,180806.2,340814.9,6431.1,21,15,21,4196,4196
1,noteskin/one,new,111493.8,103831.2,123356.2,244248.6,8969.1,21,15,21,4020,4020
1,graphics/accepted128/multifalse,old,6394712.5,6343768.8,7071131.2,13921595.4,20016.5,1168,906,1168,226724,226724
1,graphics/accepted128/multifalse,new,546812.5,532387.5,612775.0,1190650.3,234083.9,1168,906,1168,204196,204196
1,graphics/accepted128/multitrue,old,6496193.8,6326368.8,6769950.0,14103725.4,19703.8,1168,906,1168,226724,226724
1,graphics/accepted128/multitrue,new,546631.2,525181.2,590162.5,1189415.6,234161.5,1168,906,1168,204196,204196
1,noteskin/accepted128,old,6147418.8,6118775.0,6389575.0,13374587.6,20821.7,916,655,916,192578,192578
1,noteskin/accepted128,new,508531.2,494356.2,519912.5,1104126.1,251705.3,916,655,916,170050,170050
1,graphics/mixed640/multifalse,old,29755237.5,29652318.8,30325581.2,64753117.6,21508.8,3728,3466,3728,850340,850340
1,graphics/mixed640/multifalse,new,987650.0,972100.0,999612.5,2151196.1,648002.8,1680,906,1680,213412,213412
1,graphics/mixed640/multitrue,old,29885993.8,29516187.5,29977493.8,65056109.6,21414.7,3728,3466,3728,850340,850340
1,graphics/mixed640/multitrue,new,962806.2,944543.8,1008431.2,2096897.3,664723.6,1680,906,1680,213412,213412
