"run","case","channels","variant","median_ns","min_ns","max_ns","thread_cycles","units_per_second","allocs","reallocs","frees","allocated_bytes","freed_bytes"
"1","full","1","before","47.1","45.8","49.8","103","21215240.7","0","0","0","0","0"
"1","full","1","after","44.8","41.6","51.1","98","22340168.1","0","0","0","0","0"
"1","larger","1","before","50.8","46.9","55.8","111.5","19668667.5","0","0","0","0","0"
"1","larger","1","after","47.1","44.5","49","103.3","21237240.4","0","0","0","0","0"
"1","partial","1","before","44.4","42.9","50.5","97.2","22519414.5","0","0","0","0","0"
"1","partial","1","after","43.4","42.7","46.1","94.8","23052516.8","0","0","0","0","0"
"1","partial-tail","1","before","44.3","41.7","47.1","97.1","22587716.3","0","0","0","0","0"
"1","partial-tail","1","after","44.1","41.9","47.3","96.7","22676424.3","0","0","0","0","0"
"1","empty","1","before","11.9","11.1","12.9","26","84279835.4","0","0","0","0","0"
"1","empty","1","after","12.1","11","14.7","26.5","82747474.7","0","0","0","0","0"
"1","full","2","before","64","60.9","71.2","140.1","15630977.7","0","0","0","0","0"
"1","full","2","after","60.2","58.4","62.3","132","16600217.8","0","0","0","0","0"
"1","larger","2","before","60.2","58.3","65.3","131.9","16623376.6","0","0","0","0","0"
"1","larger","2","after","59.3","58.9","64.2","130.1","16853799.7","0","0","0","0","0"
"1","partial","2","before","47.9","46.6","48.8","105","20881312.7","0","0","0","0","0"
"1","partial","2","after","47.5","45.5","50.7","104.3","21072668.8","0","0","0","0","0"
"1","partial-tail","2","before","47.7","44.7","53.4","104.5","20952076.5","0","0","0","0","0"
"1","partial-tail","2","after","47.2","45.3","50.3","103.4","21173087.8","0","0","0","0","0"
"1","empty","2","before","11.8","11","13.4","25.8","84918691.3","0","0","0","0","0"
"1","empty","2","after","12.4","11.2","14.3","27.2","80649766.2","0","0","0","0","0"
"1","full","3","before","82.6","80.6","84.4","181.2","12099437.8","0","0","0","0","0"
"1","full","3","after","80.4","76.9","81","176","12440394.8","0","0","0","0","0"
"1","larger","3","before","84.2","81.5","89.2","184.6","11876228.9","0","0","0","0","0"
"1","larger","3","after","82.7","81.3","94.2","181.3","12089170.9","0","0","0","0","0"
"1","partial","3","before","58.7","55.6","61.7","128.5","17037383.7","0","0","0","0","0"
