stage,run,case,variant,iterations,ns_per_op,ns_min,ns_max,thread_cycles_per_op,frames_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
short_batches,1,mono256,before,8192,2051.6,1886.4,2281.3,4498.2,124777742.7,0,0,0,0,0
short_batches,1,mono256,after,8192,1920.2,1830.0,2074.7,4209.4,133319262.8,0,0,0,0,0
short_batches,1,stereo256,before,8192,3436.6,3083.2,3656.9,7526.9,74493096.5,0,0,0,0,0
short_batches,1,stereo256,after,8192,2941.8,2896.3,3285.6,6445.7,87020560.6,0,0,0,0,0
short_batches,1,stereo4096,before,8192,53377.4,51136.6,53775.6,116973.1,76736607.1,0,0,0,0,0
short_batches,1,stereo4096,after,8192,46883.3,42614.4,48116.8,102754.0,87365885.0,0,0,0,0,0
short_batches,1,surround256,before,8192,7156.0,6875.9,8026.7,15672.8,35774268.3,0,0,0,0,0
short_batches,1,surround256,after,8192,7112.3,6006.9,7293.3,15590.4,35994020.3,0,0,0,0,0
short_batches,1,fade_in256,before,8192,3012.8,2783.5,3289.1,6606.1,84970989.6,0,0,0,0,0
short_batches,1,fade_in256,after,8192,2611.0,2525.9,2948.4,5724.0,98046780.4,0,0,0,0,0
short_batches,1,cross_silence,before,8192,3058.9,2891.1,3253.4,6702.7,83689576.9,0,0,0,0,0
short_batches,1,cross_silence,after,8192,2693.1,2578.5,2828.4,5901.2,95058495.0,0,0,0,0,0
short_batches,1,unity,before,8192,32.0,32.0,32.7,70.3,8007453226.4,0,0,0,0,0
short_batches,1,unity,after,8192,40.8,32.0,50.9,89.3,6275140634.4,0,0,0,0,0
short_batches,1,silence,before,8192,55.9,46.3,63.1,122.8,4580934906.1,0,0,0,0,0
short_batches,1,silence,after,8192,46.9,46.3,55.5,102.4,5462755926.0,0,0,0,0,0
short_batches,2,mono256,after,8192,1689.3,1629.2,1774.3,3702.4,151543653.3,0,0,0,0,0
short_batches,2,mono256,before,8192,1781.4,1707.9,1886.4,3906.4,143703541.3,0,0,0,0,0
short_batches,2,stereo256,after,8192,2671.8,2499.2,2746.2,5856.6,95815054.3,0,0,0,0,0
short_batches,2,stereo256,before,8192,2921.5,2812.7,3153.7,6402.2,87627054.2,0,0,0,0,0
short_batches,2,stereo4096,after,8192,45887.7,43452.1,46812.7,100570.8,89261330.4,0,0,0,0,0
short_batches,2,stereo4096,before,8192,46865.0,46189.2,48010.9,102429.9,87399905.8,0,0,0,0,0
short_batches,2,surround256,after,8192,6396.2,6212.6,6520.6,13992.1,40023817.9,0,0,0,0,0
short_batches,2,surround256,before,8192,6495.0,6291.2,6733.5,14210.7,39415038.3,0,0,0,0,0
short_batches,2,fade_in256,after,8192,2820.3,2751.9,3003.4,6164.9,90769297.4,0,0,0,0,0
short_batches,2,fade_in256,before,8192,3090.3,2981.9,3265.7,6762.0,82840304.0,0,0,0,0,0
short_batches,2,cross_silence,after,8192,2782.6,2643.3,2918.1,6082.9,91999719.2,0,0,0,0,0
short_batches,2,cross_silence,before,8192,3098.6,3000.0,3251.3,6780.9,82618709.0,0,0,0,0,0
short_batches,2,unity,after,8192,38.6,33.8,50.4,84.9,6638657803.1,0,0,0,0,0
short_batches,2,unity,before,8192,33.8,33.8,41.6,74.4,7573680028.9,0,0,0,0,0
short_batches,2,silence,after,8192,50.6,45.1,57.5,111.3,5059474065.1,0,0,0,0,0
short_batches,2,silence,before,8192,55.1,46.5,70.5,121.2,4642798317.5,0,0,0,0,0
short_batches,3,mono256,before,8192,1809.4,1717.9,1902.6,3961.2,141486274.1,0,0,0,0,0
short_batches,3,mono256,after,8192,1686.5,1652.4,1825.9,3695.9,151793743.4,0,0,0,0,0
short_batches,3,stereo256,before,8192,2902.3,2842.2,3064.3,6363.4,88205318.0,0,0,0,0,0
short_batches,3,stereo256,after,8192,2605.7,2511.4,2702.2,5711.6,98244285.9,0,0,0,0,0
short_batches,3,stereo4096,before,8192,46252.3,46084.6,47365.3,101383.2,88557838.0,0,0,0,0,0
short_batches,3,stereo4096,after,8192,41772.3,40557.5,42841.0,91250.7,98055347.3,0,0,0,0,0
short_batches,3,surround256,before,8192,6412.4,6143.3,6602.3,14055.6,39922483.3,0,0,0,0,0
short_batches,3,surround256,after,8192,6102.1,5976.5,7056.9,13373.6,41952857.0,0,0,0,0,0
short_batches,3,fade_in256,before,8192,3360.5,3248.2,3538.0,7366.2,76178630.8,0,0,0,0,0
short_batches,3,fade_in256,after,8192,3065.9,2892.8,3148.5,6720.9,83500308.6,0,0,0,0,0
short_batches,3,cross_silence,before,8192,3514.8,3238.6,3828.2,7705.0,72834469.0,0,0,0,0,0
short_batches,3,cross_silence,after,8192,2977.6,2822.2,3308.9,6528.9,85974574.4,0,0,0,0,0
short_batches,3,unity,before,8192,33.8,33.8,40.3,74.4,7573680028.9,0,0,0,0,0
short_batches,3,unity,after,8192,42.5,34.8,48.1,93.3,6022837449.7,0,0,0,0,0
short_batches,3,silence,before,8192,46.1,44.1,49.6,101.5,5548021164.0,0,0,0,0,0
short_batches,3,silence,after,8192,54.2,44.1,60.7,117.8,4724379364.7,0,0,0,0,0
unchanged_short_control,0,mono256,before,8192,2046.2,1913.4,2250.6,4486.3,125111231.8,0,0,0,0,0
unchanged_short_control,0,mono256,after,8192,2086.5,1948.2,2358.5,4568.5,122692845.5,0,0,0,0,0
unchanged_short_control,0,stereo256,before,8192,3273.1,3231.4,3486.4,7176.9,78212250.5,0,0,0,0,0
unchanged_short_control,0,stereo256,after,8192,3272.3,3157.5,3577.1,7175.2,78232674.0,0,0,0,0,0
unchanged_short_control,0,stereo4096,before,8192,54555.6,49754.8,55902.0,119556.9,75079347.6,0,0,0,0,0
unchanged_short_control,0,stereo4096,after,8192,50863.6,50380.0,54872.1,111477.8,80529045.5,0,0,0,0,0
unchanged_short_control,0,surround256,before,8192,6231.1,6018.9,6473.8,13661.2,41084457.0,0,0,0,0,0
unchanged_short_control,0,surround256,after,8192,6564.7,6344.6,6761.1,14377.0,38996176.9,0,0,0,0,0
unchanged_short_control,0,fade_in256,before,8192,3047.2,2812.2,3222.0,6679.4,84012771.3,0,0,0,0,0
unchanged_short_control,0,fade_in256,after,8192,2991.7,2867.7,3113.0,6557.9,85571147.0,0,0,0,0,0
unchanged_short_control,0,cross_silence,before,8192,3021.7,2888.4,3091.7,6625.3,84720748.8,0,0,0,0,0
unchanged_short_control,0,cross_silence,after,8192,2904.2,2817.4,3135.4,6368.6,88149334.4,0,0,0,0,0
unchanged_short_control,0,unity,before,8192,41.2,41.2,52.2,90.6,6215625370.5,0,0,0,0,0
unchanged_short_control,0,unity,after,8192,57.6,43.5,67.5,127.1,4445944456.2,0,0,0,0,0
unchanged_short_control,0,silence,before,8192,51.1,51.1,63.1,112.3,5012313575.5,0,0,0,0,0
unchanged_short_control,0,silence,after,8192,57.4,51.1,64.3,126.0,4458231292.5,0,0,0,0,0
final,1,mono256,before,8192,1902.6,1820.8,1988.5,4166.6,134550983.9,0,0,0,0,0
final,1,mono256,after,8192,2071.3,1738.2,2301.7,4540.0,123591617.4,0,0,0,0,0
final,1,stereo256,before,8192,3527.8,3485.1,3677.0,7725.1,72567068.6,0,0,0,0,0
final,1,stereo256,after,8192,3102.9,2746.5,3271.9,6800.8,82502999.7,0,0,0,0,0
final,1,stereo4096,before,8192,53216.6,52856.1,55752.3,116640.3,76968480.1,0,0,0,0,0
final,1,stereo4096,after,8192,49767.3,48646.9,50280.6,109080.6,82302962.0,0,0,0,0,0
final,1,surround256,before,8192,7260.2,7157.4,7482.2,15914.2,35260830.5,0,0,0,0,0
final,1,surround256,after,8192,6528.4,6459.3,6787.2,14307.7,39213102.2,0,0,0,0,0
final,1,fade_in256,before,8192,3104.5,2961.4,3252.1,6805.9,82460502.8,0,0,0,0,0
final,1,fade_in256,after,8192,2982.4,2789.3,3188.7,6536.3,85836280.3,0,0,0,0,0
final,1,cross_silence,before,8192,3415.5,3222.0,6035.0,7484.6,74952090.6,0,0,0,0,0
final,1,cross_silence,after,8192,3006.7,2797.9,3310.1,6589.6,85143478.9,0,0,0,0,0
