"run","fixture","variant","median_ns","min_ns","max_ns","thread_cycles","operations_per_second","allocations","reallocations","frees"
"1","merged-512","before","16.1","15.3","17.3","35.3","62168783.3","0","0","0"
"1","merged-512","after","15.5","15","16.8","34.1","64381162.9","0","0","0"
"1","fragmented-512","before","22.3","20.4","23.9","48.8","44864432.4","0","0","0"
"1","fragmented-512","after","18.9","18.3","21","41.4","52930314.7","0","0","0"
"1","fragmented-64","before","18.8","17.9","19.6","41.2","53241532","0","0","0"
"1","fragmented-64","after","16.9","15.8","18","37","59283783.9","0","0","0"
"1","replace-80000","before","19.5","19.2","19.7","42.8","51225512.7","0","0","0"
"1","replace-80000","after","16.7","16.1","16.9","36.5","59979979.5","0","0","0"
"1","replace-120000","before","22.5","21.7","23.6","49.4","44409734.3","0","0","0"
"1","replace-120000","after","19.9","18.6","21.1","43.7","50211942.7","0","0","0"
"2","merged-512","after","16.3","16","16.7","35.6","61530011.7","0","0","0"
"2","merged-512","before","16","15.5","16.6","35","62644561.9","0","0","0"
"2","fragmented-512","after","20.6","19.9","21.9","45.2","48518006.1","0","0","0"
"2","fragmented-512","before","23.2","23","24.3","50.8","43157847.1","0","0","0"
"2","fragmented-64","after","16.7","15","17.2","36.6","59900145.1","0","0","0"
"2","fragmented-64","before","18.5","16.6","19.3","40.5","54161983.5","0","0","0"
"2","replace-80000","after","15.7","14.5","17.3","34.2","63761051.7","0","0","0"
"2","replace-80000","before","17.9","16.8","19.3","39.3","55838880.4","0","0","0"
"2","replace-120000","after","19.5","19","20.8","42.7","51326813.3","0","0","0"
"2","replace-120000","before","20.8","20","22.8","45.5","48075337.8","0","0","0"
"3","merged-512","before","14.7","14.3","16.3","32.2","68039425.6","0","0","0"
"3","merged-512","after","14.5","14","15.3","31.7","69085255","0","0","0"
"3","fragmented-512","before","20.1","19.9","20.6","44.2","49663064","0","0","0"
"3","fragmented-512","after","18","17.5","18.6","39.5","55518104.9","0","0","0"
"3","fragmented-64","before","16.7","16.5","16.8","36.5","60036987.2","0","0","0"
"3","fragmented-64","after","15.3","14.9","15.7","33.7","65181170","0","0","0"
"3","replace-80000","before","16.4","16.2","17.1","36","60941399.4","0","0","0"
"3","replace-80000","after","15","14.7","15.6","33","66552168.4","0","0","0"
"3","replace-120000","before","20.3","20","21.8","44.4","49361710.1","0","0","0"
"3","replace-120000","after","17.8","17.3","18.4","39","56259510","0","0","0"
