run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,map/forward/1-tail,old,278.8,250.2,311.9,612.8,114774080.6,0,0,0,0,0
1,old-first,map/forward/1-tail,new,286.7,255.4,306.2,629.8,111607629.4,0,0,0,0,0
1,old-first,map/inverse/1-tail,old,401.3,377.9,434.6,880.5,79732343.8,0,0,0,0,0
1,old-first,map/inverse/1-tail,new,410.3,399.1,445.5,900.2,77986553.2,0,0,0,0,0
1,old-first,map/forward/1-after,old,458.8,420.2,526.6,1006.1,69748829.3,0,0,0,0,0
1,old-first,map/forward/1-after,new,465.1,448.0,498.7,1020.4,68800587.9,0,0,0,0,0
1,old-first,map/inverse/1-after,old,503.1,492.7,517.7,1103.6,63605570.9,0,0,0,0,0
1,old-first,map/inverse/1-after,new,497.1,451.2,532.3,1088.3,64377210.2,0,0,0,0,0
1,old-first,map/forward/8-tail,old,2047.2,1990.7,2061.4,4489.9,15631350.5,0,0,0,0,0
1,old-first,map/forward/8-tail,new,1059.0,979.8,1105.9,2319.8,30218328.5,0,0,0,0,0
1,old-first,map/inverse/8-tail,old,2386.6,2291.0,2420.3,5234.3,13408214.4,0,0,0,0,0
1,old-first,map/inverse/8-tail,new,1957.9,1877.4,2063.5,4293.6,16343753.5,0,0,0,0,0
1,old-first,map/forward/8-after,old,2272.6,2193.8,2426.0,4983.1,14081045.1,0,0,0,0,0
1,old-first,map/forward/8-after,new,1221.8,1193.1,1280.6,2678.4,26190304.9,0,0,0,0,0
1,old-first,map/inverse/8-after,old,2506.8,2458.5,2571.2,5494.4,12765468.4,0,0,0,0,0
1,old-first,map/inverse/8-after,new,2052.7,1960.8,2130.9,4500.6,15588962.9,0,0,0,0,0
1,old-first,map/forward/64-tail,old,16350.0,15784.8,16909.8,35834.2,1957186.5,0,0,0,0,0
1,old-first,map/forward/64-tail,new,7576.6,6865.2,7774.0,16626.7,4223551.2,0,0,0,0,0
1,old-first,map/inverse/64-tail,old,18443.6,18198.0,18975.2,40428.3,1735023.5,0,0,0,0,0
1,old-first,map/inverse/64-tail,new,15380.9,13753.7,17400.8,33680.8,2080507.9,0,0,0,0,0
1,old-first,map/forward/64-after,old,16447.3,15785.5,17734.4,36043.9,1945612.2,0,0,0,0,0
1,old-first,map/forward/64-after,new,7362.9,6907.8,7836.5,16151.3,4346119.2,0,0,0,0,0
1,old-first,map/inverse/64-after,old,18934.6,17467.4,19758.2,41532.7,1690030.4,0,0,0,0,0
1,old-first,map/inverse/64-after,new,14869.7,14466.8,15034.8,32618.9,2152023.4,0,0,0,0,0
1,old-first,map/forward/256-tail,old,64867.4,64140.4,66275.6,142048.2,493314.2,0,0,0,0,0
1,old-first,map/forward/256-tail,new,28552.3,27823.6,29107.0,62500.1,1120748.6,0,0,0,0,0
1,old-first,map/inverse/256-tail,old,74674.2,73250.0,76155.9,163625.7,428528.1,0,0,0,0,0
1,old-first,map/inverse/256-tail,new,58444.9,57557.4,60138.7,128108.7,547524.0,0,0,0,0,0
1,old-first,map/forward/256-after,old,64701.8,64101.2,65591.6,141813.3,494577.0,0,0,0,0,0
1,old-first,map/forward/256-after,new,28055.1,27649.8,29061.7,61490.9,1140613.5,0,0,0,0,0
1,old-first,map/inverse/256-after,old,74650.0,72848.0,76785.5,163645.8,428667.1,0,0,0,0,0
1,old-first,map/inverse/256-after,new,58333.2,57622.1,58619.1,127862.6,548572.7,0,0,0,0,0
1,old-first,map/forward/256-first,old,264.5,255.7,328.3,583.9,121004431.3,0,0,0,0,0
1,old-first,map/forward/256-first,new,264.5,264.3,318.6,583.5,121004431.3,0,0,0,0,0
1,old-first,map/inverse/256-first,old,386.3,386.1,429.7,851.0,82831142.6,0,0,0,0,0
1,old-first,map/inverse/256-first,new,389.5,376.0,479.7,858.3,82166499.5,0,0,0,0,0
1,old-first,samples/muted-64,old,181.5,177.8,187.8,398.1,352581035.6,0,0,0,0,0
1,old-first,samples/muted-64,new,26.1,24.1,28.4,57.6,2449943925.2,0,0,0,0,0
1,old-first,samples/negative-zero-64,old,186.1,162.3,198.2,408.3,343840503.7,0,0,0,0,0
1,old-first,samples/negative-zero-64,new,25.5,23.9,33.2,55.7,2514570743.4,0,0,0,0,0
1,old-first,samples/unity-64,old,25.7,24.8,31.4,56.7,2487134724.9,0,0,0,0,0
1,old-first,samples/unity-64,new,25.5,24.6,27.4,56.1,2512160996.6,0,0,0,0,0
1,old-first,samples/half-64,old,178.1,170.8,193.2,390.9,359347498.3,0,0,0,0,0
1,old-first,samples/half-64,new,183.2,178.4,196.0,401.5,349315743.9,0,0,0,0,0
1,old-first,samples/muted-1024,old,2772.7,2760.3,3010.6,6078.4,369314431.6,0,0,0,0,0
1,old-first,samples/muted-1024,new,340.2,334.6,381.7,739.6,3009690011.5,0,0,0,0,0
1,old-first,samples/negative-zero-1024,old,2736.0,2677.1,2924.8,6001.6,374264196.7,0,0,0,0,0
1,old-first,samples/negative-zero-1024,new,337.3,334.6,350.5,738.9,3036270450.3,0,0,0,0,0
1,old-first,samples/unity-1024,old,337.5,335.1,353.2,739.4,3034513095.1,0,0,0,0,0
1,old-first,samples/unity-1024,new,335.1,334.2,366.1,736.3,3056181871.2,0,0,0,0,0
1,old-first,samples/half-1024,old,2711.7,2678.6,2808.0,5925.0,377620282.3,0,0,0,0,0
1,old-first,samples/half-1024,new,2697.5,2685.8,2757.2,5909.2,379616247.9,0,0,0,0,0
1,old-first,samples/muted-8192,old,22777.3,21732.3,23154.2,49936.4,359655633.7,0,0,0,0,0
1,old-first,samples/muted-8192,new,2992.2,2926.1,3084.3,6557.0,2737796344.6,0,0,0,0,0
1,old-first,samples/negative-zero-8192,old,22333.9,22140.9,22952.3,48961.3,366796881.5,0,0,0,0,0
1,old-first,samples/negative-zero-8192,new,3082.6,2976.6,3303.9,6734.4,2657482101.0,0,0,0,0,0
1,old-first,samples/unity-8192,old,2993.6,2851.1,3239.4,6560.6,2736545964.6,0,0,0,0,0
1,old-first,samples/unity-8192,new,3033.3,2934.6,3183.0,6647.6,2700644849.7,0,0,0,0,0
1,old-first,samples/half-8192,old,22308.6,21716.2,24646.5,48906.6,367211943.6,0,0,0,0,0
1,old-first,samples/half-8192,new,22127.6,21766.5,22712.1,48495.7,370216584.0,0,0,0,0,0
1,old-first,mixer/muted-1-voices,old,2697.9,2502.7,2925.0,5911.9,379561282.8,0,0,0,0,0
1,old-first,mixer/muted-1-voices,new,387.3,342.6,442.8,854.0,2643913262.7,0,0,0,0,0
1,old-first,mixer/muted-8-voices,old,21250.6,21186.9,21447.1,46612.5,385495252.9,0,0,0,0,0
1,old-first,mixer/muted-8-voices,new,2198.4,2130.3,2258.0,4787.4,3726282871.4,0,0,0,0,0
1,old-first,mixer/muted-32-voices,old,85364.5,83824.0,86082.8,187154.6,383860012.0,0,0,0,0,0
1,old-first,mixer/muted-32-voices,new,8268.6,8160.5,8940.6,18122.5,3962965867.5,0,0,0,0,0
1,old-first,mixer/unity-8-voices,old,2146.3,1984.6,2257.0,4706.4,3816820456.8,0,0,0,0,0
1,old-first,mixer/unity-8-voices,new,2205.3,2062.7,2579.7,4844.0,3714732087.5,0,0,0,0,0
1,old-first,mixer/half-8-voices,old,21441.8,21151.0,22144.3,47033.0,382057532.2,0,0,0,0,0
1,old-first,mixer/half-8-voices,new,21412.7,21122.7,21783.0,46873.1,382576778.9,0,0,0,0,0
2,new-first,map/forward/1-tail,new,285.3,274.8,297.8,625.7,112161560.8,0,0,0,0,0
2,new-first,map/forward/1-tail,old,274.0,269.5,289.0,600.4,116778332.1,0,0,0,0,0
2,new-first,map/inverse/1-tail,new,392.4,368.6,400.9,859.1,81547937.5,0,0,0,0,0
2,new-first,map/inverse/1-tail,old,404.7,381.3,415.0,887.3,79078129.7,0,0,0,0,0
2,new-first,map/forward/1-after,new,480.2,448.9,552.3,1053.9,66645650.1,0,0,0,0,0
2,new-first,map/forward/1-after,old,467.4,415.9,592.7,1025.4,68459208.2,0,0,0,0,0
2,new-first,map/inverse/1-after,new,481.0,460.4,503.0,1055.4,66523879.6,0,0,0,0,0
2,new-first,map/inverse/1-after,old,499.1,463.7,540.6,1095.1,64115834.3,0,0,0,0,0
2,new-first,map/forward/8-tail,new,1054.8,1024.9,1103.5,2313.6,30338633.9,0,0,0,0,0
2,new-first,map/forward/8-tail,old,2057.8,2023.3,2431.3,4512.9,15550309.1,0,0,0,0,0
2,new-first,map/inverse/8-tail,new,1947.4,1906.8,2013.1,4267.9,16431857.8,0,0,0,0,0
2,new-first,map/inverse/8-tail,old,2382.1,2337.0,2476.1,5221.8,13433775.1,0,0,0,0,0
2,new-first,map/forward/8-after,new,1202.8,1179.1,1266.8,2637.3,26605500.9,0,0,0,0,0
2,new-first,map/forward/8-after,old,2201.6,2131.3,2314.6,4825.8,14534970.1,0,0,0,0,0
2,new-first,map/inverse/8-after,new,2052.4,2025.3,2193.9,4499.2,15591373.5,0,0,0,0,0
2,new-first,map/inverse/8-after,old,2550.0,2446.5,2735.9,5585.9,12548779.3,0,0,0,0,0
2,new-first,map/forward/64-tail,new,7418.4,7096.9,7986.1,16273.0,4313622.2,0,0,0,0,0
2,new-first,map/forward/64-tail,old,16090.4,15846.7,16814.8,35278.2,1988759.8,0,0,0,0,0
2,new-first,map/inverse/64-tail,new,15150.4,14434.2,15504.5,33210.1,2112156.8,0,0,0,0,0
2,new-first,map/inverse/64-tail,old,18466.0,18325.0,20260.2,40456.6,1732913.1,0,0,0,0,0
2,new-first,map/forward/64-after,new,7590.6,7226.6,7865.4,16648.6,4215726.6,0,0,0,0,0
2,new-first,map/forward/64-after,old,16275.8,15801.2,17081.8,35674.8,1966111.5,0,0,0,0,0
2,new-first,map/inverse/64-after,new,14647.3,14468.0,15506.8,32126.3,2184708.1,0,0,0,0,0
2,new-first,map/inverse/64-after,old,18336.1,17818.9,19234.6,40217.4,1745188.1,0,0,0,0,0
2,new-first,map/forward/256-tail,new,27985.4,27422.7,28604.1,61355.4,1143455.4,0,0,0,0,0
2,new-first,map/forward/256-tail,old,63713.7,63400.8,64355.5,139671.5,502247.0,0,0,0,0,0
2,new-first,map/inverse/256-tail,new,58243.9,57137.5,60829.7,127683.8,549413.3,0,0,0,0,0
2,new-first,map/inverse/256-tail,old,73205.5,72794.5,74395.3,160491.4,437125.8,0,0,0,0,0
2,new-first,map/forward/256-after,new,28348.8,26767.8,30526.0,62128.8,1128794.5,0,0,0,0,0
2,new-first,map/forward/256-after,old,62797.1,62245.9,67111.9,137677.1,509577.9,0,0,0,0,0
2,new-first,map/inverse/256-after,new,57317.6,56143.9,63240.4,125616.6,558293.0,0,0,0,0,0
2,new-first,map/inverse/256-after,old,73098.6,71427.5,74127.3,160235.9,437764.7,0,0,0,0,0
2,new-first,map/forward/256-first,new,292.0,264.3,388.1,644.4,109591973.2,0,0,0,0,0
2,new-first,map/forward/256-first,old,273.8,264.5,331.8,604.1,116861626.2,0,0,0,0,0
2,new-first,map/inverse/256-first,new,387.7,387.7,388.5,854.4,82539042.8,0,0,0,0,0
2,new-first,map/inverse/256-first,old,384.6,384.4,462.9,847.1,83209751.1,0,0,0,0,0
2,new-first,samples/muted-64,new,26.6,24.0,29.1,58.7,2401685753.6,0,0,0,0,0
2,new-first,samples/muted-64,old,181.4,172.3,195.5,397.8,352723358.4,0,0,0,0,0
2,new-first,samples/negative-zero-64,new,25.2,23.2,28.4,55.5,2542618816.7,0,0,0,0,0
2,new-first,samples/negative-zero-64,old,180.7,170.1,207.1,394.7,354272586.0,0,0,0,0,0
2,new-first,samples/unity-64,new,24.9,23.2,26.8,54.9,2567522037.2,0,0,0,0,0
2,new-first,samples/unity-64,old,24.9,22.4,34.5,54.8,2572561334.6,0,0,0,0,0
2,new-first,samples/half-64,new,188.6,176.3,201.3,413.9,339388917.7,0,0,0,0,0
2,new-first,samples/half-64,old,182.7,172.6,189.9,401.3,350272581.5,0,0,0,0,0
2,new-first,samples/muted-1024,new,329.3,316.9,347.2,721.4,3109655990.5,0,0,0,0,0
2,new-first,samples/muted-1024,old,2711.7,2607.9,2846.8,5941.7,377627082.0,0,0,0,0,0
2,new-first,samples/negative-zero-1024,new,370.3,341.0,386.7,811.9,2765232067.5,0,0,0,0,0
2,new-first,samples/negative-zero-1024,old,2736.8,2708.3,3011.8,6000.5,374164035.0,0,0,0,0,0
2,new-first,samples/unity-1024,new,345.9,336.6,376.0,760.1,2959988708.5,0,0,0,0,0
2,new-first,samples/unity-1024,old,352.1,338.7,375.2,773.8,2907864670.0,0,0,0,0,0
2,new-first,samples/half-1024,new,2743.6,2709.3,2811.4,6018.2,373231771.3,0,0,0,0,0
2,new-first,samples/half-1024,old,2727.7,2597.8,2914.4,5981.9,375409841.9,0,0,0,0,0
2,new-first,samples/muted-8192,new,2983.3,2886.4,3039.0,6542.9,2745996693.8,0,0,0,0,0
2,new-first,samples/muted-8192,old,22346.5,22090.7,22690.4,48978.4,366589301.6,0,0,0,0,0
2,new-first,samples/negative-zero-8192,new,3370.3,3317.9,3451.1,7385.4,2430635141.4,0,0,0,0,0
2,new-first,samples/negative-zero-8192,old,22321.2,21888.4,22847.2,48913.2,367004696.6,0,0,0,0,0
2,new-first,samples/unity-8192,new,2978.6,2954.1,3035.6,6506.9,2750318191.5,0,0,0,0,0
2,new-first,samples/unity-8192,old,2950.7,2943.8,2957.6,6465.1,2776259866.6,0,0,0,0,0
2,new-first,samples/half-8192,new,22044.3,21688.7,23117.9,48313.8,371614732.4,0,0,0,0,0
2,new-first,samples/half-8192,old,22071.7,21806.4,22315.7,48386.0,371153532.2,0,0,0,0,0
2,new-first,mixer/muted-1-voices,new,350.2,350.0,370.9,772.1,2924082543.2,0,0,0,0,0
2,new-first,mixer/muted-1-voices,old,2768.2,2644.1,3499.8,6071.4,369920270.9,0,0,0,0,0
2,new-first,mixer/muted-8-voices,new,2221.5,2033.4,2434.2,4868.4,3687624406.5,0,0,0,0,0
2,new-first,mixer/muted-8-voices,old,21318.4,20908.2,21914.1,46672.9,384269720.6,0,0,0,0,0
2,new-first,mixer/muted-32-voices,new,8256.4,7743.6,9378.1,18111.8,3968778179.9,0,0,0,0,0
2,new-first,mixer/muted-32-voices,old,85274.4,84554.7,86084.8,186953.5,384265319.9,0,0,0,0,0
2,new-first,mixer/unity-8-voices,new,2106.1,1972.3,2268.8,4626.2,3889737549.8,0,0,0,0,0
2,new-first,mixer/unity-8-voices,old,2172.1,2099.0,2272.1,4763.0,3771516949.9,0,0,0,0,0
2,new-first,mixer/half-8-voices,new,21801.4,21429.3,22608.6,47794.4,375756251.0,0,0,0,0,0
2,new-first,mixer/half-8-voices,old,21420.5,21145.9,22119.3,46976.4,382437245.3,0,0,0,0,0
3,old-first,map/forward/1-tail,old,277.8,266.3,309.5,605.1,115207875.5,0,0,0,0,0
3,old-first,map/forward/1-tail,new,285.1,272.1,315.5,634.1,112248008.9,0,0,0,0,0
3,old-first,map/inverse/1-tail,old,406.7,383.2,438.7,892.3,78679392.5,0,0,0,0,0
3,old-first,map/inverse/1-tail,new,392.9,369.2,420.8,861.9,81436471.0,0,0,0,0,0
3,old-first,map/forward/1-after,old,436.5,406.6,452.4,955.5,73306487.7,0,0,0,0,0
3,old-first,map/forward/1-after,new,495.5,423.7,528.9,1087.3,64577031.1,0,0,0,0,0
3,old-first,map/inverse/1-after,old,515.8,491.8,575.8,1131.3,62037107.2,0,0,0,0,0
3,old-first,map/inverse/1-after,new,477.3,476.9,482.2,1047.1,67041072.1,0,0,0,0,0
3,old-first,map/forward/8-tail,old,2123.9,2071.3,2150.8,4652.5,15066959.4,0,0,0,0,0
3,old-first,map/forward/8-tail,new,1021.1,995.8,1085.0,2239.5,31337445.6,0,0,0,0,0
3,old-first,map/inverse/8-tail,old,2406.2,2364.3,2497.5,5276.3,13298701.3,0,0,0,0,0
3,old-first,map/inverse/8-tail,new,1989.2,1971.5,2095.3,4361.0,16086599.0,0,0,0,0,0
3,old-first,map/forward/8-after,old,2194.9,2152.2,2306.3,4804.9,14578944.4,0,0,0,0,0
3,old-first,map/forward/8-after,new,1204.5,1172.5,1270.3,2638.0,26567751.1,0,0,0,0,0
3,old-first,map/inverse/8-after,old,2444.9,2404.6,2731.4,5358.6,13088614.2,0,0,0,0,0
3,old-first,map/inverse/8-after,new,2039.2,1929.0,2069.2,4472.2,15692547.1,0,0,0,0,0
3,old-first,map/forward/64-tail,old,15956.2,15397.1,16857.8,34927.1,2005483.7,0,0,0,0,0
3,old-first,map/forward/64-tail,new,7569.1,7173.2,7740.6,16577.0,4227692.6,0,0,0,0,0
3,old-first,map/inverse/64-tail,old,18748.0,18438.7,19276.2,41117.2,1706844.5,0,0,0,0,0
3,old-first,map/inverse/64-tail,new,14924.4,13928.1,15564.6,32726.5,2144137.8,0,0,0,0,0
3,old-first,map/forward/64-after,old,15993.0,15327.1,17130.7,35066.0,2000879.3,0,0,0,0,0
3,old-first,map/forward/64-after,new,7598.6,6750.8,7883.8,16649.4,4211283.9,0,0,0,0,0
3,old-first,map/inverse/64-after,old,18821.3,17881.2,19091.0,41268.1,1700202.4,0,0,0,0,0
3,old-first,map/inverse/64-after,new,14695.1,14361.5,15688.3,32215.9,2177594.1,0,0,0,0,0
3,old-first,map/forward/256-tail,old,64157.2,63023.4,70164.3,140618.0,498774.7,0,0,0,0,0
3,old-first,map/forward/256-tail,new,27823.4,27736.7,29103.9,61000.4,1150109.5,0,0,0,0,0
3,old-first,map/inverse/256-tail,old,72127.3,70229.1,72926.4,158142.9,443659.8,0,0,0,0,0
3,old-first,map/inverse/256-tail,new,56643.0,56108.6,57746.5,124166.3,564942.1,0,0,0,0,0
3,old-first,map/forward/256-after,old,63315.4,62305.1,64330.1,138788.7,505406.0,0,0,0,0,0
3,old-first,map/forward/256-after,new,28570.7,28255.1,29326.6,62624.4,1120028.4,0,0,0,0,0
3,old-first,map/inverse/256-after,old,73826.0,72749.4,74911.5,161834.9,433451.8,0,0,0,0,0
3,old-first,map/inverse/256-after,new,58319.9,57564.1,60097.9,127852.7,548697.6,0,0,0,0,0
3,old-first,map/forward/256-first,old,264.3,255.7,289.1,583.0,121093865.5,0,0,0,0,0
3,old-first,map/forward/256-first,new,302.3,273.8,370.7,667.1,105839793.3,0,0,0,0,0
3,old-first,map/inverse/256-first,old,384.4,384.4,445.3,847.1,83252032.5,0,0,0,0,0
3,old-first,map/inverse/256-first,new,388.1,361.7,417.6,857.4,82455963.8,0,0,0,0,0
3,old-first,samples/muted-64,old,179.8,169.0,185.2,394.4,356004617.4,0,0,0,0,0
3,old-first,samples/muted-64,new,24.8,24.0,31.7,54.6,2583972400.2,0,0,0,0,0
3,old-first,samples/negative-zero-64,old,173.5,156.9,225.7,380.4,368931109.7,0,0,0,0,0
