run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
1,load/0x0,old,221956.2,205450.0,260693.8,485122.4,4505.4,4,0,4,722,722
1,load/0x0,new,168137.5,161175.0,192618.8,368705.1,5947.5,3,0,3,532,532
1,prewarm/0x0,old,203756.2,199087.5,251762.5,446408.1,4907.8,4,0,4,722,722
1,prewarm/0x0,new,159918.8,157431.2,174387.5,350555.2,6253.2,3,0,3,532,532
1,validate/0x0,old,79500.0,78543.8,104143.8,174159.6,12578.6,1,0,1,190,190
1,validate/0x0,new,78075.0,76437.5,94400.0,171031.6,12808.2,1,0,1,190,190
1,load/1x1,old,205393.8,203668.8,223487.5,450029.9,4868.7,5,0,5,726,726
1,load/1x1,new,167337.5,164881.2,183987.5,366990.2,5975.9,4,0,4,536,536
1,prewarm/1x1,old,231325.0,208875.0,250112.5,506894.1,4322.9,5,0,5,726,726
1,prewarm/1x1,new,171212.5,169925.0,180387.5,374988.3,5840.7,3,0,3,532,532
1,validate/1x1,old,83368.8,82287.5,93950.0,182637.8,11994.9,2,0,2,194,194
1,validate/1x1,new,90150.0,87575.0,104343.8,197549.9,11092.6,1,0,1,190,190
1,load/320x80,old,218637.5,216581.2,263612.5,479045.0,4573.8,5,0,5,103122,103122
1,load/320x80,new,181862.5,180531.2,201406.2,398310.2,5498.7,4,0,4,102932,102932
1,prewarm/320x80,old,221387.5,218437.5,258506.2,485122.4,4517.0,5,0,5,103122,103122
1,prewarm/320x80,new,179293.8,176625.0,192712.5,392699.2,5577.4,3,0,3,532,532
1,validate/320x80,old,100231.2,98337.5,116412.5,219609.8,9976.9,2,0,2,102590,102590
1,validate/320x80,new,116256.2,112293.8,127918.8,254812.0,8601.7,1,0,1,190,190
1,load/1024x512,old,1355206.2,1319968.8,1382793.8,2961205.8,737.9,5,0,5,2097874,2097874
1,load/1024x512,new,1314781.2,1283637.5,1405968.8,2878097.7,760.6,4,0,4,2097684,2097684
1,prewarm/1024x512,old,1325725.0,1309887.5,1372100.0,2898936.4,754.3,5,0,5,2097874,2097874
1,prewarm/1024x512,new,721437.5,712531.2,756018.8,1579508.2,1386.1,3,0,3,532,532
1,validate/1024x512,old,1214475.0,1204012.5,1243500.0,2659777.4,823.4,2,0,2,2097342,2097342
1,validate/1024x512,new,682675.0,664525.0,711418.8,1487990.6,1464.8,1,0,1,190,190
1,load/2048x2048,old,7615506.2,7533618.8,8110931.2,16663630.8,131.3,5,0,5,16777938,16777938
1,load/2048x2048,new,8130968.8,7597756.2,10967218.8,17118613.2,123.0,4,0,4,16777748,16777748
1,prewarm/2048x2048,old,7967912.5,7815362.5,8263737.5,17447588.8,125.5,5,0,5,16777938,16777938
1,prewarm/2048x2048,new,4048950.0,4009125.0,4094150.0,8868005.7,247.0,3,0,3,532,532
1,validate/2048x2048,old,7766118.8,7758981.2,7831812.5,17010179.9,128.8,2,0,2,16777406,16777406
1,validate/2048x2048,new,3944706.2,3923256.2,4195175.0,8639245.9,253.5,1,0,1,190,190
1,prune/unrelated0,old,80818.8,77537.5,89218.8,177067.9,12373.4,7,6,7,1278,1278
1,prune/unrelated0,new,78043.8,76337.5,95306.2,170963.0,12813.3,6,5,6,1230,1230
