run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,local/empty,old,88525.0,82237.5,92000.0,196507.4,11296.2,7,4,7,2090,2090
1,old-first,local/empty,new,94875.0,82487.5,129762.5,193379.5,10540.2,7,4,7,2090,2090
1,old-first,local/one,old,272825.0,225787.5,311525.0,588589.2,3665.4,19,9,19,3991,3991
1,old-first,local/one,new,213387.5,179562.5,277700.0,466849.0,4686.3,18,9,18,3833,3833
1,old-first,local/128,old,17795037.5,17672287.5,18402525.0,38569278.0,7193.0,1004,644,1004,193892,193892
1,old-first,local/128,new,11539662.5,11369750.0,11665025.0,25033481.9,11092.2,876,644,876,173376,173376
1,old-first,local/mixed,old,36976200.0,36258062.5,38022662.5,80897329.1,3461.7,2924,2564,2924,625562,625562
1,old-first,local/mixed,new,12386650.0,12295937.5,12435425.0,27099386.8,10333.7,2412,2564,2412,552274,552274
1,old-first,gs/empty,old,265050.0,243675.0,333362.5,567846.5,3772.9,18,12,18,3223,3223
1,old-first,gs/empty,new,207212.5,195225.0,259737.5,454173.0,4826.0,17,12,17,3105,3105
1,old-first,gs/one,old,469650.0,443737.5,497862.5,1028824.0,2129.2,27,17,27,4774,4774
1,old-first,gs/one,new,361125.0,344150.0,387675.0,791050.5,2769.1,25,17,25,4593,4593
1,old-first,gs/128,old,19481075.0,19080187.5,20339837.5,42622291.0,6570.5,951,652,951,183385,183385
1,old-first,gs/128,new,13391625.0,13174725.0,13449850.0,29300808.1,9558.2,695,652,695,158339,158339
1,old-first,gs/mixed,old,39020437.5,38414312.5,39230662.5,84674072.6,3280.3,2904,2596,2904,624646,624646
1,old-first,gs/mixed,new,14451375.0,14226975.0,14748587.5,31318588.6,8857.3,2261,2596,2261,544170,544170
1,old-first,invalidate/one,old,1894.0,1816.0,2021.0,5562.1,527983.1,13,0,22,464,557
1,old-first,invalidate/one,new,593.0,590.0,598.0,2623.0,1686340.6,0,0,9,0,93
1,old-first,invalidate/all,old,275281.0,264612.0,289036.0,600857.2,464979.4,1543,0,2695,57716,70058
1,old-first,invalidate/all,new,73957.0,67605.0,81532.0,162691.2,1730735.4,0,0,1152,0,12342
1,old-first,invalidate/sparse,old,91293.0,89253.0,96687.0,202324.1,11216632.2,99,0,171,3308,4052
1,old-first,invalidate/sparse,new,74232.0,72939.0,79531.0,164811.6,13794589.9,0,0,72,0,744
1,old-first,invalidate/miss,old,72366.0,69145.0,75404.0,159271.4,14150291.6,0,0,0,0,0
1,old-first,invalidate/miss,new,67086.0,63961.0,68148.0,149044.9,15263989.5,0,0,0,0,0
1,old-first,invalidate/moving,old,194042.0,189915.0,208636.0,422577.0,659651.0,1159,0,1927,53602,61830
1,old-first,invalidate/moving,new,61597.0,55678.0,66971.0,137110.7,2078023.3,0,0,768,0,8228
1,old-first,invalidate/growing,old,240172.0,219435.0,244965.0,521685.7,532951.4,1166,0,1933,102990,86370
1,old-first,invalidate/growing,new,79197.0,72768.0,92096.0,175189.5,1616222.8,7,0,774,49388,32768
1,old-first,invalidate/tombstones,old,81010.0,75192.0,87129.0,177140.9,1580051.8,391,0,391,45374,45374
1,old-first,invalidate/tombstones,new,1813.0,1490.0,2332.0,5268.0,70601213.5,0,0,0,0,0
1,old-first,eligibility/valid,old,161.9,143.1,194.4,354.3,6175698.6,2,0,2,156,156
1,old-first,eligibility/valid,new,38.2,37.2,64.5,83.0,26174584.5,0,0,0,0,0
1,old-first,eligibility/pump,old,152.7,145.1,203.0,335.1,6547073.5,2,0,2,155,155
1,old-first,eligibility/pump,new,39.3,37.5,48.1,86.2,25448530.3,0,0,0,0,0
1,old-first,eligibility/solo,old,217.8,188.0,255.9,473.2,4590841.3,3,0,3,201,201
1,old-first,eligibility/solo,new,170.9,139.8,182.9,369.0,5852402.4,2,0,2,71,71
1,old-first,eligibility/invalid,old,494.7,483.3,527.2,1083.7,2021406.7,8,0,8,395,395
1,old-first,eligibility/invalid,new,485.3,448.6,519.5,1063.5,2060496.2,7,0,7,388,388
1,old-first,eligibility/unicode,old,176.2,154.1,191.2,382.1,5673919.8,2,0,2,153,153
1,old-first,eligibility/unicode,new,39.0,37.5,57.5,85.6,25660764.7,0,0,0,0,0
2,new-first,local/empty,new,87800.0,83775.0,102275.0,193626.4,11389.5,7,4,7,2090,2090
2,new-first,local/empty,old,96912.5,80875.0,107562.5,212393.8,10318.6,7,4,7,2090,2090
2,new-first,local/one,new,191287.5,177900.0,246462.5,419382.2,5227.7,18,9,18,3833,3833
2,new-first,local/one,old,292187.5,236450.0,321562.5,617535.8,3422.5,19,9,19,3991,3991
2,new-first,local/128,new,11803125.0,11743362.5,12395750.0,25831747.9,10844.6,876,644,876,173376,173376
2,new-first,local/128,old,18200137.5,17992287.5,18474625.0,39831375.2,7032.9,1004,644,1004,193892,193892
2,new-first,local/mixed,new,12699550.0,12303950.0,12902575.0,27792020.0,10079.1,2412,2564,2412,552274,552274
2,new-first,local/mixed,old,36731875.0,36271237.5,38046125.0,80368497.9,3484.7,2924,2564,2924,625562,625562
2,new-first,gs/empty,new,233075.0,202987.5,266637.5,510804.0,4290.5,17,12,17,3105,3105
2,new-first,gs/empty,old,249637.5,233600.0,330325.0,543948.4,4005.8,18,12,18,3223,3223
2,new-first,gs/one,new,356787.5,333500.0,437162.5,782407.8,2802.8,25,17,25,4593,4593
2,new-first,gs/one,old,433275.0,408512.5,493112.5,950242.9,2308.0,27,17,27,4774,4774
2,new-first,gs/128,new,13308225.0,13176112.5,13760962.5,29131847.8,9618.1,695,652,695,158339,158339
2,new-first,gs/128,old,19261787.5,19132462.5,19449162.5,42161368.9,6645.3,951,652,951,183385,183385
2,new-first,gs/mixed,new,14573762.5,14044975.0,14707062.5,31877216.4,8782.9,2261,2596,2261,544170,544170
2,new-first,gs/mixed,old,38711862.5,38430137.5,39927887.5,84679176.9,3306.5,2904,2596,2904,624646,624646
2,new-first,invalidate/one,new,569.0,566.0,680.0,2557.2,1757469.2,0,0,9,0,93
2,new-first,invalidate/one,old,1597.0,1580.0,1773.0,4787.3,626174.1,13,0,22,464,557
2,new-first,invalidate/all,new,71579.0,67105.0,82320.0,158081.7,1788234.0,0,0,1152,0,12342
2,new-first,invalidate/all,old,258269.0,244259.0,279794.0,563880.1,495607.3,1543,0,2695,57716,70058
2,new-first,invalidate/sparse,new,73932.0,70934.0,78406.0,164155.3,13850565.4,0,0,72,0,744
2,new-first,invalidate/sparse,old,92931.0,90762.0,98601.0,204209.7,11018928.0,99,0,171,3308,4052
2,new-first,invalidate/miss,new,68172.0,65994.0,69123.0,150719.7,15020829.7,0,0,0,0,0
2,new-first,invalidate/miss,old,73946.0,70859.0,77959.0,162329.0,13847943.1,0,0,0,0,0
2,new-first,invalidate/moving,new,62959.0,59359.0,66909.0,139773.2,2033069.1,0,0,768,0,8228
2,new-first,invalidate/moving,old,209959.0,196102.0,218157.0,456621.5,609642.8,1159,0,1927,53602,61830
2,new-first,invalidate/growing,new,77725.0,72482.0,82745.0,172368.9,1646831.8,7,0,774,49388,32768
2,new-first,invalidate/growing,old,217664.0,212302.0,228936.0,474989.2,588062.3,1166,0,1933,102990,86370
2,new-first,invalidate/tombstones,new,1644.0,1461.0,1880.0,4864.1,77858880.8,0,0,0,0,0
2,new-first,invalidate/tombstones,old,86268.0,79066.0,93861.0,189318.8,1483748.3,391,0,391,45374,45374
2,new-first,eligibility/valid,new,34.3,34.1,47.5,75.2,29171528.6,0,0,0,0,0
2,new-first,eligibility/valid,old,142.9,140.8,194.1,310.7,6999125.1,2,0,2,156,156
2,new-first,eligibility/pump,new,35.9,35.5,40.3,78.5,27843519.4,0,0,0,0,0
2,new-first,eligibility/pump,old,155.8,135.6,165.0,341.8,6416426.1,2,0,2,155,155
2,new-first,eligibility/solo,new,159.3,140.5,187.8,343.7,6276675.9,2,0,2,71,71
2,new-first,eligibility/solo,old,205.8,186.3,229.3,451.4,4859086.5,3,0,3,201,201
2,new-first,eligibility/invalid,new,446.3,413.0,482.3,970.9,2240720.6,7,0,7,388,388
2,new-first,eligibility/invalid,old,485.1,440.2,535.1,1052.7,2061324.4,8,0,8,395,395
2,new-first,eligibility/unicode,new,35.5,33.6,46.4,78.0,28133352.1,0,0,0,0,0
2,new-first,eligibility/unicode,old,151.5,129.8,175.6,332.2,6601531.6,2,0,2,153,153
3,old-first,local/empty,old,87012.5,81950.0,89137.5,190580.9,11492.6,7,4,7,2090,2090
3,old-first,local/empty,new,81800.0,79562.5,98325.0,179194.2,12224.9,7,4,7,2090,2090
3,old-first,local/one,old,250175.0,225637.5,328987.5,542494.2,3997.2,19,9,19,3991,3991
3,old-first,local/one,new,186237.5,171862.5,244050.0,405718.2,5369.5,18,9,18,3833,3833
3,old-first,local/128,old,18056750.0,17731000.0,18547325.0,39173067.4,7088.8,1004,644,1004,193892,193892
3,old-first,local/128,new,11810412.5,11439800.0,12098250.0,25594441.1,10837.9,876,644,876,173376,173376
3,old-first,local/mixed,old,37000000.0,35852787.5,37510150.0,80097964.6,3459.5,2924,2564,2924,625562,625562
3,old-first,local/mixed,new,12473600.0,12190450.0,12845300.0,27045088.8,10261.7,2412,2564,2412,552274,552274
3,old-first,gs/empty,old,268287.5,250600.0,315637.5,587985.5,3727.3,18,12,18,3223,3223
3,old-first,gs/empty,new,226037.5,215612.5,245275.0,488332.8,4424.0,17,12,17,3105,3105
3,old-first,gs/one,old,470600.0,421812.5,489087.5,1015489.2,2124.9,27,17,27,4774,4774
3,old-first,gs/one,new,337787.5,303450.0,411525.0,739879.5,2960.4,25,17,25,4593,4593
3,old-first,gs/128,old,19109062.5,18599800.0,19687300.0,41465554.0,6698.4,951,652,951,183385,183385
3,old-first,gs/128,new,13302575.0,12939912.5,13601775.0,28803065.0,9622.2,695,652,695,158339,158339
3,old-first,gs/mixed,old,39396500.0,38413337.5,40393987.5,85434693.8,3249.0,2904,2596,2904,624646,624646
3,old-first,gs/mixed,new,14624225.0,14170050.0,15252700.0,31744721.4,8752.6,2261,2596,2261,544170,544170
3,old-first,invalidate/one,old,1857.0,1710.0,1914.0,5208.7,538503.0,13,0,22,464,557
3,old-first,invalidate/one,new,553.0,543.0,737.0,2451.8,1808318.3,0,0,9,0,93
3,old-first,invalidate/all,old,273640.0,271382.0,289064.0,597983.8,467767.9,1543,0,2695,57716,70058
3,old-first,invalidate/all,new,76509.0,71999.0,77953.0,168949.2,1673005.8,0,0,1152,0,12342
3,old-first,invalidate/sparse,old,94196.0,90307.0,99094.0,209014.5,10870949.9,99,0,171,3308,4052
3,old-first,invalidate/sparse,new,74091.0,71286.0,75145.0,162910.7,13820841.9,0,0,72,0,744
3,old-first,invalidate/miss,old,73994.0,72829.0,76706.0,164330.9,13838959.9,0,0,0,0,0
3,old-first,invalidate/miss,new,66026.0,64120.0,69313.0,147130.9,15509041.9,0,0,0,0,0
3,old-first,invalidate/moving,old,197083.0,188324.0,201936.0,432379.8,649472.6,1159,0,1927,53602,61830
3,old-first,invalidate/moving,new,60770.0,55919.0,63936.0,134983.7,2106302.5,0,0,768,0,8228
3,old-first,invalidate/growing,old,221242.0,211454.0,233852.0,483279.7,578552.0,1166,0,1933,102990,86370
3,old-first,invalidate/growing,new,77841.0,75481.0,79210.0,171673.2,1644377.6,7,0,774,49388,32768
