run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,scan/empty,old,82537.5,77712.5,91000.0,180826.9,12115.7,8,5,8,1366,1366
1,old-first,scan/empty,new,80087.5,78075.0,86262.5,175462.8,12486.3,8,5,8,1366,1366
1,old-first,scan/one,old,144975.0,136000.0,160481.2,317863.4,6897.7,14,10,14,2682,2682
1,old-first,scan/one,new,90312.5,85981.2,103812.5,197906.7,11072.7,13,10,13,2512,2512
1,old-first,scan/courses128,old,5807625.0,5712193.8,5918681.2,12714180.7,22040.0,778,650,778,176342,176342
1,old-first,scan/courses128,new,346343.8,335175.0,359956.2,758921.2,369575.0,650,650,650,154582,154582
1,old-first,scan/mixed640,old,28559268.8,28272743.8,28782812.5,62547895.7,22409.5,3338,3210,3338,784598,784598
1,old-first,scan/mixed640,new,1269550.0,1249643.8,1296175.0,2780310.6,504115.6,2698,3210,2698,675798,675798
1,old-first,scan/nested,old,12474687.5,12317537.5,12544625.0,27323483.7,21162.9,1506,1372,1506,359478,359478
1,old-first,scan/nested,new,1238006.2,1225775.0,1258112.5,2711113.1,213246.1,1242,1372,1242,308502,308502
1,old-first,lookup/empty,old,81321.9,74440.6,87612.5,178343.8,12296.8,7,5,7,1272,1272
1,old-first,lookup/empty,new,78721.9,74684.4,102537.5,172643.6,12702.9,6,5,6,1265,1265
1,old-first,lookup/one,old,114081.2,110653.1,124818.8,250037.9,8765.7,13,10,13,2466,2466
1,old-first,lookup/one,new,75765.6,71887.5,99271.9,166161.5,13198.6,11,10,11,2291,2291
1,old-first,lookup/exact128,old,5405178.1,5382431.2,5480709.4,11840797.3,185.0,902,645,902,154993,154993
1,old-first,lookup/exact128,new,168387.5,165896.9,178487.5,369061.8,5938.7,138,10,138,3688,3688
1,old-first,lookup/case128,old,5489528.1,5403853.1,5583009.4,12021109.5,182.2,903,645,903,155004,155004
