run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,life_points_0,old,23.8,23.0,93.8,57.4,41967213.1,0,0,0,0,0
1,old-first,life_points_0,new,23.8,23.0,25.0,57.4,41967213.1,0,0,0,0,0
1,old-first,life_points_1,old,766.4,766.0,914.8,1687.4,130479103.0,0,0,0,0,0
1,old-first,life_points_1,new,637.9,619.9,805.9,1405.3,156766687.1,0,0,0,0,0
1,old-first,life_points_8,old,2054.3,2053.1,2161.3,4514.3,48678456.0,0,0,0,0,0
1,old-first,life_points_8,new,1143.0,1140.6,1302.7,2514.0,87491455.9,0,0,0,0,0
1,old-first,life_points_128,old,4217.2,4050.4,5382.0,9229.3,23712486.1,0,0,0,0,0
1,old-first,life_points_128,new,2134.0,2118.8,2304.7,4675.5,46860699.2,0,0,0,0,0
1,old-first,life_points_8192,old,7695.7,7504.7,8646.5,16541.4,12994264.3,0,0,0,0,0
1,old-first,life_points_8192,new,3535.5,3516.8,3671.5,7753.7,28284167.5,0,0,0,0,0
1,old-first,life_points_65536,old,12650.8,12566.0,13714.1,27761.6,7904650.2,0,0,0,0,0
1,old-first,life_points_65536,new,5150.4,5046.1,5319.1,11296.5,19416003.0,0,0,0,0,0
1,old-first,owning_flat_64,old,823.8,766.4,1046.1,1816.0,77686107.2,2,1,2,1920,1920
1,old-first,owning_flat_64,new,549.6,466.4,784.8,1211.5,116446339.7,2,1,2,1920,1920
1,old-first,scratch_flat_64,old,444.1,441.8,603.9,979.2,144098504.8,2,1,2,1920,1920
1,old-first,scratch_flat_64,new,309.8,308.2,525.4,684.2,206607818.4,1,0,1,288,288
1,old-first,warm_append_flat_64,old,479.3,419.1,665.6,1057.2,133528932.4,2,1,2,1920,1920
1,old-first,warm_append_flat_64,new,260.2,224.2,435.9,577.0,246006006.0,0,0,0,0,0
1,old-first,owning_blocks_64,old,849.2,771.5,924.6,1869.2,75363385.5,2,1,2,2592,2592
1,old-first,owning_blocks_64,new,546.5,486.7,830.9,1204.7,117112223.0,2,1,2,2592,2592
1,old-first,scratch_blocks_64,old,626.6,486.7,726.6,1381.3,102144638.4,2,1,2,2592,2592
