run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,one_shot_flat_0,old,16.6,16.4,47.5,39.0,60235294.1,0,0,0,0,0
1,old-first,one_shot_flat_0,new,13.3,13.3,13.5,31.7,75294117.6,0,0,0,0,0
1,old-first,cache_flat_0,old,16.2,15.8,16.4,38.2,61686747.0,0,0,0,0,0
1,old-first,cache_flat_0,new,12.9,12.9,13.1,30.9,77575757.6,0,0,0,0,0
1,old-first,one_shot_blocks_0,old,16.2,16.0,16.4,38.2,61686747.0,0,0,0,0,0
1,old-first,one_shot_blocks_0,new,13.1,13.1,13.1,30.9,76417910.4,0,0,0,0,0
1,old-first,cache_blocks_0,old,16.4,16.2,16.4,38.2,60952381.0,0,0,0,0,0
1,old-first,cache_blocks_0,new,13.3,12.9,13.3,31.3,75294117.6,0,0,0,0,0
1,old-first,one_shot_varied_0,old,16.2,16.0,16.4,38.2,61686747.0,0,0,0,0,0
1,old-first,one_shot_varied_0,new,12.7,12.5,12.7,30.0,78769230.8,0,0,0,0,0
1,old-first,cache_varied_0,old,15.8,15.8,16.0,37.3,63209876.5,0,0,0,0,0
1,old-first,cache_varied_0,new,13.1,12.9,13.3,30.9,76417910.4,0,0,0,0,0
1,old-first,one_shot_flat_1,old,15.6,15.4,15.8,36.9,64000000.0,0,0,0,0,0
1,old-first,one_shot_flat_1,new,12.5,12.5,12.7,30.0,80000000.0,0,0,0,0,0
1,old-first,cache_flat_1,old,15.8,15.4,50.6,37.3,63209876.5,0,0,0,0,0
1,old-first,cache_flat_1,new,13.1,13.1,13.1,30.9,76417910.4,0,0,0,0,0
1,old-first,one_shot_blocks_1,old,15.2,15.0,15.6,35.6,65641025.6,0,0,0,0,0
1,old-first,one_shot_blocks_1,new,12.9,12.9,13.1,30.9,77575757.6,0,0,0,0,0
1,old-first,cache_blocks_1,old,15.0,15.0,15.0,35.2,66493506.5,0,0,0,0,0
1,old-first,cache_blocks_1,new,13.5,13.3,13.7,32.2,74202898.6,0,0,0,0,0
1,old-first,one_shot_varied_1,old,15.2,15.2,15.6,35.6,65641025.6,0,0,0,0,0
1,old-first,one_shot_varied_1,new,12.3,12.1,12.3,29.2,81269841.3,0,0,0,0,0
1,old-first,cache_varied_1,old,15.8,15.8,15.8,37.3,63209876.5,0,0,0,0,0
1,old-first,cache_varied_1,new,13.1,12.9,98.2,31.3,76417910.4,0,0,0,0,0
1,old-first,one_shot_flat_64,old,925.6,654.1,1048.2,2033.8,69145389.3,3,1,3,2008,2008
1,old-first,one_shot_flat_64,new,414.6,413.5,481.2,912.7,154347621.3,2,1,2,1920,1920
1,old-first,cache_flat_64,old,599.0,556.4,821.3,1317.0,106840560.8,2,1,2,1720,1720
1,old-first,cache_flat_64,new,447.5,408.6,500.2,984.3,143029244.9,2,1,2,1720,1720
1,old-first,one_shot_blocks_64,old,1044.3,661.9,1069.7,2294.9,61282962.4,3,1,3,2776,2776
1,old-first,one_shot_blocks_64,new,500.4,467.4,575.4,1100.9,127900078.1,2,1,2,2592,2592
1,old-first,cache_blocks_64,old,541.2,507.0,647.9,1191.0,118253338.1,2,1,2,1912,1912
1,old-first,cache_blocks_64,new,431.1,430.3,523.0,948.3,148473040.3,2,1,2,1912,1912
1,old-first,one_shot_varied_64,old,2453.7,2155.1,2811.5,5388.9,26082942.0,3,0,3,12352,12352
1,old-first,one_shot_varied_64,new,1689.5,1610.0,1777.0,3710.9,37882080.9,2,0,2,10776,10776
1,old-first,cache_varied_64,old,994.9,975.0,1203.9,2186.9,64326658.8,2,0,2,3136,3136
1,old-first,cache_varied_64,new,1087.3,1035.5,1336.9,2389.2,58861146.0,2,0,2,3136,3136
1,old-first,one_shot_flat_4096,old,23551.6,22859.4,23959.4,51716.2,173916274.1,3,1,3,98776,98776
1,old-first,one_shot_flat_4096,new,10523.4,10451.6,12732.8,23050.9,389226429.1,2,1,2,98688,98688
