stage,run,case,variant,ns_per_op,ns_min,ns_max,thread_cycles_per_op,draws_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
unchanged_control,0,sorted1024,before,1901.3,1757.5,2005.4,4169.6,538573666.5,0,0,0,0,0
unchanged_control,0,sorted1024,after,1890.8,1848.7,2073.4,4152.0,541563888.0,0,0,0,0,0
unchanged_control,0,sparse7_1024,before,10466.4,10202.1,11317.8,22925.6,97837285.6,0,0,0,0,0
unchanged_control,0,sparse7_1024,after,10475.8,10264.3,10967.1,22931.6,97749272.9,0,0,0,0,0
unchanged_control,0,dense65_1024,before,12130.4,11976.0,12561.1,26593.6,84415874.0,0,0,0,0,0
unchanged_control,0,dense65_1024,after,12079.0,11822.3,12483.0,26487.2,84775545.0,0,0,0,0,0
unchanged_control,0,dense128_4096,before,59299.0,55281.0,63841.6,129821.7,69073707.0,0,0,0,0,0
unchanged_control,0,dense128_4096,after,58468.5,53122.6,62361.4,128092.7,70054808.8,0,0,0,0,0
unchanged_control,0,wide65_1024,before,27866.3,25892.1,29929.2,61079.9,36746948.1,0,0,0,0,0
unchanged_control,0,wide65_1024,after,27599.2,25645.2,30700.0,60500.0,37102565.1,0,0,0,0,0
unchanged_control,0,unordered7_1024,before,33341.1,31847.0,34892.5,73091.6,30712831.7,0,0,0,0,0
unchanged_control,0,unordered7_1024,after,32714.5,31552.6,33754.2,71698.9,31301149.9,0,0,0,0,0
unchanged_control,0,unordered128_4096,before,162139.5,154658.1,166198.3,355274.0,25262196.8,0,0,0,0,0
unchanged_control,0,unordered128_4096,after,162773.5,157564.2,166202.5,356682.2,25163795.8,0,0,0,0,0
unchanged_control,0,ordered_z_1024,before,32226.1,31079.9,32526.9,70582.6,31775511.8,0,0,0,0,0
unchanged_control,0,ordered_z_1024,after,32288.1,32175.7,32874.3,70779.2,31714436.5,0,0,0,0,0
key_check_removed,1,sorted1024,before,1663.7,1581.1,1758.3,3650.6,615505987.3,0,0,0,0,0
key_check_removed,1,sorted1024,after,1622.7,1595.7,1779.5,3558.7,631064034.7,0,0,0,0,0
key_check_removed,1,sparse7_1024,before,9148.3,8833.4,9541.9,20054.1,111932877.2,0,0,0,0,0
key_check_removed,1,sparse7_1024,after,8923.4,8836.3,9259.6,19516.2,114753983.5,0,0,0,0,0
key_check_removed,1,dense65_1024,before,10758.6,10583.0,12076.6,23575.9,95179293.5,0,0,0,0,0
key_check_removed,1,dense65_1024,after,9360.6,9154.4,9639.5,20510.6,109394176.5,0,0,0,0,0
key_check_removed,1,dense128_4096,before,50131.7,49271.3,51348.7,109818.2,81704727.2,0,0,0,0,0
key_check_removed,1,dense128_4096,after,45242.7,44812.0,46620.5,99175.3,90533991.0,0,0,0,0,0
key_check_removed,1,wide65_1024,before,26200.1,25865.9,28263.6,57426.6,39083823.8,0,0,0,0,0
key_check_removed,1,wide65_1024,after,24975.0,24761.3,25617.3,54738.9,41001001.0,0,0,0,0,0
key_check_removed,1,unordered7_1024,before,27400.5,27250.3,29255.6,60075.3,37371596.8,0,0,0,0,0
key_check_removed,1,unordered7_1024,after,29628.1,28867.9,31374.9,64903.6,34561755.1,0,0,0,0,0
key_check_removed,1,unordered128_4096,before,132437.4,131466.8,139102.9,290262.1,30927830.3,0,0,0,0,0
key_check_removed,1,unordered128_4096,after,133784.3,131678.8,156539.2,293093.5,30616452.7,0,0,0,0,0
key_check_removed,1,ordered_z_1024,before,29388.2,27936.5,31663.7,64402.9,34843878.5,0,0,0,0,0
key_check_removed,1,ordered_z_1024,after,28710.1,26588.3,31910.3,62942.6,35666942.2,0,0,0,0,0
key_check_removed,2,sorted1024,after,2196.5,1983.5,2748.5,4817.1,466189174.2,0,0,0,0,0
key_check_removed,2,sorted1024,before,2074.9,2017.5,2627.0,4551.8,493517202.4,0,0,0,0,0
key_check_removed,2,sparse7_1024,after,12111.2,11728.8,12685.0,26551.7,84549625.5,0,0,0,0,0
key_check_removed,2,sparse7_1024,before,11870.4,11684.6,12283.2,26005.7,86264921.5,0,0,0,0,0
key_check_removed,2,dense65_1024,after,14970.0,14915.8,15381.0,32810.5,68403384.4,0,0,0,0,0
key_check_removed,2,dense65_1024,before,16969.6,16117.1,17500.4,37207.4,60343272.8,0,0,0,0,0
key_check_removed,2,dense128_4096,after,47961.0,46545.1,48739.6,105103.3,85402747.4,0,0,0,0,0
key_check_removed,2,dense128_4096,before,51732.4,50556.4,52808.1,112469.5,79176727.4,0,0,0,0,0
key_check_removed,2,wide65_1024,after,23789.7,23475.0,24412.0,52140.8,43043843.2,0,0,0,0,0
key_check_removed,2,wide65_1024,before,24673.2,24616.8,27374.8,54060.6,41502450.0,0,0,0,0,0
key_check_removed,2,unordered7_1024,after,27310.3,26966.0,28723.7,59537.0,37495074.3,0,0,0,0,0
key_check_removed,2,unordered7_1024,before,28096.6,27818.5,29845.6,61425.1,36445714.2,0,0,0,0,0
key_check_removed,2,unordered128_4096,after,135557.6,130886.5,136416.4,295879.1,30215944.8,0,0,0,0,0
key_check_removed,2,unordered128_4096,before,143030.0,133172.4,158957.5,312476.4,28637352.7,0,0,0,0,0
key_check_removed,2,ordered_z_1024,after,26158.2,24932.6,32175.7,57336.6,39146419.8,0,0,0,0,0
key_check_removed,2,ordered_z_1024,before,28068.4,27078.7,31894.5,61526.7,36482360.3,0,0,0,0,0
key_check_removed,3,sorted1024,before,1956.0,1753.9,2092.9,4282.2,523515814.2,0,0,0,0,0
key_check_removed,3,sorted1024,after,1789.5,1674.1,2134.3,3924.8,572226254.5,0,0,0,0,0
key_check_removed,3,sparse7_1024,before,10552.9,9970.2,11045.0,23129.2,97034665.3,0,0,0,0,0
key_check_removed,3,sparse7_1024,after,10687.1,10166.6,11448.3,23416.2,95816805.3,0,0,0,0,0
key_check_removed,3,dense65_1024,before,12140.1,11420.7,12967.0,26601.2,84348308.7,0,0,0,0,0
key_check_removed,3,dense65_1024,after,11381.9,10193.3,12011.5,24951.1,89967524.8,0,0,0,0,0
key_check_removed,3,dense128_4096,before,57294.4,50881.4,61899.9,125515.8,71490426.4,0,0,0,0,0
key_check_removed,3,dense128_4096,after,52182.4,50307.3,54309.2,114350.1,78493938.9,0,0,0,0,0
key_check_removed,3,wide65_1024,before,28076.1,26683.5,29355.1,61546.6,36472272.1,0,0,0,0,0
key_check_removed,3,wide65_1024,after,26067.7,24413.2,28277.5,57132.7,39282366.7,0,0,0,0,0
key_check_removed,3,unordered7_1024,before,32643.6,27937.8,33981.6,71553.6,31369132.7,0,0,0,0,0
key_check_removed,3,unordered7_1024,after,32224.9,30389.6,32546.2,70584.5,31776715.4,0,0,0,0,0
key_check_removed,3,unordered128_4096,before,158245.3,138618.7,163062.3,346737.8,25883863.1,0,0,0,0,0
key_check_removed,3,unordered128_4096,after,133877.2,130097.4,153023.5,293375.4,30595202.8,0,0,0,0,0
key_check_removed,3,ordered_z_1024,before,28800.3,26643.2,31787.4,63132.5,35555193.9,0,0,0,0,0
key_check_removed,3,ordered_z_1024,after,28477.1,26822.1,30211.4,62416.1,35958779.9,0,0,0,0,0
