run,case,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
1,240fps-due,before,3254.5,3224.1,3279.1,7130.4,39330326.4,0,0,0,0,0
1,240fps-due,after,919.6,911.9,946.8,2014.3,139192120.3,0,0,0,0,0
1,240fps-jitter,before,3225.9,3206.1,3444.5,7070.1,39679409.1,0,0,0,0,0
1,240fps-jitter,after,913.8,896.5,952.7,1999.7,140077681.7,0,0,0,0,0
1,60fps-jitter,before,3221.1,3203.2,3294.1,7061.8,39737527.7,0,0,0,0,0
1,60fps-jitter,after,922.8,884.4,937.8,2023.2,138710161.8,0,0,0,0,0
1,background-jitter,before,3222.0,3199.7,3309.2,7060.0,39726387.1,0,0,0,0,0
1,background-jitter,after,957.4,908.1,1134.9,2097.3,133697910.5,0,0,0,0,0
1,240fps-missed,before,3279.3,3166.2,3475.0,7190.4,39033229.8,0,0,0,0,0
1,240fps-missed,after,3388.0,3353.8,3440.7,7423.7,37780123.7,0,0,0,0,0
1,240fps-mixed,before,2694.9,2594.5,2900.7,5907.9,47497222.7,0,0,0,0,0
1,240fps-mixed,after,1489.2,1485.9,1521.7,3264.1,85952903.5,0,0,0,0,0
1,future,before,784.7,779.1,805.7,1721.2,163111731.6,0,0,0,0,0
1,future,after,783.2,774.6,815.4,1715.1,163426963.9,0,0,0,0,0
1,zero,before,819.7,809.3,876.7,1797.5,156156606.9,0,0,0,0,0
1,zero,after,815.9,807.4,836.6,1789.1,156880863.0,0,0,0,0,0
2,240fps-due,after,917.1,903.8,947.1,2008.3,139573788.4,0,0,0,0,0
2,240fps-due,before,3230.1,3204.5,3347.2,7076.2,39627561.9,0,0,0,0,0
2,240fps-jitter,after,916.4,901.4,957.9,2008.6,139669532.7,0,0,0,0,0
2,240fps-jitter,before,3226.3,3181.6,3268.0,7070.8,39674154.5,0,0,0,0,0
2,60fps-jitter,after,910.6,897.5,917.4,1995.9,140564967.2,0,0,0,0,0
2,60fps-jitter,before,3240.3,3182.2,3422.3,7065.6,39501975.9,0,0,0,0,0
2,background-jitter,after,917.2,900.3,921.8,2006.4,139555676.8,0,0,0,0,0
2,background-jitter,before,3247.1,3188.0,3317.7,7101.9,39420335.6,0,0,0,0,0
2,240fps-missed,after,3412.5,3362.5,3549.4,7465.7,37509023.3,0,0,0,0,0
2,240fps-missed,before,3324.9,3206.7,3502.3,7268.4,38497442.0,0,0,0,0,0
2,240fps-mixed,after,1527.0,1490.3,1684.5,3339.5,83824552.8,0,0,0,0,0
2,240fps-mixed,before,2618.3,2600.2,2686.3,5732.3,48886314.3,0,0,0,0,0
2,future,after,783.1,776.3,829.3,1714.4,163448617.2,0,0,0,0,0
2,future,before,793.5,776.0,812.3,1735.1,161315661.9,0,0,0,0,0
2,zero,after,814.8,802.6,880.2,1782.2,157102982.3,0,0,0,0,0
2,zero,before,959.7,891.8,1011.0,2095.9,133376919.9,0,0,0,0,0
3,240fps-due,before,3706.2,3524.5,3872.9,8120.2,34537137.9,0,0,0,0,0
3,240fps-due,after,945.3,911.9,1013.6,2071.9,135408018.6,0,0,0,0,0
3,240fps-jitter,before,3391.2,3293.2,3588.0,7434.1,37745172.9,0,0,0,0,0
3,240fps-jitter,after,921.5,904.7,932.2,2015.6,138905856.2,0,0,0,0,0
3,60fps-jitter,before,3311.1,3209.3,3375.3,7256.6,38657393.5,0,0,0,0,0
3,60fps-jitter,after,910.6,899.6,1013.1,1995.7,140569678.2,0,0,0,0,0
3,background-jitter,before,3217.0,3205.3,3312.1,7054.0,39789097.0,0,0,0,0,0
3,background-jitter,after,904.4,891.5,919.0,1982.9,141529241.9,0,0,0,0,0
3,240fps-missed,before,3203.2,3174.4,3234.5,7020.2,39959528.9,0,0,0,0,0
3,240fps-missed,after,3530.0,3338.0,3706.3,7739.3,36260353.6,0,0,0,0,0
3,240fps-mixed,before,2596.5,2561.1,2772.2,5692.1,49297079.8,0,0,0,0,0
3,240fps-mixed,after,1492.2,1489.5,1531.5,3271.9,85778175.0,0,0,0,0,0
3,future,before,799.7,776.3,964.7,1753.7,160051896.7,0,0,0,0,0
3,future,after,802.8,765.4,923.9,1759.9,159438622.1,0,0,0,0,0
3,zero,before,815.6,800.8,830.1,1787.5,156940738.0,0,0,0,0,0
3,zero,after,816.4,789.7,996.4,1789.4,156785275.1,0,0,0,0,0
