run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,ring_128_0_warm,old,5.0,5.0,5.0,11.3,200784313.7,0,0,0,0,0
1,old-first,ring_128_0_warm,new,1.5,1.4,1.5,3.6,682666666.7,0,0,0,0,0
1,old-first,ring_128_32_warm,old,65.4,63.2,85.0,143.9,489622712.0,0,0,0,0,0
1,old-first,ring_128_32_warm,new,36.6,36.5,38.1,80.9,873231179.2,0,0,0,0,0
1,old-first,ring_128_128_warm,old,219.4,201.2,234.0,482.4,583319982.2,0,0,0,0,0
1,old-first,ring_128_128_warm,new,104.1,102.5,139.2,228.9,1229568480.3,0,0,0,0,0
1,old-first,ring_128_177_warm,old,189.4,188.0,265.3,415.4,675977307.9,0,0,0,0,0
1,old-first,ring_128_177_warm,new,92.7,66.7,112.3,186.4,1381523056.7,0,0,0,0,0
1,old-first,ring_127_177_warm,old,257.2,241.7,364.7,549.4,493868793.3,0,0,0,0,0
1,old-first,ring_127_177_warm,new,104.1,102.3,137.6,228.9,1219676436.1,0,0,0,0,0
1,old-first,ring_128_177_cold,old,1249.3,1151.6,1439.5,2717.8,102456030.6,1,5,1,12096,12096
1,old-first,ring_128_177_cold,new,224.8,188.2,299.2,493.7,569506843.4,1,0,1,6144,6144
1,old-first,hist_fixed,old,6992.2,6321.1,9428.1,15358.1,36612290.5,0,0,0,0,0
1,old-first,hist_fixed,new,1320.3,1319.5,1643.0,2908.4,193893491.1,0,0,0,0,0
1,old-first,hist_narrow,old,6710.9,6597.7,9638.3,14745.9,38146682.2,0,0,0,0,0
1,old-first,hist_narrow,new,1803.9,1801.6,2061.7,3969.9,141914248.6,0,0,0,0,0
1,old-first,hist_full,old,9900.0,8820.3,11669.5,21728.8,25858585.9,0,0,0,0,0
1,old-first,hist_full,new,9365.6,8818.0,12526.6,20537.0,27334000.7,0,0,0,0,0
1,old-first,readout_stable,old,115.3,113.9,173.4,252.7,52056767.6,0,0,0,0,0
1,old-first,readout_stable,new,101.9,100.7,163.2,223.5,58864670.7,0,0,0,0,0
1,old-first,readout_alternating,old,113.6,112.1,173.1,249.1,52794844.3,0,0,0,0,0
1,old-first,readout_alternating,new,126.9,106.6,155.2,273.1,47297921.5,0,0,0,0,0
1,old-first,readout_jitter,old,3590.4,3417.9,3958.4,7828.4,1671143.3,10,1,10,1000,1000
1,old-first,readout_jitter,new,2375.7,2284.1,2509.9,5183.4,2525614.8,0,0,0,0,0
1,old-first,readout_changing,old,4868.1,4762.0,5138.2,10623.7,1232516.0,12,1,12,1160,1160
1,old-first,readout_changing,new,4541.7,4418.9,5043.0,9918.7,1321084.3,5,0,5,456,456
1,old-first,readout_saturated_stable,old,4912.0,4829.1,5022.8,10731.5,1221507.6,12,1,12,1160,1160
1,old-first,readout_saturated_stable,new,116.5,96.2,153.0,258.3,51489629.2,0,0,0,0,0
2,new-first,ring_128_0_warm,new,1.3,1.3,1.3,3.2,758518518.5,0,0,0,0,0
2,new-first,ring_128_0_warm,old,4.3,4.3,4.4,9.9,230112359.6,0,0,0,0,0
2,new-first,ring_128_32_warm,new,24.2,24.2,24.7,53.6,1319959718.0,0,0,0,0,0
2,new-first,ring_128_32_warm,old,56.7,54.5,98.6,124.2,564235901.9,0,0,0,0,0
2,new-first,ring_128_128_warm,new,65.8,63.9,71.8,145.2,1943967371.2,0,0,0,0,0
2,new-first,ring_128_128_warm,old,204.0,184.6,287.9,447.3,627363886.6,0,0,0,0,0
2,new-first,ring_128_177_warm,new,126.5,121.0,200.2,278.0,1011943640.2,0,0,0,0,0
2,new-first,ring_128_177_warm,old,182.0,175.0,250.0,396.4,703364636.4,0,0,0,0,0
2,new-first,ring_127_177_warm,new,116.2,84.0,154.7,254.7,1093069972.7,0,0,0,0,0
2,new-first,ring_127_177_warm,old,291.9,249.5,320.3,639.9,435052270.6,0,0,0,0,0
2,new-first,ring_128_177_cold,new,253.3,202.9,333.5,555.5,505337831.3,1,0,1,6144,6144
2,new-first,ring_128_177_cold,old,1244.8,1205.4,1427.5,2727.5,102827779.6,1,5,1,12096,12096
2,new-first,hist_fixed,new,1315.6,1314.1,1457.0,2898.1,194584323.0,0,0,0,0,0
2,new-first,hist_fixed,old,6909.4,6175.0,9054.7,15150.6,37051108.1,0,0,0,0,0
2,new-first,hist_narrow,new,1845.3,1843.0,2757.0,4069.3,138729889.9,0,0,0,0,0
2,new-first,hist_narrow,old,6308.6,6037.5,9036.7,13859.4,40579566.6,0,0,0,0,0
2,new-first,hist_full,new,9687.5,8811.7,12157.8,21253.8,26425806.5,0,0,0,0,0
2,new-first,hist_full,old,8939.8,8609.4,11984.4,19475.5,28635847.2,0,0,0,0,0
2,new-first,readout_stable,new,114.3,108.4,155.5,251.0,52512820.5,0,0,0,0,0
2,new-first,readout_stable,old,115.1,110.4,143.2,252.5,52145130.5,0,0,0,0,0
