run,order,case,geometries,version,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
1,old-first,Stable,0,old,6.5,5.9,10.3,14.6,153984962.4,0,0,0,0,0
1,old-first,Stable,0,new,5.1,5.1,5.1,11.5,196923076.9,0,0,0,0,0
1,old-first,Stable,1,old,9.2,7.3,11.8,20.4,109226666.7,0,0,0,0,0
1,old-first,Stable,1,new,8.0,8.0,12.6,18.0,124498480.2,0,0,0,0,0
1,old-first,ChangeFirst,1,old,10.5,10.5,10.5,23.3,95255814.0,0,0,0,0,0
1,old-first,ChangeFirst,1,new,8.4,8.2,8.5,18.9,118381502.9,0,0,0,0,0
1,old-first,ChangeLast,1,old,13.9,11.1,25.2,31.2,71985940.2,0,0,0,0,0
1,old-first,ChangeLast,1,new,8.2,8.2,8.4,18.3,121904761.9,0,0,0,0,0
1,old-first,Mixed,1,old,16.4,16.3,29.5,36.2,61134328.4,0,0,0,0,0
1,old-first,Mixed,1,new,14.3,14.3,14.3,31.7,70017094.0,0,0,0,0,0
1,old-first,Misses,1,old,17.6,17.6,17.6,39.0,56809986.1,0,0,0,0,0
1,old-first,Misses,1,new,19.5,19.5,19.6,43.1,51264080.1,0,0,0,0,0
1,old-first,Stable,16,old,37.9,37.9,40.7,83.5,421724581.7,0,0,0,0,0
1,old-first,Stable,16,new,49.3,48.9,66.1,108.6,324275111.3,0,0,0,0,0
1,old-first,ChangeFirst,16,old,42.3,42.3,42.3,93.1,378383371.8,0,0,0,0,0
1,old-first,ChangeFirst,16,new,49.3,49.2,58.3,108.9,324435643.6,0,0,0,0,0
1,old-first,ChangeLast,16,old,74.1,71.8,84.0,160.9,216005273.6,0,0,0,0,0
1,old-first,ChangeLast,16,new,50.9,45.7,80.4,112.0,314472168.9,0,0,0,0,0
1,old-first,Mixed,16,old,65.2,65.1,67.4,143.4,245545148.0,0,0,0,0,0
1,old-first,Mixed,16,new,89.8,77.8,113.3,195.2,178183795.5,0,0,0,0,0
1,old-first,Misses,16,old,165.8,155.1,194.2,364.2,96518409.4,0,0,0,0,0
1,old-first,Misses,16,new,160.9,155.9,197.2,352.8,99432559.6,0,0,0,0,0
1,old-first,Stable,64,old,146.4,145.5,182.0,320.7,437052350.8,0,0,0,0,0
1,old-first,Stable,64,new,153.8,149.5,177.9,337.7,416233725.0,0,0,0,0,0
1,old-first,ChangeFirst,64,old,155.3,153.1,175.7,339.2,411981769.6,0,0,0,0,0
1,old-first,ChangeFirst,64,new,158.0,153.7,207.0,347.3,404980689.0,0,0,0,0,0
1,old-first,ChangeLast,64,old,302.1,293.6,381.8,662.8,211816418.9,0,0,0,0,0
1,old-first,ChangeLast,64,new,164.4,155.2,237.6,361.5,389284229.3,0,0,0,0,0
1,old-first,Mixed,64,old,294.4,269.8,402.5,645.9,217384526.1,0,0,0,0,0
1,old-first,Mixed,64,new,284.1,270.1,436.9,613.8,225248324.5,0,0,0,0,0
1,old-first,Misses,64,old,866.0,772.8,1187.2,1899.4,73899585.6,0,0,0,0,0
1,old-first,Misses,64,new,890.9,837.8,988.2,1954.3,71836018.9,0,0,0,0,0
1,old-first,Stable,256,old,628.3,582.8,708.5,1378.4,407467164.1,0,0,0,0,0
1,old-first,Stable,256,new,602.7,566.1,628.7,1322.5,424748248.1,0,0,0,0,0
1,old-first,ChangeFirst,256,old,607.4,579.4,659.7,1331.6,421470316.3,0,0,0,0,0
1,old-first,ChangeFirst,256,new,655.7,605.5,732.1,1437.6,390414774.0,0,0,0,0,0
1,old-first,ChangeLast,256,old,1174.9,1157.2,1238.8,2576.8,217899505.4,0,0,0,0,0
1,old-first,ChangeLast,256,new,597.2,572.1,621.1,1310.5,428690106.3,0,0,0,0,0
