"run","case","variant","median_ns","min_ns","max_ns","thread_cycles","units_per_second","allocs","reallocs","frees","allocated_bytes","freed_bytes"
"1","valid","before","8840.9","8710.2","9074.2","19363.3","28956469","0","0","0","0","0"
"1","valid","after","8394.4","8348.2","8707.4","18398.4","30496488.1","0","0","0","0","0"
"1","fallback","before","4786.5","4725.4","5124.9","10492.4","53484176.5","0","0","0","0","0"
"1","fallback","after","4212.8","4151.3","4321.3","9237.8","60767463.2","0","0","0","0","0"
"1","mixed","before","6896.5","6850.8","7142","15110.6","37120034","0","0","0","0","0"
"1","mixed","after","6609.8","6479.8","6694.7","14485.7","38730356.9","0","0","0","0","0"
"2","valid","after","8784.3","8576.3","8839.4","19243.7","29142977.8","0","0","0","0","0"
"2","valid","before","9243.1","9111.7","9611.4","20261.1","27696436.3","0","0","0","0","0"
"2","fallback","after","4502.8","4417.6","4623.4","9872.3","56853108.9","0","0","0","0","0"
"2","fallback","before","4722.4","4654.5","4862.2","10357","54209444.7","0","0","0","0","0"
"2","mixed","after","7169.1","7091.2","7352.5","15715.6","35708907.5","0","0","0","0","0"
"2","mixed","before","7297.6","7149.1","7991.6","15992.7","35080225.4","0","0","0","0","0"
"3","valid","before","8927","8734.9","9153.2","19568.8","28677040.9","0","0","0","0","0"
"3","valid","after","9035.3","8829.2","9195.1","19804.5","28333344.6","0","0","0","0","0"
"3","fallback","before","4418.4","4401.1","4496.8","9684.2","57939738.2","0","0","0","0","0"
"3","fallback","after","4158.1","4119.9","4236","9103.6","61566319.2","0","0","0","0","0"
"3","mixed","before","6849.6","6704.8","6900.7","15015.5","37374260.9","0","0","0","0","0"
"3","mixed","after","6827.4","6770.1","6958.5","14967.5","37495878.8","0","0","0","0","0"
