run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,bands_itg_10,old,410.0,150.2,520.7,902.4,2439256.8,2,0,2,1540,1540
1,old-first,bands_itg_10,new,88.9,88.5,112.1,197.2,11252747.3,1,0,1,1440,1440
1,old-first,bands_itg_180,old,251.8,212.9,299.0,555.2,3972071.4,2,0,2,1540,1540
1,old-first,bands_itg_180,new,163.1,162.7,163.9,360.1,6131736.5,1,0,1,1440,1440
1,old-first,bands_ex_10,old,315.0,134.0,365.4,693.7,3174209.5,2,0,2,1848,1848
1,old-first,bands_ex_10,new,100.8,89.8,162.3,223.8,9922480.6,1,0,1,1728,1728
1,old-first,bands_ex_180,old,272.5,236.7,286.9,600.6,3670250.9,2,0,2,1848,1848
1,old-first,bands_ex_180,new,192.6,182.2,242.6,425.3,5192697.8,1,0,1,1728,1728
1,old-first,bands_hard_10,old,390.6,134.2,406.8,859.6,2560000.0,2,0,2,2156,2156
1,old-first,bands_hard_10,new,97.9,89.8,158.2,217.4,10219560.9,1,0,1,2016,2016
1,old-first,bands_hard_180,old,264.3,200.2,312.5,583.0,3784183.3,2,0,2,2156,2156
1,old-first,bands_hard_180,new,165.4,155.5,274.4,366.1,6044864.2,1,0,1,2016,2016
1,old-first,bands_arrow_10,old,23.2,23.2,23.4,53.6,43025210.1,0,0,0,0,0
1,old-first,bands_arrow_10,new,20.9,20.9,21.1,48.9,47850467.3,0,0,0,0,0
1,old-first,bands_arrow_180,old,23.2,23.2,120.9,53.6,43025210.1,0,0,0,0,0
1,old-first,bands_arrow_180,new,19.9,19.7,54.5,46.7,50196078.4,0,0,0,0,0
1,old-first,scatter_itg_hits_0,old,26.6,26.2,26.6,62.6,37647058.8,0,0,0,0,0
1,old-first,scatter_itg_hits_0,new,30.1,27.7,98.0,75.5,33246753.2,0,0,0,0,0
1,old-first,scatter_hard_hits_0,old,32.0,32.0,32.4,76.3,31219512.2,0,0,0,0,0
1,old-first,scatter_hard_hits_0,new,27.3,27.0,27.3,64.3,36571428.6,0,0,0,0,0
1,old-first,scatter_itg_mixed_0,old,25.0,24.6,89.1,59.2,40000000.0,0,0,0,0,0
1,old-first,scatter_itg_mixed_0,new,26.2,26.2,26.6,62.6,38208955.2,0,0,0,0,0
1,old-first,scatter_hard_mixed_0,old,26.6,26.2,26.6,63.4,37647058.8,0,0,0,0,0
1,old-first,scatter_hard_mixed_0,new,26.2,26.2,88.3,63.4,38208955.2,0,0,0,0,0
1,old-first,scatter_itg_rejected_0,old,26.6,26.2,26.6,62.6,37647058.8,0,0,0,0,0
1,old-first,scatter_itg_rejected_0,new,27.0,27.0,27.3,64.3,37101449.3,0,0,0,0,0
1,old-first,scatter_hard_rejected_0,old,25.4,23.8,25.8,60.0,39384615.4,0,0,0,0,0
1,old-first,scatter_hard_rejected_0,new,25.4,25.4,25.8,60.9,39384615.4,0,0,0,0,0
1,old-first,scatter_itg_hits_64,old,1093.4,1023.4,1307.8,2404.2,58535191.1,1,0,1,9216,9216
1,old-first,scatter_itg_hits_64,new,964.5,889.1,1398.0,2122.1,66358849.7,1,0,1,9216,9216
1,old-first,scatter_hard_hits_64,old,1142.2,1068.8,1179.7,2513.1,56032831.7,1,0,1,9216,9216
1,old-first,scatter_hard_hits_64,new,991.4,880.9,1161.3,2181.3,64554767.5,1,0,1,9216,9216
1,old-first,scatter_itg_mixed_64,old,973.0,945.7,1152.0,2123.0,65772782.0,1,0,1,9216,9216
1,old-first,scatter_itg_mixed_64,new,899.6,821.5,1110.2,1978.9,71141988.7,1,0,1,9216,9216
1,old-first,scatter_hard_mixed_64,old,344.5,325.8,407.4,761.4,185759637.2,1,0,1,9216,9216
1,old-first,scatter_hard_mixed_64,new,412.1,330.1,605.5,910.6,155298578.2,1,0,1,9216,9216
1,old-first,scatter_itg_rejected_64,old,141.8,141.8,206.2,316.4,451349862.3,1,0,1,9216,9216
1,old-first,scatter_itg_rejected_64,new,73.0,72.7,73.0,164.6,876149732.6,0,0,0,0,0
1,old-first,scatter_hard_rejected_64,old,150.8,134.0,275.8,343.0,424455958.5,1,0,1,9216,9216
1,old-first,scatter_hard_rejected_64,new,81.6,81.6,152.0,185.2,783923445.0,0,0,0,0,0
1,old-first,scatter_itg_hits_256,old,5918.8,5134.4,7031.2,13032.8,43252375.9,1,0,1,36864,36864
1,old-first,scatter_itg_hits_256,new,3559.4,3556.2,4396.9,7847.1,71922739.2,1,0,1,36864,36864
1,old-first,scatter_hard_hits_256,old,5168.8,5159.4,6093.8,11379.7,49528416.0,1,0,1,36864,36864
1,old-first,scatter_hard_hits_256,new,3781.2,3559.4,4309.4,8341.0,67702479.3,1,0,1,36864,36864
1,old-first,scatter_itg_mixed_256,old,4909.4,4721.9,6018.8,10659.5,52145130.5,1,0,1,36864,36864
1,old-first,scatter_itg_mixed_256,new,3343.8,3340.6,4150.0,7380.7,76560747.7,1,0,1,36864,36864
1,old-first,scatter_hard_mixed_256,old,1265.6,1171.9,1890.6,2812.3,202271604.9,1,0,1,36864,36864
1,old-first,scatter_hard_mixed_256,new,1200.0,1137.5,1668.8,2675.2,213333333.3,1,0,1,36864,36864
1,old-first,scatter_itg_rejected_256,old,400.0,396.9,400.0,912.3,640000000.0,1,0,1,36864,36864
1,old-first,scatter_itg_rejected_256,new,212.5,212.5,215.6,507.6,1204705882.4,0,0,0,0,0
1,old-first,scatter_hard_rejected_256,old,375.0,375.0,378.1,857.4,682666666.7,1,0,1,36864,36864
1,old-first,scatter_hard_rejected_256,new,212.5,212.5,215.6,500.8,1204705882.4,0,0,0,0,0
1,old-first,scatter_itg_hits_1024,old,22078.1,20946.9,26415.6,48152.8,46380750.2,1,0,1,147456,147456
1,old-first,scatter_itg_hits_1024,new,14496.9,13546.9,15731.2,31868.7,70635912.9,1,0,1,147456,147456
1,old-first,scatter_hard_hits_1024,old,21593.8,21018.8,22500.0,47453.2,47421128.8,1,0,1,147456,147456
1,old-first,scatter_hard_hits_1024,new,15134.4,13615.6,17731.2,33268.0,67660541.0,1,0,1,147456,147456
1,old-first,scatter_itg_mixed_1024,old,19775.0,18556.2,26425.0,43454.2,51782553.7,1,0,1,147456,147456
1,old-first,scatter_itg_mixed_1024,new,13615.6,12631.2,14159.4,29838.3,75207711.7,1,0,1,147456,147456
1,old-first,scatter_hard_mixed_1024,old,5965.6,5712.5,6400.0,13005.4,171650078.6,1,0,1,147456,147456
1,old-first,scatter_hard_mixed_1024,new,4318.8,4312.5,5565.6,9520.8,237105644.0,1,0,1,147456,147456
1,old-first,scatter_itg_rejected_1024,old,1040.6,984.4,1528.1,2318.5,984024024.0,1,0,1,147456,147456
1,old-first,scatter_itg_rejected_1024,new,865.6,840.6,1921.9,2002.9,1182960288.8,0,0,0,0,0
1,old-first,scatter_hard_rejected_1024,old,981.2,978.1,1500.0,2195.0,1043566879.0,1,0,1,147456,147456
1,old-first,scatter_hard_rejected_1024,new,818.8,815.6,1321.9,1838.3,1250687022.9,0,0,0,0,0
1,old-first,scatter_itg_hits_4096,old,88703.1,86031.2,96943.8,191932.2,46176501.7,1,0,1,589824,589824
1,old-first,scatter_itg_hits_4096,new,64159.4,63796.9,74637.5,140480.0,63841020.9,1,0,1,589824,589824
1,old-first,scatter_hard_hits_4096,old,94400.0,90484.4,108343.8,203956.6,43389830.5,1,0,1,589824,589824
1,old-first,scatter_hard_hits_4096,new,68231.2,65056.2,73537.5,149548.1,60031144.1,1,0,1,589824,589824
1,old-first,scatter_itg_mixed_4096,old,84218.8,83468.8,90600.0,183440.3,48635250.5,1,0,1,589824,589824
