run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,build_fast_0,old,3800.0,3367.0,4172.5,8300.7,263157.9,1,0,1,1672,1672
1,old-first,build_fast_0,new,3220.1,3053.5,3678.1,7064.3,310547.7,1,0,1,1672,1672
1,old-first,build_shifted_0,old,3662.7,3309.0,4508.6,8035.8,273023.0,1,0,1,1672,1672
1,old-first,build_shifted_0,new,3207.2,2999.4,3436.9,7036.0,311795.9,1,0,1,1672,1672
1,old-first,build_sparse_0,old,3458.4,3273.4,3897.7,7586.0,289151.2,1,0,1,1672,1672
1,old-first,build_sparse_0,new,3190.2,3038.1,3891.0,6999.1,313456.6,1,0,1,1672,1672
1,old-first,build_fast_1,old,3870.5,3712.9,3978.1,8470.0,258364.0,3,0,3,1684,1684
1,old-first,build_fast_1,new,3266.4,3105.9,3494.1,7172.8,306146.9,2,0,2,1680,1680
1,old-first,build_shifted_1,old,3566.8,3192.6,4510.4,7822.7,280363.6,3,0,3,1684,1684
1,old-first,build_shifted_1,new,3453.7,3403.3,4103.7,7574.5,289543.6,3,0,3,1684,1684
1,old-first,build_sparse_1,old,3393.4,3346.5,3757.2,7442.4,294693.2,3,0,3,1684,1684
1,old-first,build_sparse_1,new,3370.1,3308.4,3812.3,7375.1,296725.6,3,0,3,1684,1684
1,old-first,build_fast_128,old,5483.2,4967.6,5885.7,12028.8,23344019.4,3,0,3,3124,3124
1,old-first,build_fast_128,new,5123.0,4791.0,5332.0,11242.1,24985131.5,2,0,2,2640,2640
1,old-first,build_shifted_128,old,5799.0,5714.5,6266.2,12718.6,22072682.0,3,0,3,3124,3124
1,old-first,build_shifted_128,new,5763.1,5615.4,6180.3,12629.0,22210323.0,3,0,3,3124,3124
1,old-first,build_sparse_128,old,7789.8,7273.0,9745.7,17085.8,16431651.8,3,0,3,3208,3208
1,old-first,build_sparse_128,new,6664.6,6493.6,8234.6,14599.8,19205814.3,3,0,3,3208,3208
1,old-first,build_fast_8192,old,90376.6,88845.3,101992.2,198187.9,90642969.5,3,0,3,3124,3124
1,old-first,build_fast_8192,new,96207.8,94365.6,98218.8,210744.0,85149010.1,2,0,2,2640,2640
1,old-first,build_shifted_8192,old,141659.4,135475.0,156793.8,310685.1,57828858.8,3,0,3,3124,3124
1,old-first,build_shifted_8192,new,138910.9,134981.2,155410.9,304580.2,58973038.0,3,0,3,3124,3124
1,old-first,build_sparse_8192,old,191170.3,185121.9,209075.0,419022.0,42851841.9,3,0,3,99976,99976
1,old-first,build_sparse_8192,new,184909.4,175168.8,194212.5,404980.9,44302783.5,3,0,3,99976,99976
1,old-first,merge_dense_0,old,12.5,12.5,12.5,32.6,80000000.0,0,0,0,0,0
1,old-first,merge_dense_0,new,12.9,12.9,80.9,34.3,77575757.6,0,0,0,0,0
1,old-first,merge_wide_dense_0,old,12.5,12.5,15.6,68.6,80000000.0,0,0,0,0,0
1,old-first,merge_wide_dense_0,new,15.6,12.5,15.6,68.6,64000000.0,0,0,0,0,0
1,old-first,merge_sparse_0,old,12.5,12.5,15.6,68.6,80000000.0,0,0,0,0,0
1,old-first,merge_sparse_0,new,15.6,12.5,15.6,68.6,64000000.0,0,0,0,0,0
1,old-first,merge_dense_1,old,8456.6,7150.0,13499.6,18554.6,118250.3,3,0,3,7220,7220
1,old-first,merge_dense_1,new,7160.2,6567.6,8548.4,15694.2,139661.8,2,0,2,5776,5776
1,old-first,merge_wide_dense_1,old,53928.1,52065.6,59703.1,118262.5,18543.2,3,0,3,26916,26916
1,old-first,merge_wide_dense_1,new,63850.0,54209.4,75909.4,140034.1,15661.7,3,0,3,26916,26916
1,old-first,merge_sparse_1,old,381125.0,375190.6,404150.0,835430.8,2623.8,3,0,3,144312,144312
1,old-first,merge_sparse_1,new,331659.4,308956.2,354325.0,726462.7,3015.1,2,0,2,144160,144160
1,old-first,merge_dense_8,old,10931.2,9785.5,12650.8,23978.7,731846.8,3,0,3,7220,7220
1,old-first,merge_dense_8,new,11009.8,9669.5,12139.1,24118.4,726627.6,2,0,2,5776,5776
1,old-first,merge_wide_dense_8,old,53850.0,51162.5,57778.1,118255.6,148560.8,3,0,3,40932,40932
1,old-first,merge_wide_dense_8,new,55203.1,49631.2,57865.6,121232.6,144919.3,3,0,3,40932,40932
1,old-first,merge_sparse_8,old,365965.6,344021.9,383437.5,802011.8,21860.0,3,0,3,146440,146440
1,old-first,merge_sparse_8,new,283971.9,281200.0,301884.4,622227.6,28171.8,2,0,2,145224,145224
1,old-first,merge_dense_64,old,40159.8,35958.6,43575.8,88033.2,1593634.8,3,0,3,7220,7220
