suite,run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
assets,1,fallback/correct/1x1,old,89181.2,83231.2,126287.5,195437.3,11213.1,11,1,11,37270,37270
assets,1,fallback/correct/1x1,new,85268.8,82593.8,96968.8,186794.5,11727.6,10,1,10,37227,37227
assets,1,fallback/mismatch/1x1,old,201243.8,184956.2,211593.8,440879.5,4969.1,16,1,16,45730,45730
assets,1,fallback/mismatch/1x1,new,110481.2,107406.2,141393.8,242163.3,9051.3,12,1,12,37374,37374
assets,1,fallback/unknown/1x1,old,92850.0,91662.5,107300.0,203462.8,10770.1,13,1,13,37282,37282
assets,1,fallback/unknown/1x1,new,91781.2,90700.0,117175.0,201103.2,10895.5,13,1,13,37282,37282
assets,1,banner/1x1,old,82275.0,82018.8,96268.8,180278.1,12154.4,12,1,12,37272,37272
assets,1,banner/1x1,new,83993.8,80475.0,87550.0,184503.4,11905.6,10,1,10,37225,37225
assets,1,fallback/correct/320x80,old,695400.0,601731.2,819450.0,1522767.6,1438.0,11,1,11,439186,439186
assets,1,fallback/correct/320x80,new,706481.2,659162.5,723300.0,1546528.4,1415.5,10,1,10,439143,439143
assets,1,fallback/mismatch/320x80,old,826337.5,594306.2,889931.2,1810792.7,1210.2,16,1,16,536733,536733
assets,1,fallback/mismatch/320x80,new,551050.0,521750.0,588143.8,1206276.1,1814.7,12,1,12,528377,528377
assets,1,fallback/unknown/320x80,old,561737.5,540325.0,586562.5,1230763.9,1780.2,13,1,13,439198,439198
assets,1,fallback/unknown/320x80,new,600456.2,565818.8,634312.5,1316231.8,1665.4,13,1,13,439198,439198
assets,1,banner/320x80,old,733050.0,696225.0,751250.0,1603255.5,1364.2,12,1,12,541584,541584
assets,1,banner/320x80,new,731993.8,618100.0,788637.5,1602199.1,1366.1,10,1,10,439141,439141
assets,1,fallback/correct/1024x512,old,8380081.2,8275325.0,8433468.8,18357539.8,119.3,11,1,11,2519186,2519186
assets,1,fallback/correct/1024x512,new,8327287.5,8261187.5,8576356.2,18234619.4,120.1,10,1,10,2519143,2519143
assets,1,fallback/mismatch/1024x512,old,9037543.8,8990593.8,9151656.2,19781710.9,110.6,16,1,16,4350658,4350658
assets,1,fallback/mismatch/1024x512,new,8963675.0,8903568.8,9047106.2,19631544.8,111.6,12,1,12,4342302,4342302
assets,1,fallback/unknown/1024x512,old,8176081.2,8144856.2,8280075.0,17912475.9,122.3,13,1,13,2519198,2519198
assets,1,fallback/unknown/1024x512,new,8271462.5,8187031.2,8410981.2,18119944.4,120.9,13,1,13,2519198,2519198
