run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,spline_2,old,264.5,254.1,283.8,579.8,7560865.0,1,0,1,32,32
1,old-first,spline_2,new,242.3,242.3,268.0,531.8,8252527.3,1,0,1,32,32
1,old-first,spline_64,old,1105.8,1094.8,1135.7,2417.5,57878220.6,3,0,3,1536,1536
1,old-first,spline_64,new,728.1,710.8,743.6,1597.4,87895185.0,1,0,1,1024,1024
1,old-first,spline_1024,old,16570.8,16426.1,30877.4,36277.3,61795450.5,3,0,3,24576,24576
1,old-first,spline_1024,new,13164.1,12807.7,13242.6,28806.0,77787083.0,1,0,1,16384,16384
1,old-first,spline_16384,old,251708.2,249419.7,258137.7,550793.9,65091245.4,3,0,3,393216,393216
1,old-first,spline_16384,new,182011.5,179493.4,202918.0,398547.2,90016302.3,1,0,1,262144,262144
1,old-first,spline_65536,old,1306300.0,1288312.5,1327650.0,2859117.8,50169180.1,3,0,3,1572864,1572864
1,old-first,spline_65536,new,885375.0,878821.9,974384.4,1936799.4,74020612.7,1,0,1,1048576,1048576
1,old-first,request_plain,old,200.8,199.1,204.1,438.1,4979063.0,2,0,2,12,12
1,old-first,request_plain,new,87.8,86.1,88.5,191.9,11394323.3,0,0,0,0,0
1,old-first,request_command,old,244.2,240.6,245.8,534.3,4095473.7,3,0,3,42,42
1,old-first,request_command,new,84.1,82.7,88.1,184.6,11884812.4,0,0,0,0,0
1,old-first,request_blank,old,279.1,232.7,294.4,608.0,3582996.5,2,0,2,18,18
1,old-first,request_blank,new,145.9,121.2,158.7,318.6,6852976.2,0,0,0,0,0
1,old-first,request_fallback,old,173.6,158.1,185.7,378.7,5759273.9,2,0,2,17,17
1,old-first,request_fallback,new,42.1,41.6,55.5,92.3,23762564.5,0,0,0,0,0
1,old-first,actor_0,old,894.2,801.3,988.8,1948.1,1118330.6,2,0,2,52,52
1,old-first,actor_0,new,710.3,623.6,806.1,1557.2,1407915.3,1,0,1,26,26
1,old-first,actor_1,old,3631.9,3376.1,4418.0,7963.3,275338.7,46,0,46,2303,2303
1,old-first,actor_1,new,672.4,622.4,812.7,1467.1,1487254.2,1,0,1,26,26
1,old-first,actor_8,old,23226.5,23126.0,24794.6,50833.9,43054.3,326,0,326,18060,18060
1,old-first,actor_8,new,604.7,585.5,649.7,1325.7,1653794.6,1,0,1,26,26
1,old-first,actor_32,old,107996.6,105522.8,135288.9,236347.7,9259.6,1286,0,1286,72084,72084
1,old-first,actor_32,new,584.5,584.2,666.0,1284.3,1710864.0,1,0,1,26,26
1,old-first,actor_128,old,410240.6,408224.2,415348.2,897587.1,2437.6,5126,0,5126,288180,288180
1,old-first,actor_128,new,586.0,585.6,640.7,1287.4,1706484.6,1,0,1,26,26
1,old-first,actor_missing,old,425.6,425.0,448.5,933.6,2349624.1,1,0,1,25,25
1,old-first,actor_missing,new,427.3,420.8,457.4,929.5,2340276.2,1,0,1,25,25
2,new-first,spline_2,new,252.1,243.6,270.8,542.3,7932101.2,1,0,1,32,32
2,new-first,spline_2,old,246.3,244.0,268.9,536.2,8120178.6,1,0,1,32,32
2,new-first,spline_64,new,754.9,715.9,786.2,1656.0,84778317.9,1,0,1,1024,1024
2,new-first,spline_64,old,1115.2,1079.7,1146.0,2438.9,57388294.6,3,0,3,1536,1536
2,new-first,spline_1024,new,13164.1,12934.0,13266.7,28709.1,77787083.0,1,0,1,16384,16384
2,new-first,spline_1024,old,16712.1,16454.5,17015.0,36433.6,61273005.9,3,0,3,24576,24576
2,new-first,spline_16384,new,163537.7,159219.7,169609.8,357489.9,100184847.3,1,0,1,262144,262144
2,new-first,spline_16384,old,241437.7,239159.0,257132.8,528397.7,67860154.7,3,0,3,393216,393216
