run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,background/empty-directory,old,33118.0,30856.0,33542.0,72569.6,3864967.7,0,0,0,0,0
1,old-first,background/empty-directory,new,30854.7,29413.3,34825.3,67687.9,4148481.1,0,0,0,0,0
1,old-first,background/two-entries,old,75068.7,70044.7,80610.7,164560.6,1705105.5,0,0,0,0,0
1,old-first,background/two-entries,new,38446.7,36401.3,41410.0,84326.0,3329287.3,0,0,0,0,0
1,old-first,background/128-entries,old,2137448.0,2057642.7,2171037.3,4684331.9,59884.5,0,0,0,0,0
1,old-first,background/128-entries,new,291336.0,283396.7,316586.0,638626.5,439355.2,0,0,0,0,0
1,old-first,background/512-entries,old,8185496.7,8093111.3,8904502.7,17936356.2,15637.4,0,0,0,0,0
1,old-first,background/512-entries,new,1019644.0,1003036.0,1142707.3,2233320.3,125534.0,0,0,0,0,0
1,old-first,background/diverse-entries,old,209955.3,205032.0,221179.3,459834.9,609653.5,0,0,0,0,0
1,old-first,background/diverse-entries,new,100415.3,97625.3,108396.7,220154.1,1274705.7,0,0,0,0,0
1,old-first,background/multiline,old,1843262.0,1814172.7,1870248.0,4036758.7,69442.1,256,0,256,8960,8960
1,old-first,background/multiline,new,1962444.7,1698285.3,2074585.3,4298888.5,65224.8,256,0,256,8960,8960
1,old-first,background/early-exit,old,15016.2,14490.4,16234.0,32886.9,66594.8,0,0,0,0,0
1,old-first,background/early-exit,new,2002.1,1942.8,2160.2,4383.6,499466.8,0,0,0,0,0
1,old-first,stutter/empty,old,860.5,811.3,895.9,1882.7,1162061.0,2,0,2,256,256
1,old-first,stutter/empty,new,698.7,669.2,779.9,1531.9,1431290.9,1,0,1,256,256
1,old-first,stutter/single-frame,old,3684.2,3408.6,3970.6,8076.5,542855.7,3,0,3,838,838
1,old-first,stutter/single-frame,new,2972.8,2813.4,3213.0,6516.5,672761.9,1,0,1,768,768
1,old-first,stutter/128-frames,old,418240.0,388630.0,454369.7,915691.8,308435.3,130,0,130,74752,74752
1,old-first,stutter/128-frames,new,318325.3,304534.3,344957.0,697641.3,405245.8,1,0,1,768,768
1,old-first,stutter/mixed,old,476139.3,462940.0,508940.3,1043121.8,405343.5,194,0,194,88064,88064
1,old-first,stutter/mixed,new,407730.3,379172.3,427853.3,893324.0,473352.1,1,0,1,768,768
1,old-first,timing/stable,old,115.4,112.8,129.2,253.1,8668516.0,0,0,0,0,0
1,old-first,timing/stable,new,70.1,61.3,78.8,151.3,14269406.4,0,0,0,0,0
1,old-first,timing/alternating,old,111.6,107.2,133.3,242.7,8957764.1,0,0,0,0,0
1,old-first,timing/alternating,new,95.8,85.5,120.8,210.2,10434601.1,0,0,0,0,0
1,old-first,timing/64-cached,old,122.6,120.5,138.8,268.8,8155941.6,0,0,0,0,0
1,old-first,timing/64-cached,new,120.5,116.8,132.3,264.4,8299099.5,0,0,0,0,0
1,old-first,timing/changing-ids,old,1612.4,1525.8,1816.9,3531.9,620210.8,2,0,2,576,576
1,old-first,timing/changing-ids,new,1525.3,1467.7,1592.7,3341.6,655587.2,1,0,1,288,288
1,old-first,timing/changing-no-audio,old,762.8,727.7,897.5,1669.1,1311037.0,2,0,2,312,312
1,old-first,timing/changing-no-audio,new,713.4,693.0,763.0,1559.2,1401826.6,1,0,1,152,152
1,old-first,timing/jitter,old,1613.7,1563.3,1866.0,3534.3,619684.3,2,0,2,576,576
1,old-first,timing/jitter,new,1480.7,1417.5,1645.3,3243.7,675376.8,0,0,0,0,0
1,old-first,timing/saturated-stable,old,1553.3,1527.4,1627.1,3400.2,643792.7,2,0,2,576,576
1,old-first,timing/saturated-stable,new,59.3,57.1,71.0,130.2,16864828.4,0,0,0,0,0
2,new-first,background/empty-directory,new,26691.3,25488.7,27672.0,58546.5,4795564.1,0,0,0,0,0
2,new-first,background/empty-directory,old,27163.3,26368.7,28509.3,59581.1,4712234.6,0,0,0,0,0
2,new-first,background/two-entries,new,39539.3,35509.3,47220.7,86502.0,3237282.7,0,0,0,0,0
2,new-first,background/two-entries,old,77242.0,73161.3,82217.3,169395.5,1657129.5,0,0,0,0,0
2,new-first,background/128-entries,new,292731.3,277508.7,323989.3,641775.5,437261.0,0,0,0,0,0
2,new-first,background/128-entries,old,1998612.7,1961319.3,2117884.7,4380944.9,64044.4,0,0,0,0,0
2,new-first,background/512-entries,new,1021054.7,1006736.0,1058350.7,2238092.2,125360.6,0,0,0,0,0
2,new-first,background/512-entries,old,7472402.0,7220260.7,8001292.7,16365824.9,17129.7,0,0,0,0,0
2,new-first,background/diverse-entries,new,94974.7,89744.0,96299.3,207869.4,1347727.8,0,0,0,0,0
2,new-first,background/diverse-entries,old,206378.0,199398.0,223275.3,452459.7,620221.1,0,0,0,0,0
2,new-first,background/multiline,new,1714766.0,1681958.0,1769995.3,3754145.0,74645.8,256,0,256,8960,8960
2,new-first,background/multiline,old,1733836.7,1698809.3,1794037.3,3796274.4,73824.7,256,0,256,8960,8960
2,new-first,background/early-exit,new,2028.5,1955.7,2221.7,4442.1,492973.9,0,0,0,0,0
2,new-first,background/early-exit,old,14666.5,14478.7,15043.7,32111.4,68182.5,0,0,0,0,0
2,new-first,stutter/empty,new,687.8,663.7,783.2,1504.5,1453932.2,1,0,1,256,256
2,new-first,stutter/empty,old,770.1,758.3,850.4,1688.8,1298541.1,2,0,2,256,256
2,new-first,stutter/single-frame,new,2830.8,2611.9,2998.5,6194.3,706526.5,1,0,1,768,768
2,new-first,stutter/single-frame,old,3153.6,3103.2,3715.8,6912.0,634194.8,3,0,3,838,838
2,new-first,stutter/128-frames,new,346197.7,314639.7,349615.7,758774.9,372619.5,1,0,1,768,768
2,new-first,stutter/128-frames,old,448839.3,413242.0,459841.7,982502.5,287408.0,130,0,130,74752,74752
2,new-first,stutter/mixed,new,418661.0,406961.3,457430.7,917542.2,460993.5,1,0,1,768,768
2,new-first,stutter/mixed,old,447065.0,414531.0,463086.0,979124.4,431704.6,194,0,194,88064,88064
