run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,ascii_prefix_16,old,50.8,42.9,53.8,111.6,19692792.4,0,0,0,0,0
1,old-first,ascii_prefix_16,new,48.5,47.0,51.2,106.6,20622808.8,0,0,0,0,0
1,old-first,ascii_sparse_16,old,42.7,40.2,48.8,92.7,23435669.1,0,0,0,0,0
1,old-first,ascii_sparse_16,new,46.8,41.3,58.5,102.8,21390374.3,0,0,0,0,0
1,old-first,ascii_missing_16,old,88.1,81.1,98.0,193.5,11354604.3,0,0,0,0,0
1,old-first,ascii_missing_16,new,96.9,62.7,107.6,208.7,10319917.4,0,0,0,0,0
1,old-first,ascii_dense_16,old,33.5,31.5,46.3,73.6,29877502.2,0,0,0,0,0
1,old-first,ascii_dense_16,new,33.9,31.8,42.7,74.5,29542097.5,0,0,0,0,0
1,old-first,ascii_prefix_31,old,36.3,27.1,48.6,79.9,27517886.6,0,0,0,0,0
1,old-first,ascii_prefix_31,new,42.1,30.4,56.9,92.7,23724792.4,0,0,0,0,0
1,old-first,ascii_sparse_31,old,73.2,62.6,92.1,160.5,13659336.2,0,0,0,0,0
1,old-first,ascii_sparse_31,new,73.1,67.8,75.3,160.5,13685507.0,0,0,0,0,0
1,old-first,ascii_missing_31,old,121.6,119.0,134.4,266.5,8225713.6,0,0,0,0,0
1,old-first,ascii_missing_31,new,135.3,119.4,138.0,297.2,7389344.6,0,0,0,0,0
1,old-first,ascii_dense_31,old,45.0,39.7,51.3,98.8,22237046.9,0,0,0,0,0
1,old-first,ascii_dense_31,new,46.4,32.0,59.0,102.0,21542438.6,0,0,0,0,0
1,old-first,ascii_prefix_32,old,36.4,29.0,52.2,80.0,27480076.9,0,0,0,0,0
1,old-first,ascii_prefix_32,new,34.1,32.0,52.7,75.0,29325513.2,0,0,0,0,0
1,old-first,ascii_sparse_32,old,65.0,62.0,78.0,142.7,15394088.7,0,0,0,0,0
1,old-first,ascii_sparse_32,new,61.0,48.5,72.2,133.8,16404199.5,0,0,0,0,0
1,old-first,ascii_missing_32,old,146.3,139.8,173.3,321.3,6835270.0,0,0,0,0,0
1,old-first,ascii_missing_32,new,117.4,104.6,132.2,257.7,8520790.7,0,0,0,0,0
1,old-first,ascii_dense_32,old,37.3,32.6,40.6,82.1,26788106.1,0,0,0,0,0
1,old-first,ascii_dense_32,new,40.2,30.5,46.3,88.2,24844720.5,0,0,0,0,0
1,old-first,ascii_prefix_64,old,46.2,44.1,51.2,101.5,21663778.2,0,0,0,0,0
1,old-first,ascii_prefix_64,new,26.4,23.1,27.1,57.1,37936267.1,0,0,0,0,0
1,old-first,ascii_sparse_64,old,110.2,104.5,124.9,241.7,9076881.2,0,0,0,0,0
1,old-first,ascii_sparse_64,new,44.3,40.5,60.3,97.4,22573363.4,0,0,0,0,0
1,old-first,ascii_missing_64,old,259.3,246.3,303.9,568.6,3856536.8,0,0,0,0,0
1,old-first,ascii_missing_64,new,142.1,140.2,159.5,311.9,7039774.7,0,0,0,0,0
1,old-first,ascii_dense_64,old,38.1,37.4,46.4,83.8,26253609.9,0,0,0,0,0
1,old-first,ascii_dense_64,new,35.1,32.6,40.4,77.3,28465698.8,0,0,0,0,0
1,old-first,ascii_prefix_128,old,53.2,43.0,65.6,116.9,18800526.4,0,0,0,0,0
1,old-first,ascii_prefix_128,new,47.7,37.4,55.6,104.8,20981955.5,0,0,0,0,0
1,old-first,ascii_sparse_128,old,227.0,222.1,250.7,497.5,4405674.5,0,0,0,0,0
1,old-first,ascii_sparse_128,new,68.9,48.9,74.8,151.3,14522219.0,0,0,0,0,0
1,old-first,ascii_missing_128,old,491.2,462.9,522.4,1077.0,2035789.2,0,0,0,0,0
1,old-first,ascii_missing_128,new,224.5,214.7,257.6,492.6,4453747.8,0,0,0,0,0
1,old-first,ascii_dense_128,old,40.6,31.3,44.7,88.3,24636610.0,0,0,0,0,0
1,old-first,ascii_dense_128,new,44.1,37.3,71.9,96.9,22686025.4,0,0,0,0,0
1,old-first,ascii_prefix_512,old,43.6,40.1,52.1,95.9,22925263.6,0,0,0,0,0
1,old-first,ascii_prefix_512,new,44.9,42.1,46.8,97.9,22296544.0,0,0,0,0,0
1,old-first,ascii_sparse_512,old,870.6,841.2,948.7,1907.9,1148672.7,0,0,0,0,0
1,old-first,ascii_sparse_512,new,99.1,84.5,130.3,216.7,10088781.3,0,0,0,0,0
1,old-first,ascii_missing_512,old,1985.3,1921.3,2073.0,4349.2,503709.8,0,0,0,0,0
1,old-first,ascii_missing_512,new,823.0,784.1,886.6,1804.5,1214993.0,0,0,0,0,0
1,old-first,ascii_dense_512,old,52.0,41.6,61.0,114.5,19227071.7,0,0,0,0,0
1,old-first,ascii_dense_512,new,52.4,44.0,62.3,114.8,19073049.8,0,0,0,0,0
1,old-first,unicode_prefix_8,old,75.1,57.0,79.5,165.0,13320900.5,0,0,0,0,0
1,old-first,unicode_prefix_8,new,68.5,58.7,81.2,150.5,14598540.1,0,0,0,0,0
1,old-first,unicode_late_8,old,251.2,239.3,301.4,551.1,3981367.2,0,0,0,0,0
