"run","case","storage","variant","median_ns","min_ns","max_ns","thread_cycles","units_per_second","allocs","reallocs","frees","allocated_bytes","freed_bytes"
"1","empty","shared","before","7771.1","7680.5","7949.8","17029.4","32942699.3","0","0","0","0","0"
"1","empty","shared","after","7269.7","7167.4","7473.2","15928.6","35214825.1","0","0","0","0","0"
"1","empty","reusable","before","7645.2","7563","8021.2","16755","33484890.6","0","0","0","0","0"
"1","empty","reusable","after","7168.4","7095.1","7227.4","15707.1","35712191.2","0","0","0","0","0"
"1","triangle-runs","shared","before","12837.9","12700.1","13364.5","28145.9","19940970.6","0","0","0","0","0"
"1","triangle-runs","shared","after","10989.5","10883.1","11064.6","24089.1","23294933.4","0","0","0","0","0"
"1","triangle-runs","reusable","before","13059.4","12358.2","13093.2","28618.5","19602775.8","0","0","0","0","0"
"1","triangle-runs","reusable","after","10895.2","10567.2","10922.3","23876.5","23496501","0","0","0","0","0"
"1","triangle-runs-general","shared","before","12366.7","12104","12534.8","27100.9","20700713.3","0","0","0","0","0"
"1","triangle-runs-general","shared","after","10866.3","10500.4","10962.4","23816","23559085","0","0","0","0","0"
"1","triangle-runs-general","reusable","before","12503.8","12431.6","13018.2","27399.3","20473761.9","0","0","0","0","0"
"1","triangle-runs-general","reusable","after","11211.8","11034.8","11285.4","24567.7","22833078","0","0","0","0","0"
"1","triangle-groups","shared","before","9485","8828.4","10192.4","20786.3","26989991.1","0","0","0","0","0"
"1","triangle-groups","shared","after","9983","9244.2","10106.2","21880.9","25643668.1","0","0","0","0","0"
"1","triangle-groups","reusable","before","10373.7","10184.6","10641.5","22740.8","24677718.5","0","0","0","0","0"
"1","triangle-groups","reusable","after","10202.8","9987.2","10289.1","22352.4","25091222.8","0","0","0","0","0"
"1","triangle-one-run","shared","before","9987.3","9653.5","11138.7","21757","25632478.7","0","0","0","0","0"
"1","triangle-one-run","shared","after","8641.3","8460.7","9029.7","18845.7","29625184.5","0","0","0","0","0"
"1","triangle-one-run","reusable","before","9057.1","8872.7","9329.3","19761.7","28265104","0","0","0","0","0"
"1","triangle-one-run","reusable","after","9356.9","8772.1","10188.5","20434.2","27359390.5","0","0","0","0","0"
"1","large-runs","shared","before","114333","110655.9","129587.3","249667.1","2239073.4","0","0","0","0","0"
"1","large-runs","shared","after","112143.8","111241.4","127353.3","244908.8","2282784.4","0","0","0","0","0"
"1","large-runs","reusable","before","128418.4","126199.2","130925.8","280484.6","1993484.4","0","0","0","0","0"
