"Run","Case","Variant","NanosecondsPer256","MinNanosecondsPer256","MaxNanosecondsPer256","ThreadCyclesPer256"
"1","hidden","old","4256.2","4231","7315.8","7996.9"
"1","hidden","new","2116.8","2113.6","2142.5","3975.4"
"1","diffuse","old","9702.1","9680.4","9730.4","18197.8"
"1","diffuse","new","9856.9","9831.3","10032.6","18503.7"
"1","glow","old","9846.2","9810.6","9946.5","18483.7"
"1","glow","new","9914.1","9866.7","9940.9","18618.8"
"2","hidden","new","2119.6","2112.5","2152.1","3975.4"
"2","hidden","old","4244.4","4226.7","4271.2","7979.6"
"2","diffuse","new","9853","9822.8","9890.7","18515.4"
"2","diffuse","old","9678.6","9654.6","9764.8","18191.2"
"2","glow","new","9949.6","9907.1","10082.3","18667.5"
"2","glow","old","9826.4","9804.6","9903.9","18428.6"
"3","hidden","old","4272.6","4256.4","4287.5","8009.5"
"3","hidden","new","2186.3","2181.8","2618.4","4107.3"
"3","diffuse","old","9773.7","9759.8","9898.3","18370.1"
"3","diffuse","new","9921.1","9870.2","9982","18611.6"
"3","glow","old","9821","9773.4","9855.6","18429.5"
"3","glow","new","9915.5","9894","9964.9","18629.8"
"4","hidden","new","2218.9","2184.2","2658.7","4165.7"
"4","hidden","old","4335.6","4245.6","6731.6","8129.1"
"4","diffuse","new","16469.8","10326.2","16852.3","30891.1"
"4","diffuse","old","16237.3","15166.8","17038.8","30425.6"
"4","glow","new","16073.4","14861.1","17187.5","29642.6"
"4","glow","old","15603.3","14434","16668.9","28397.4"
"5","hidden","old","4266.2","4240.7","4308.7","8019.5"
"5","hidden","new","2186.1","2182.2","2201.9","4106.7"
"5","diffuse","old","9767.3","9740.2","9852.2","18337.2"
"5","diffuse","new","9903.7","9877.4","9974.9","18591.5"
"5","glow","old","9807.8","9750","9859.5","18401.8"
"5","glow","new","9955.4","9911.6","9972","18696.9"
