run,scenario,implementation,ns_per_op,ns_min,ns_max,thread_cycles_per_op,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,phase_1_peak_false_before,old,2752.9,2534.2,3976.2,6035.8,46495920.5,0,0,0,0,0
1,phase_1_peak_false_before,new,2443.8,2352.5,3021.5,5335.7,52378516.6,0,0,0,0,0
1,phase_1_peak_false_late,old,2559.8,2364.8,2864.6,5612.7,50004578.1,0,0,0,0,0
1,phase_1_peak_false_late,new,2384.6,2126.4,2831.8,5209.7,53678433.9,0,0,0,0,0
1,phase_1_peak_false_after,old,2008.8,1921.1,2234.6,4402.9,63719980.6,0,0,0,0,0
1,phase_1_peak_false_after,new,1665.8,1482.8,2043.9,3659.5,76839019.8,0,0,0,0,0
1,phase_1_peak_true_before,old,2725.6,2293.9,3688.1,5980.1,46962379.1,0,0,0,0,0
1,phase_1_peak_true_before,new,2544.5,2220.7,3073.6,5580.1,50303960.7,0,0,0,0,0
1,phase_1_peak_true_late,old,2642.6,2384.4,3961.3,5793.6,48437546.2,0,0,0,0,0
1,phase_1_peak_true_late,new,2737.5,2259.6,3137.5,6002.8,46757990.9,0,0,0,0,0
1,phase_1_peak_true_after,old,2041.0,1812.1,2612.5,4474.0,62713875.6,0,0,0,0,0
1,phase_1_peak_true_after,new,1680.1,1483.6,2043.4,3671.1,76186933.3,0,0,0,0,0
1,phase_2_peak_false_before,old,2863.7,2644.7,3102.3,6281.9,44697858.4,0,0,0,0,0
1,phase_2_peak_false_before,new,2541.2,2310.4,2712.1,5558.2,50369687.2,0,0,0,0,0
1,phase_2_peak_false_late,old,4066.4,3927.9,4381.6,8918.9,31477425.6,0,0,0,0,0
1,phase_2_peak_false_late,new,3206.8,2997.5,3751.0,7042.4,39914732.9,0,0,0,0,0
1,phase_2_peak_false_after,old,1987.7,1849.6,2218.8,4359.1,64396187.5,0,0,0,0,0
1,phase_2_peak_false_after,new,1669.7,1469.7,2199.8,3668.5,76659258.4,0,0,0,0,0
1,phase_2_peak_true_before,old,2822.9,2609.0,3410.5,6190.2,45344219.2,0,0,0,0,0
1,phase_2_peak_true_before,new,2581.8,2358.6,2853.5,5660.7,49577123.8,0,0,0,0,0
1,phase_2_peak_true_late,old,4298.4,4097.9,4615.4,9434.2,29778262.5,0,0,0,0,0
1,phase_2_peak_true_late,new,3200.4,3057.8,3445.1,7018.9,39995117.8,0,0,0,0,0
1,phase_2_peak_true_after,old,1971.3,1841.6,2090.0,4318.8,64932131.2,0,0,0,0,0
1,phase_2_peak_true_after,new,1695.9,1483.6,1804.3,3725.9,75476217.9,0,0,0,0,0
1,phase_8_peak_false_before,old,2661.9,2437.5,3270.1,5839.9,48085699.6,0,0,0,0,0
1,phase_8_peak_false_before,new,2406.2,2143.6,3079.9,5285.1,53194805.2,0,0,0,0,0
1,phase_8_peak_false_late,old,12810.2,11630.1,13557.0,28080.6,9992071.7,0,0,0,0,0
1,phase_8_peak_false_late,new,4299.2,3641.4,4655.3,9410.6,29772851.2,0,0,0,0,0
1,phase_8_peak_false_after,old,2262.3,1921.1,2303.5,4920.3,56579469.9,0,0,0,0,0
1,phase_8_peak_false_after,new,1662.7,1483.6,1764.8,3647.0,76983437.1,0,0,0,0,0
1,phase_8_peak_true_before,old,2939.1,2571.7,3181.6,6446.5,43551302.5,0,0,0,0,0
1,phase_8_peak_true_before,new,2430.3,2134.4,2579.5,5331.0,52668970.5,0,0,0,0,0
1,phase_8_peak_true_late,old,12369.9,12010.4,13573.4,27118.5,10347680.6,0,0,0,0,0
1,phase_8_peak_true_late,new,4569.9,3873.0,4957.2,10028.0,28009231.6,0,0,0,0,0
1,phase_8_peak_true_after,old,2020.3,1749.6,2308.4,4429.4,63356535.2,0,0,0,0,0
1,phase_8_peak_true_after,new,1582.2,1403.7,1923.4,3476.0,80898654.5,0,0,0,0,0
