run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,edit_standard_control,old,108.7,108.0,116.0,238.5,9196417.1,0,0,0,0,0
1,old-first,edit_standard_control,new,116.1,104.6,121.3,254.4,8613190.2,0,0,0,0,0
1,old-first,edit_first_control,old,621.3,605.9,635.7,1361.8,1609489.6,0,0,0,0,0
1,old-first,edit_first_control,new,620.5,598.7,648.5,1359.6,1611582.8,0,0,0,0,0
1,old-first,edit_second_2,old,259.6,256.5,285.4,569.3,3851916.9,1,0,1,32,32
1,old-first,edit_second_2,new,224.5,218.6,229.2,492.3,4454938.3,0,0,0,0,0
1,old-first,edit_middle_8,old,622.2,548.2,648.3,1364.1,1607270.0,1,1,1,96,96
1,old-first,edit_middle_8,new,467.0,465.2,487.7,1022.4,2141506.5,0,0,0,0,0
1,old-first,edit_middle_16,old,1120.1,1084.4,1158.2,2452.4,892792.6,1,2,1,224,224
1,old-first,edit_middle_16,new,1019.0,1009.6,1069.5,2232.1,981364.9,0,0,0,0,0
1,old-first,edit_middle_17,old,1238.3,1227.8,1255.0,2711.3,807551.6,1,3,1,480,480
1,old-first,edit_middle_17,new,1017.0,999.6,1022.7,2226.4,983281.3,1,0,1,256,256
1,old-first,edit_middle_128,old,17299.0,17055.7,17824.6,37858.7,57806.8,1,5,1,2016,2016
1,old-first,edit_middle_128,new,6998.2,6819.6,7218.2,15321.8,142894.1,1,2,1,1792,1792
1,old-first,edit_missing,old,1097.8,1088.4,1105.0,2405.1,910914.4,1,2,1,224,224
1,old-first,edit_missing,new,4.1,4.1,4.9,8.9,246062992.1,0,0,0,0,0
1,old-first,ghost_short_cold,old,165.4,161.1,176.6,362.1,6047558.0,2,0,2,17,17
1,old-first,ghost_short_cold,new,123.3,122.0,129.7,269.7,8113327.0,1,0,1,24,24
1,old-first,ghost_short_warm,old,165.1,162.5,172.3,361.6,6055248.1,2,0,2,17,17
1,old-first,ghost_short_warm,new,29.1,27.7,31.5,63.3,34380801.8,0,0,0,0,0
1,old-first,ghost_unicode_cold,old,189.3,184.2,201.7,413.6,5283317.9,2,0,2,19,19
1,old-first,ghost_unicode_cold,new,143.5,138.3,146.6,313.9,6966941.9,1,0,1,24,24
1,old-first,ghost_unicode_warm,old,194.7,185.6,199.5,425.4,5136581.7,2,0,2,19,19
1,old-first,ghost_unicode_warm,new,28.8,27.7,31.2,63.2,34699330.3,0,0,0,0,0
1,old-first,ghost_long_cold,old,9246.5,9089.9,10127.9,20260.3,108149.0,2,1,2,2576,2576
1,old-first,ghost_long_cold,new,8016.3,7905.7,8230.7,17532.1,124746.2,1,0,1,752,752
1,old-first,ghost_long_warm,old,9181.4,9124.5,9224.5,20103.5,108916.4,2,1,2,2576,2576
1,old-first,ghost_long_warm,new,30.1,26.0,41.9,66.5,33222591.4,0,0,0,0,0
1,old-first,ghost_alias_warm,old,19.2,18.1,21.1,42.1,52015604.7,0,0,0,0,0
1,old-first,ghost_alias_warm,new,4.0,3.3,4.3,8.7,252143217.3,0,0,0,0,0
1,old-first,ghost_exact_warm,old,83.7,81.5,87.1,183.6,11946004.1,0,0,0,0,0
1,old-first,ghost_exact_warm,new,3.7,3.3,5.0,8.2,266808964.8,0,0,0,0,0
1,old-first,ghost_empty_warm,old,11.7,10.9,12.8,25.6,85557837.1,0,0,0,0,0
1,old-first,ghost_empty_warm,new,2.4,2.4,2.8,5.4,410004100.0,0,0,0,0,0
1,old-first,help_single_cold,old,121.4,118.5,127.7,266.3,8237232.3,2,0,2,122,122
1,old-first,help_single_cold,new,35.5,31.8,41.5,77.9,28184892.9,0,0,0,0,0
1,old-first,help_single_warm,old,122.1,117.2,128.0,266.6,8187326.0,2,0,2,122,122
1,old-first,help_single_warm,new,14.2,14.1,16.9,31.0,70661390.6,0,0,0,0,0
1,old-first,help_multiline_cold,old,153.9,149.4,160.3,337.6,6497641.4,2,0,2,180,180
1,old-first,help_multiline_cold,new,165.4,158.7,168.7,362.6,6046022.3,1,0,1,136,136
1,old-first,help_multiline_warm,old,153.8,147.2,158.5,337.2,6503049.9,2,0,2,180,180
1,old-first,help_multiline_warm,new,15.7,14.2,17.6,34.4,63516260.2,0,0,0,0,0
1,old-first,help_unicode_cold,old,161.3,155.8,181.5,353.9,6198398.3,2,0,2,95,95
1,old-first,help_unicode_cold,new,189.2,180.5,196.0,415.0,5285747.5,1,0,1,48,48
1,old-first,help_unicode_warm,old,159.3,152.0,181.0,348.1,6278409.8,2,0,2,95,95
1,old-first,help_unicode_warm,new,15.8,14.6,20.4,34.8,63123343.0,0,0,0,0,0
1,old-first,help_empty_cold,old,26.1,20.3,29.5,57.3,38349440.1,0,0,0,0,0
1,old-first,help_empty_cold,new,23.8,23.3,33.3,52.4,41939271.9,0,0,0,0,0
1,old-first,help_empty_warm,old,25.5,21.0,28.7,56.7,39243387.5,0,0,0,0,0
1,old-first,help_empty_warm,new,2.3,1.6,2.4,5.0,438596491.2,0,0,0,0,0
1,old-first,help_long_cold,old,156.3,148.1,178.3,341.6,6396315.7,2,0,2,1070,1070
1,old-first,help_long_cold,new,257.8,255.2,263.1,564.1,3878795.4,2,0,2,2030,2030
1,old-first,help_long_warm,old,152.3,148.3,162.4,332.7,6567971.9,2,0,2,1070,1070
1,old-first,help_long_warm,new,16.5,14.7,20.4,36.2,60716454.2,0,0,0,0,0
