"Run","Case","Variant","NanosecondsPer256","MinNanosecondsPer256","MaxNanosecondsPer256","ThreadCyclesPer256"
"1","inside","old","11184.3","11141.1","20595.7","20979"
"1","inside","new","10762.2","10673.2","11011.9","20212"
"1","one-outside","old","21017.3","20881.2","21183.8","39483.6"
"1","one-outside","new","19116.2","19046.7","20241","35895.1"
"1","two-outside","old","20532.3","20474.3","20584.4","38553.4"
"1","two-outside","new","18997.4","18776.7","19094","35575.3"
"1","behind","old","10527.2","10095.1","10623.8","19763.2"
"1","behind","new","10452.2","10262.7","10632.3","19552.9"
"2","inside","new","10830.8","10780.5","10955.8","20287.7"
"2","inside","old","10847.3","10801","11426.4","20348.6"
"2","one-outside","new","19006.1","18850.2","19139.9","35661.5"
"2","one-outside","old","20873.3","20810.6","21183.9","39200.2"
"2","two-outside","new","18802.7","18621.9","18957.5","35288.8"
"2","two-outside","old","20573","20519.1","33753.6","38640.7"
"2","behind","new","10286.7","10281.2","10291.2","19332"
"2","behind","old","10532.4","10374.1","10599","19768.2"
"3","inside","old","10987","10768.2","11524","20600.6"
"3","inside","new","10711.8","10613.7","10820","20104.1"
"3","one-outside","old","21008.6","20890","21115","39478.6"
"3","one-outside","new","19080.1","19012.7","19181.4","35792"
"3","two-outside","old","20602.8","20487.2","20887.6","38690.4"
"3","two-outside","new","18781.4","18687","18874.3","35290.1"
"3","behind","old","10532.4","10378.6","10621.9","19802.4"
"3","behind","new","10434.4","10306.2","10858","19564.3"
"4","inside","new","18552.6","18406.4","45795","34834.3"
"4","inside","old","19271.1","18617.7","24370.3","35556.8"
"4","one-outside","new","32544.4","31838.9","33370","59832.5"
"4","one-outside","old","36691.3","34735.7","69766.6","66870.9"
"4","two-outside","new","31554.3","29437.5","36062.5","57784.9"
"4","two-outside","old","20646.7","20473.5","35549.7","38701"
"4","behind","new","10296.9","10242.7","10540.7","19341.4"
"4","behind","old","10474.6","10387.8","10631.9","19675.7"
"5","inside","old","20745.5","10907.3","23618.8","35770.3"
"5","inside","new","18411.4","17848.8","18993","34516"
"5","one-outside","old","34496.1","31708.7","49414.5","63275.3"
"5","one-outside","new","31281.2","29373.6","32819.3","58138.9"
"5","two-outside","old","33271.3","30683.9","47385.7","61548.6"
"5","two-outside","new","31466.9","28539.5","32705.9","56896.9"
"5","behind","old","17734.7","17599.2","18543.8","32928"
"5","behind","new","17740.6","17452.1","18793.3","32616.7"
