run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,merge/empty,old,179.7,157.0,189.8,1737.1,5565217.4,1,0,2,10,16
1,old-first,merge/empty,new,184.4,160.9,306.2,1768.0,5423728.8,1,0,2,10,16
1,old-first,merge/one,old,390.6,378.1,517.2,2116.1,2560000.0,3,0,8,104,236
1,old-first,merge/one,new,378.1,323.4,603.9,2399.1,2644628.1,2,0,7,98,230
1,old-first,merge/page,old,24123.4,20860.9,26523.4,54521.8,5306043.1,130,0,516,12130,28498
1,old-first,merge/page,new,13393.8,12176.6,13640.6,30222.4,9556696.2,2,0,388,11274,27642
1,old-first,merge/paged,old,131414.8,118662.5,140368.8,290386.5,4870073.9,647,1,2578,41290,123414
1,old-first,merge/paged,new,82606.2,76291.4,93768.8,183023.6,7747597.8,7,1,1938,36982,119106
1,old-first,merge/duplicates,old,134052.3,121472.7,136322.7,295961.5,4774254.5,647,0,2578,18762,100886
1,old-first,merge/duplicates,new,80528.1,76282.8,84189.1,178419.2,7947533.9,7,0,1938,14454,96578
1,old-first,merge/spaces,old,142878.1,135588.3,148364.8,315467.8,4479342.1,647,1,2578,41290,126614
1,old-first,merge/spaces,new,94711.7,93747.7,96058.6,209737.4,6757347.5,7,1,1938,36982,122306
1,old-first,events/empty,old,312.9,312.1,389.1,691.9,3196005.0,2,0,2,363,363
1,old-first,events/empty,new,13.3,13.3,13.7,35.2,75294117.6,0,0,0,0,0
1,old-first,events/small,old,9971.9,9627.0,10720.7,21808.5,100282.0,91,3,91,5162,5162
1,old-first,events/small,new,7052.7,6841.0,7440.6,15469.6,141789.0,61,1,61,2792,2792
1,old-first,events/events,old,149294.1,142655.9,159200.8,327018.1,6698.2,1707,23,1707,124926,124926
1,old-first,events/events,new,70026.2,68081.2,71904.3,153476.8,14280.4,807,17,807,34970,34970
1,old-first,events/comments,old,226005.9,223646.5,237974.6,494328.6,4424.7,1575,3,1575,1133774,1133774
1,old-first,events/comments,new,49271.9,46929.3,51911.3,108005.1,20295.6,675,1,675,29034,29034
1,old-first,events/ineligible,old,40583.6,38696.1,44256.6,88941.2,24640.5,518,0,518,46628,46628
1,old-first,events/ineligible,new,13.7,13.7,14.1,36.0,73142857.1,0,0,0,0,0
1,old-first,timestamp/milliseconds,old,71.9,71.5,72.0,157.6,13916916.0,0,0,0,0,0
1,old-first,timestamp/milliseconds,new,52.9,48.6,60.5,115.5,18916107.1,0,0,0,0,0
1,old-first,timestamp/seconds,old,64.7,52.5,72.1,141.1,15465511.9,0,0,0,0,0
1,old-first,timestamp/seconds,new,56.1,51.4,61.5,123.0,17828489.9,0,0,0,0,0
1,old-first,timestamp/offset,old,74.5,69.4,81.3,163.4,13428226.1,0,0,0,0,0
1,old-first,timestamp/offset,new,63.6,59.0,67.6,139.5,15728216.4,0,0,0,0,0
1,old-first,timestamp/nanoseconds,old,65.7,59.9,86.1,144.1,15217225.9,0,0,0,0,0
1,old-first,timestamp/nanoseconds,new,67.0,57.8,74.0,147.2,14924259.4,0,0,0,0,0
1,old-first,timestamp/leap,old,71.8,71.4,81.9,157.4,13933398.4,0,0,0,0,0
1,old-first,timestamp/leap,new,80.7,74.5,86.2,176.9,12397718.8,0,0,0,0,0
1,old-first,timestamp/invalid,old,39.1,36.3,48.5,85.7,25542784.2,0,0,0,0,0
1,old-first,timestamp/invalid,new,36.4,36.2,41.6,79.7,27502750.3,0,0,0,0,0
1,old-first,bulk/512,old,149732.0,147193.8,156493.0,328123.3,10258326.1,0,0,0,0,0
1,old-first,bulk/512,new,106728.1,105176.6,137921.1,233879.0,14391707.9,0,0,0,0,0
2,new-first,merge/empty,new,165.6,157.8,199.2,1713.1,6037735.8,1,0,2,10,16
2,new-first,merge/empty,old,175.8,158.6,302.3,2021.8,5688888.9,1,0,2,10,16
2,new-first,merge/one,new,339.1,323.4,551.6,2345.9,2949308.8,2,0,7,98,230
2,new-first,merge/one,old,374.2,370.3,376.6,2088.7,2672233.8,3,0,8,104,236
2,new-first,merge/page,new,13162.5,11665.6,14687.5,30280.7,9724596.4,2,0,388,11274,27642
2,new-first,merge/page,old,24671.1,22789.8,28337.5,55830.1,5188258.0,130,0,516,12130,28498
2,new-first,merge/paged,new,86096.9,85861.7,99116.4,190675.2,7433487.0,7,1,1938,36982,119106
2,new-first,merge/paged,old,137214.8,132554.7,140328.1,302851.6,4664218.4,647,1,2578,41290,123414
2,new-first,merge/duplicates,new,85364.1,84357.8,93936.7,189205.6,7497300.2,7,0,1938,14454,96578
2,new-first,merge/duplicates,old,128231.2,123719.5,135532.8,282638.8,4990983.1,647,0,2578,18762,100886
2,new-first,merge/spaces,new,95272.7,89202.3,97367.2,211035.5,6717562.3,7,1,1938,36982,122306
2,new-first,merge/spaces,old,141728.9,135321.1,144273.4,312744.6,4515663.2,647,1,2578,41290,126614
2,new-first,events/empty,new,13.3,12.9,79.7,35.2,75294117.6,0,0,0,0,0
2,new-first,events/empty,old,281.2,280.9,339.8,623.3,3555555.6,2,0,2,363,363
2,new-first,events/small,new,7431.2,7193.0,7899.2,16300.4,134566.9,61,1,61,2792,2792
2,new-first,events/small,old,9737.9,9493.0,10405.5,21363.5,102691.6,91,3,91,5162,5162
2,new-first,events/events,new,67947.3,67193.0,73324.6,148898.2,14717.3,807,17,807,34970,34970
2,new-first,events/events,old,155345.7,154297.7,159705.5,340380.2,6437.3,1707,23,1707,124926,124926
2,new-first,events/comments,new,46941.4,43567.2,52307.8,102880.3,21303.2,675,1,675,29034,29034
2,new-first,events/comments,old,228915.6,225819.1,231130.1,501080.8,4368.4,1575,3,1575,1133774,1133774
2,new-first,events/ineligible,new,14.1,13.7,14.1,36.0,71111111.1,0,0,0,0,0
2,new-first,events/ineligible,old,36737.1,35885.2,40135.5,80362.7,27220.4,518,0,518,46628,46628
2,new-first,timestamp/milliseconds,new,50.0,38.1,63.4,109.8,20002000.2,0,0,0,0,0
2,new-first,timestamp/milliseconds,old,56.7,52.0,74.6,124.3,17632019.7,0,0,0,0,0
2,new-first,timestamp/seconds,new,38.0,36.5,60.3,83.6,26284662.9,0,0,0,0,0
