run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,current_short_warm,old,309.4,275.2,322.0,677.9,3232271.0,2,0,2,40,40
1,old-first,current_short_warm,new,37.1,31.4,39.9,80.9,26957811.0,0,0,0,0,0
1,old-first,current_short_cold,old,302.6,283.6,315.9,663.3,3304692.7,2,0,2,40,40
1,old-first,current_short_cold,new,233.3,225.0,240.1,512.0,4285959.2,1,0,1,32,32
1,old-first,current_unicode_warm,old,336.5,315.5,359.2,737.1,2971989.0,2,0,2,54,54
1,old-first,current_unicode_warm,new,57.7,52.4,62.3,126.8,17317516.7,0,0,0,0,0
1,old-first,current_unicode_cold,old,332.8,308.6,367.7,729.7,3004536.9,2,0,2,54,54
1,old-first,current_unicode_cold,new,282.6,253.3,292.9,620.0,3539196.6,1,0,1,40,40
1,old-first,current_long_warm,old,816.6,808.3,849.9,1790.3,1224597.3,3,0,3,1601,1601
1,old-first,current_long_warm,new,41.5,39.4,45.1,91.2,24099289.1,0,0,0,0,0
1,old-first,current_long_cold,old,827.8,800.5,878.2,1813.6,1208035.9,3,0,3,1601,1601
1,old-first,current_long_cold,new,749.7,725.1,798.8,1644.0,1333813.5,2,0,2,1081,1081
1,old-first,current_60_frames_two_values,old,17732.7,17042.7,18089.7,38881.6,3383579.5,120,0,120,2400,2400
1,old-first,current_60_frames_two_values,new,1973.9,1822.0,2297.5,4331.6,30396676.6,2,0,2,64,64
1,old-first,current_translated_warm,old,356.5,333.6,362.1,781.0,2804813.1,2,0,2,40,40
1,old-first,current_translated_warm,new,67.9,61.7,78.3,148.8,14734050.4,0,0,0,0,0
1,old-first,current_60_frames_changing_every_frame,old,17784.8,17100.5,19315.0,38988.0,3373667.4,120,0,120,2400,2400
1,old-first,current_60_frames_changing_every_frame,new,15876.8,15556.3,16620.5,34804.6,3779099.1,60,0,60,1920,1920
1,old-first,query_30_edits_ten_frames_each,old,60439.8,58348.6,61968.2,132467.4,4963616.7,300,250,300,13990,13990
1,old-first,query_30_edits_ten_frames_each,new,12000.4,11399.0,12790.2,26316.3,24999166.7,19,0,19,824,824
1,old-first,query_short_warm,old,214.0,202.7,227.5,469.6,4673443.2,1,1,1,24,24
1,old-first,query_short_warm,new,25.8,25.6,28.0,56.5,38714672.9,0,0,0,0,0
1,old-first,query_short_cold,old,206.8,197.8,235.0,453.6,4835589.9,1,1,1,24,24
1,old-first,query_short_cold,new,26.5,25.1,27.6,58.4,37693177.5,0,0,0,0,0
1,old-first,query_short_60_frames,old,9403.8,9255.7,9716.8,20621.8,6380399.4,60,30,60,960,960
1,old-first,query_short_60_frames,new,1930.9,1820.7,2060.6,4236.8,31073592.6,0,0,0,0,0
1,old-first,query_boundary_warm,old,221.2,219.2,232.5,485.1,4520795.7,1,1,1,36,36
1,old-first,query_boundary_warm,new,35.8,33.9,36.8,78.4,27948574.6,0,0,0,0,0
1,old-first,query_boundary_cold,old,212.9,201.3,224.0,466.9,4697923.5,1,1,1,36,36
1,old-first,query_boundary_cold,new,164.7,139.6,174.7,361.3,6070908.2,1,0,1,32,32
1,old-first,query_boundary_60_frames,old,9690.0,9165.5,9926.3,21242.1,6191950.5,60,30,60,1440,1440
1,old-first,query_boundary_60_frames,new,2277.1,2058.1,2468.9,4991.9,26349303.9,1,0,1,32,32
1,old-first,query_long_warm,old,216.3,205.9,223.9,474.4,4622460.5,1,1,1,108,108
1,old-first,query_long_warm,new,25.1,23.2,29.0,55.1,39872408.3,0,0,0,0,0
1,old-first,query_long_cold,old,211.5,187.4,243.4,463.6,4727461.8,1,1,1,108,108
1,old-first,query_long_cold,new,132.6,130.5,155.1,291.2,7540909.4,1,0,1,56,56
1,old-first,query_long_60_frames,old,9710.7,8979.4,10046.2,21288.2,6178751.3,60,30,60,4320,4320
1,old-first,query_long_60_frames,new,2178.9,1843.6,2319.7,4779.6,27536830.5,2,0,2,112,112
1,old-first,query_huge_warm,old,227.3,216.8,260.5,498.6,4398988.2,1,1,1,1620,1620
1,old-first,query_huge_warm,new,26.5,26.5,32.9,58.4,37714501.2,0,0,0,0,0
1,old-first,query_huge_cold,old,237.2,213.9,244.2,520.4,4216207.1,1,1,1,1620,1620
1,old-first,query_huge_cold,new,211.1,196.4,261.9,462.9,4737091.4,2,0,2,1103,1103
1,old-first,query_huge_60_frames,old,10475.4,9951.9,10779.7,22965.6,5727704.9,60,30,60,64800,64800
