suite,run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
pack,1,runtime_key/0,old,360.9,358.6,432.7,792.4,2770937.6,2,2,2,80,80
pack,1,runtime_key/0,new,126.3,126.1,152.5,277.6,7918036.0,1,0,1,27,27
pack,1,compiler_key/0,old,495.2,440.4,544.5,1085.1,2019524.7,3,2,3,90,90
pack,1,compiler_key/0,new,142.1,142.0,183.9,312.5,7039010.1,1,0,1,27,27
pack,1,runtime_key/1,old,653.1,582.7,746.5,1387.5,1531157.7,2,4,2,140,140
pack,1,runtime_key/1,new,167.7,158.9,245.5,368.3,5963890.5,1,0,1,27,27
pack,1,compiler_key/1,old,1000.9,907.1,1086.0,2168.7,999121.9,6,4,6,708,708
pack,1,compiler_key/1,new,364.1,321.5,412.6,782.3,2746781.1,1,0,1,27,27
pack,1,runtime_key/6,old,1255.7,1098.6,1502.4,2715.5,796391.4,2,6,2,380,380
pack,1,runtime_key/6,new,326.5,308.3,429.7,716.5,3062887.9,1,0,1,27,27
pack,1,compiler_key/6,old,2314.2,2257.2,2472.6,5023.0,432108.5,16,6,16,1045,1045
pack,1,compiler_key/6,new,687.0,651.1,848.9,1505.8,1455631.0,1,0,1,27,27
pack,1,runtime_key/11,old,1675.8,1339.3,1994.4,3652.0,596745.3,2,7,2,700,700
pack,1,runtime_key/11,new,628.1,621.4,682.8,1363.4,1592163.6,1,0,1,27,27
pack,1,compiler_key/11,old,4330.6,4201.6,4470.4,9433.0,230912.8,26,7,26,1454,1454
pack,1,compiler_key/11,new,1483.3,1423.1,1510.3,3222.8,674161.0,1,0,1,27,27
pack,1,pack_load/0x0,old,960637.5,933612.5,996612.5,2099901.6,1041.0,51,25,51,167286,167286
pack,1,pack_load/0x0,new,779362.5,740862.5,859050.0,1693469.9,1283.1,47,25,47,166874,166874
pack,1,pack_load/1x1,old,1516725.0,1470337.5,1551525.0,3290030.6,659.3,76,35,76,171635,171635
pack,1,pack_load/1x1,new,1119825.0,1092012.5,1165587.5,2419082.0,893.0,68,35,68,170796,170796
