run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,resample/1to1-16,old,181.4,154.7,222.5,396.8,88204576.0,0,0,0,0,0
1,old-first,resample/1to1-16,new,61.8,61.7,81.4,136.0,258933228.0,0,0,0,0,0
1,old-first,resample/1to1-256,old,2329.1,2230.0,2516.4,5095.4,109914779.0,0,0,0,0,0
1,old-first,resample/1to1-256,new,947.6,781.2,969.7,2079.0,270147108.1,0,0,0,0,0
1,old-first,resample/1to1-4096,old,36545.6,35230.4,37850.6,80028.2,112079064.3,0,0,0,0,0
1,old-first,resample/1to1-4096,new,14210.3,13384.9,14564.9,31120.4,288242067.3,0,0,0,0,0
1,old-first,resample/2to1-256,old,2371.5,2229.8,2421.5,5196.4,107949267.0,0,0,0,0,0
1,old-first,resample/2to1-256,new,879.4,836.7,1031.6,1929.8,291117465.8,0,0,0,0,0
1,old-first,resample/6to1-256,old,2274.1,2124.2,2414.9,4986.4,112569753.8,0,0,0,0,0
1,old-first,resample/6to1-256,new,926.2,805.2,1019.4,2031.2,276406579.5,0,0,0,0,0
1,old-first,resample/1to2-256,old,900.0,778.9,1286.6,1974.3,568873457.2,0,0,0,0,0
1,old-first,resample/1to2-256,new,818.8,736.6,948.4,1796.3,625306219.8,0,0,0,0,0
1,old-first,resample/2to2-256,old,1672.6,1412.3,1806.3,3669.2,306108889.2,0,0,0,0,0
1,old-first,resample/2to2-256,new,1653.1,1491.6,1793.3,3625.8,309711872.2,0,0,0,0,0
1,old-first,resample/6to6-256,old,12588.4,12256.7,13937.7,27580.6,122017536.2,0,0,0,0,0
1,old-first,resample/6to6-256,new,12601.4,12227.8,12902.2,27562.0,121890827.4,0,0,0,0,0
1,old-first,fade/stereo-fade,old,7627.6,7179.8,8128.1,16691.3,134248658.9,0,0,0,0,0
1,old-first,fade/stereo-fade,new,6189.6,5789.6,6758.3,13534.6,165438811.0,0,0,0,0,0
1,old-first,fade/mono-fade,old,4711.4,4572.7,5027.7,10296.2,108673113.0,0,0,0,0,0
1,old-first,fade/mono-fade,new,3675.4,3515.7,4269.8,8057.0,139303070.2,0,0,0,0,0
1,old-first,fade/surround-fade,old,15662.5,15238.8,22868.4,34246.2,196137882.0,0,0,0,0,0
1,old-first,fade/surround-fade,new,14207.9,13605.9,14260.2,31089.8,216217583.5,0,0,0,0,0
1,old-first,fade/silent,old,6700.3,6388.0,7076.8,14655.3,152829138.2,0,0,0,0,0
1,old-first,fade/silent,new,78.8,76.6,93.4,173.6,13001562306.3,0,0,0,0,0
