run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,datetime/canonical,old,1321.8,1190.0,1388.9,2895.0,756558.4,0,0,0,0,0
1,old-first,datetime/canonical,new,933.5,902.9,1033.6,2047.4,1071266.0,0,0,0,0,0
1,old-first,datetime/trimmed,old,1127.2,1116.2,1198.1,2452.7,887173.7,0,0,0,0,0
1,old-first,datetime/trimmed,new,956.1,873.2,1112.3,2094.0,1045888.4,0,0,0,0,0
1,old-first,datetime/relaxed,old,1131.9,1107.4,1260.0,2490.7,883470.3,0,0,0,0,0
1,old-first,datetime/relaxed,new,1136.6,1119.7,1273.3,2488.3,879817.0,0,0,0,0,0
1,old-first,datetime/leap-second,old,1354.3,1295.0,1414.2,2970.4,738361.6,0,0,0,0,0
1,old-first,datetime/leap-second,new,1270.9,1219.6,1358.8,2786.3,786844.0,0,0,0,0,0
1,old-first,datetime/invalid,old,42.6,31.4,51.9,93.9,23460410.6,0,0,0,0,0
1,old-first,datetime/invalid,new,32.6,32.5,34.1,71.9,30698388.3,0,0,0,0,0
1,old-first,datetime/invalid-date,old,211.6,183.9,270.3,465.0,4725339.6,0,0,0,0,0
1,old-first,datetime/invalid-date,new,15.7,15.4,16.4,34.8,63593004.8,0,0,0,0,0
1,old-first,itg-import/512,old,722151.0,640920.0,780580.0,1580358.3,708993.0,0,0,0,0,0
1,old-first,itg-import/512,new,531492.0,487490.0,617671.0,1164335.6,963325.9,0,0,0,0,0
1,old-first,summary/0-missing,old,22.2,20.4,24.1,50.5,0.0,0,0,0,0,0
1,old-first,summary/0-missing,new,12.8,12.8,17.2,28.3,0.0,0,0,0,0,0
1,old-first,summary/1-self,old,23.8,23.6,27.8,52.3,42069835.9,0,0,0,0,0
1,old-first,summary/1-self,new,17.4,16.2,19.0,38.3,57570523.9,0,0,0,0,0
1,old-first,summary/10-self,old,39.4,37.8,47.1,86.4,253807106.6,0,0,0,0,0
1,old-first,summary/10-self,new,20.1,20.1,20.6,44.2,498504486.5,0,0,0,0,0
1,old-first,summary/128-self,old,278.4,267.1,301.6,611.0,459720576.1,0,0,0,0,0
1,old-first,summary/128-self,new,98.3,91.9,107.8,215.7,1302136317.4,0,0,0,0,0
1,old-first,summary/128-name,old,2412.6,2225.1,2723.4,5287.6,53054355.8,0,0,0,0,0
1,old-first,summary/128-name,new,929.8,899.7,963.2,2039.2,137662533.2,0,0,0,0,0
1,old-first,summary/128-missing,old,2156.8,2105.2,2713.2,4718.7,59345805.2,0,0,0,0,0
1,old-first,summary/128-missing,new,700.9,691.0,777.9,1538.1,182622342.7,0,0,0,0,0
1,old-first,summary/1024-name,old,20259.0,17845.0,22117.6,44420.6,50545311.8,0,0,0,0,0
1,old-first,summary/1024-name,new,7425.2,6349.6,7461.5,16278.9,137908557.5,0,0,0,0,0
1,old-first,comment/0,old,84.8,82.1,116.8,1727.7,11792452.8,0,0,0,0,0
1,old-first,comment/0,new,80.7,78.3,98.8,1707.5,12391573.7,0,0,0,0,0
1,old-first,comment/128,old,253.1,245.4,297.2,2078.0,3951007.5,1,0,1,128,128
1,old-first,comment/128,new,202.9,196.8,219.2,1948.1,4928536.2,0,0,1,0,128
1,old-first,comment/4096,old,388.9,364.1,444.8,2402.9,2571355.1,1,0,1,4096,4096
1,old-first,comment/4096,new,225.7,202.0,267.1,1993.9,4430660.2,0,0,1,0,4096
1,old-first,response/0-missing-0,old,280.4,263.4,366.3,2159.7,0.0,1,0,3,280,291
1,old-first,response/0-missing-0,new,267.9,245.6,306.8,2042.7,0.0,1,0,3,280,291
1,old-first,import/0-missing-0,old,116.8,112.8,140.1,1734.1,0.0,0,0,2,0,11
1,old-first,import/0-missing-0,new,129.5,112.1,172.3,1591.8,0.0,0,0,2,0,11
1,old-first,response/10-self-128,old,3786.4,3720.2,4366.3,9547.4,10564124.2,10,0,122,3962,10861
1,old-first,response/10-self-128,new,4141.2,3660.0,4709.5,10563.9,9659036.0,9,0,121,3834,10733
1,old-first,import/10-self-128,old,2466.8,2368.4,2533.5,6676.5,16215339.7,1,0,113,128,7027
1,old-first,import/10-self-128,new,2407.3,2276.2,2455.8,6529.5,16616126.0,0,0,112,0,6899
1,old-first,response/128-self-128,old,43009.7,40289.4,63144.4,96502.1,11904291.4,10,0,1340,45498,134161
1,old-first,response/128-self-128,new,44416.0,41233.9,45590.1,99528.1,11527377.5,9,0,1339,45370,134033
1,old-first,import/128-self-128,old,33385.6,30484.5,35659.9,75011.9,15335953.2,1,0,1331,128,88791
1,old-first,import/128-self-128,new,35545.6,31426.0,35774.9,79916.2,14404033.1,0,0,1330,0,88663
1,old-first,response/128-name-128,old,49361.8,44301.5,53302.8,110330.3,10372393.2,10,0,1340,45498,134145
1,old-first,response/128-name-128,new,45724.2,41820.6,51431.2,102096.5,11197571.5,9,0,1339,45370,134017
1,old-first,import/128-name-128,old,37119.7,32027.3,38283.5,83451.7,13793214.9,1,0,1331,128,88775
1,old-first,import/128-name-128,new,34321.6,29481.7,36290.2,77262.5,14917719.5,0,0,1330,0,88647
1,old-first,response/128-missing-0,old,45593.8,42616.6,47499.6,102154.0,11229597.0,9,0,1211,45370,117649
1,old-first,response/128-missing-0,new,43056.6,37511.4,45005.2,96267.2,11891324.4,9,0,1211,45370,117649
