run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,cache/hidden-fade,old,1254.1,1239.1,1372.7,2750.2,25516274.7,0,0,0,0,0
1,old-first,cache/hidden-fade,new,1317.8,1263.5,1422.6,2891.4,24282935.3,0,0,0,0,0
1,old-first,visibility/hidden-fade,old,3520.4,3097.7,3807.9,7718.3,145437598.8,0,0,0,0,0
1,old-first,visibility/hidden-fade,new,2978.4,2843.1,3618.0,6535.9,171903341.1,0,0,0,0,0
1,old-first,cache/sudden-fade,old,1280.4,1195.3,1324.6,2807.4,24992277.6,0,0,0,0,0
1,old-first,cache/sudden-fade,new,1319.0,1252.0,1421.8,2890.7,24261360.5,0,0,0,0,0
1,old-first,visibility/sudden-fade,old,3576.6,3171.1,3871.5,7844.1,143154215.8,0,0,0,0,0
1,old-first,visibility/sudden-fade,new,2818.2,2480.3,3357.8,6184.4,181678564.0,0,0,0,0,0
1,old-first,visibility/hidden-wide,old,3369.3,2993.5,3706.2,7390.1,151958727.0,0,0,0,0,0
1,old-first,visibility/hidden-wide,new,1619.1,1502.8,1790.9,3551.0,316217129.1,0,0,0,0,0
1,old-first,visibility/sudden-wide,old,3653.0,3248.9,4012.4,8004.2,140157724.5,0,0,0,0,0
1,old-first,visibility/sudden-wide,new,1579.9,1396.9,1663.4,3469.6,324074669.3,0,0,0,0,0
1,old-first,cache/combined,old,1263.1,1231.5,1320.5,2767.5,25334776.6,0,0,0,0,0
1,old-first,cache/combined,new,1401.0,1322.8,1515.5,3070.0,22840016.0,0,0,0,0,0
1,old-first,visibility/combined,old,3755.9,3474.4,4196.7,8237.0,136320332.8,0,0,0,0,0
1,old-first,visibility/combined,new,3750.4,3586.6,4354.9,8216.2,136519112.6,0,0,0,0,0
1,old-first,cache/general,old,1753.1,1656.1,1852.3,3844.6,18253373.6,0,0,0,0,0
1,old-first,cache/general,new,1888.2,1696.4,1997.9,4130.2,16947285.4,0,0,0,0,0
1,old-first,visibility/general,old,5626.2,4672.9,6608.6,12247.2,91003263.2,0,0,0,0,0
1,old-first,visibility/general,new,5192.3,4848.3,5386.6,11391.3,98607835.4,0,0,0,0,0
1,old-first,cache/identity,old,318.1,272.5,336.4,693.6,100600199.6,0,0,0,0,0
1,old-first,cache/identity,new,308.7,290.2,396.4,677.1,103647003.0,0,0,0,0,0
1,old-first,visibility/identity,old,672.3,597.6,837.4,1477.3,761603718.8,0,0,0,0,0
1,old-first,visibility/identity,new,611.8,577.9,705.7,1341.4,836852354.3,0,0,0,0,0
1,old-first,visibility/stealth,old,1269.2,1133.0,1550.1,2787.5,403391551.9,0,0,0,0,0
1,old-first,visibility/stealth,new,1187.8,1004.5,1474.8,2608.9,431051549.8,0,0,0,0,0
1,old-first,visibility/hidden-outside,old,2989.8,2663.7,3662.0,6556.1,171246407.1,0,0,0,0,0
1,old-first,visibility/hidden-outside,new,1306.4,1179.1,1495.7,2864.4,391903124.5,0,0,0,0,0
1,old-first,visibility/sudden-outside,old,3446.6,2932.1,3776.4,7560.7,148552970.8,0,0,0,0,0
1,old-first,visibility/sudden-outside,new,1278.5,1104.9,1383.1,2756.2,400464405.7,0,0,0,0,0
1,old-first,width/empty,old,55.1,44.4,78.8,121.8,580478299.4,0,0,0,0,0
1,old-first,width/empty,new,52.9,44.4,66.5,116.9,604575645.8,0,0,0,0,0
1,old-first,width/single,old,235.0,230.8,260.0,516.7,136164554.3,0,0,0,0,0
1,old-first,width/single,new,141.5,130.2,157.3,311.4,226142167.0,0,0,0,0,0
1,old-first,width/label,old,2323.3,2058.9,2745.3,5090.4,13773565.1,0,0,0,0,0
1,old-first,width/label,new,702.5,603.3,804.7,1541.3,45549068.7,0,0,0,0,0
1,old-first,width/ascii-64,old,11543.5,11342.4,12086.9,25304.8,2772121.4,0,0,0,0,0
1,old-first,width/ascii-64,new,2733.1,2518.1,2838.6,5985.2,11708502.3,0,0,0,0,0
1,old-first,width/ascii-1024,old,179064.4,178259.7,181595.4,392142.1,178706.7,0,0,0,0,0
1,old-first,width/ascii-1024,new,37464.5,36688.6,39876.0,82051.5,854143.0,0,0,0,0,0
1,old-first,width/unicode,old,40755.2,40392.9,43169.4,89252.4,785175.4,0,0,0,0,0
1,old-first,width/unicode,new,41154.8,40297.9,41993.8,90178.3,777552.4,0,0,0,0,0
1,old-first,width/mixed-long,old,181252.0,179250.9,183115.3,397221.7,176549.8,0,0,0,0,0
1,old-first,width/mixed-long,new,180768.4,179019.4,181543.4,395866.4,177022.1,0,0,0,0,0
2,new-first,cache/hidden-fade,new,1346.7,1251.7,1391.0,2953.0,23762577.3,0,0,0,0,0
2,new-first,cache/hidden-fade,old,1295.2,1184.5,1444.8,2840.0,24705860.2,0,0,0,0,0
2,new-first,visibility/hidden-fade,new,3132.7,2666.5,3419.4,6871.2,163436516.1,0,0,0,0,0
2,new-first,visibility/hidden-fade,old,3583.2,3407.1,3725.8,7844.6,142888913.1,0,0,0,0,0
2,new-first,cache/sudden-fade,new,1308.9,1230.2,1366.2,2871.2,24447345.8,0,0,0,0,0
2,new-first,cache/sudden-fade,old,1272.4,1192.1,1398.9,2791.8,25148602.2,0,0,0,0,0
2,new-first,visibility/sudden-fade,new,2914.0,2685.7,3223.9,6389.7,175705620.2,0,0,0,0,0
2,new-first,visibility/sudden-fade,old,3603.4,3015.1,3867.5,7883.1,142087319.4,0,0,0,0,0
2,new-first,visibility/hidden-wide,new,1640.5,1436.0,1903.9,3597.5,312094767.5,0,0,0,0,0
2,new-first,visibility/hidden-wide,old,3153.0,2904.0,3500.4,6915.3,162383621.9,0,0,0,0,0
2,new-first,visibility/sudden-wide,new,1570.3,1434.8,1968.0,3448.6,326049751.2,0,0,0,0,0
2,new-first,visibility/sudden-wide,old,3599.7,3393.8,3884.8,7895.1,142233797.2,0,0,0,0,0
2,new-first,cache/combined,new,1327.1,1240.7,1509.4,2910.4,24112290.5,0,0,0,0,0
2,new-first,cache/combined,old,1307.2,1152.1,1351.9,2864.4,24480678.4,0,0,0,0,0
2,new-first,visibility/combined,new,3936.4,3577.1,4075.5,8631.7,130067230.6,0,0,0,0,0
2,new-first,visibility/combined,old,3803.6,3582.2,4206.1,8340.6,134608847.5,0,0,0,0,0
2,new-first,cache/general,new,1841.1,1788.6,1942.1,4038.2,17381018.7,0,0,0,0,0
2,new-first,cache/general,old,1791.7,1644.8,1871.0,3910.0,17859897.3,0,0,0,0,0
2,new-first,visibility/general,new,5190.8,4728.2,5625.2,11300.0,98635662.4,0,0,0,0,0
2,new-first,visibility/general,old,5815.2,4929.6,5976.5,12746.6,88044602.7,0,0,0,0,0
2,new-first,cache/identity,new,307.2,287.4,360.5,674.6,104182497.4,0,0,0,0,0
2,new-first,cache/identity,old,293.3,262.0,325.7,642.5,109108465.8,0,0,0,0,0
2,new-first,visibility/identity,new,549.7,544.1,811.4,1202.7,931405223.0,0,0,0,0,0
2,new-first,visibility/identity,old,756.3,702.1,826.0,1659.8,676937379.0,0,0,0,0,0
2,new-first,visibility/stealth,new,1214.3,1084.5,1382.8,2662.1,421656747.6,0,0,0,0,0
2,new-first,visibility/stealth,old,1343.5,1249.0,1486.2,2950.6,381106345.9,0,0,0,0,0
2,new-first,visibility/hidden-outside,new,1239.6,1191.1,1556.7,2722.5,413052863.8,0,0,0,0,0
2,new-first,visibility/hidden-outside,old,3079.8,2962.4,3469.9,6758.4,166245362.6,0,0,0,0,0
2,new-first,visibility/sudden-outside,new,1266.1,1176.3,1441.6,2780.8,404387196.3,0,0,0,0,0
2,new-first,visibility/sudden-outside,old,3414.1,3159.7,3669.0,7488.3,149967963.4,0,0,0,0,0
2,new-first,width/empty,new,73.1,62.0,102.0,161.4,437489986.6,0,0,0,0,0
2,new-first,width/empty,old,64.0,63.9,100.3,141.4,500274809.2,0,0,0,0,0
2,new-first,width/single,new,138.4,134.2,169.1,304.6,231167548.5,0,0,0,0,0
2,new-first,width/single,old,310.5,254.1,340.5,680.5,103060229.6,0,0,0,0,0
2,new-first,width/label,new,682.6,638.8,821.0,1497.4,46881751.2,0,0,0,0,0
2,new-first,width/label,old,2265.2,1985.4,2476.9,4969.6,14126878.1,0,0,0,0,0
2,new-first,width/ascii-64,new,2730.4,2441.0,2848.6,5981.7,11719809.0,0,0,0,0,0
2,new-first,width/ascii-64,old,11373.4,11158.6,12062.8,24937.7,2813573.3,0,0,0,0,0
2,new-first,width/ascii-1024,new,37379.9,36788.7,37505.6,81825.1,856075.5,0,0,0,0,0
2,new-first,width/ascii-1024,old,175999.3,174066.1,177464.6,385644.0,181818.9,0,0,0,0,0
2,new-first,width/unicode,new,39716.1,39138.7,40550.2,86891.8,805718.3,0,0,0,0,0
2,new-first,width/unicode,old,39559.3,39045.6,42000.3,86698.2,808912.7,0,0,0,0,0
2,new-first,width/mixed-long,new,176409.4,175665.4,184757.9,386274.8,181396.2,0,0,0,0,0
2,new-first,width/mixed-long,old,174720.2,173851.3,175742.0,382607.1,183150.0,0,0,0,0,0
3,old-first,cache/hidden-fade,old,1288.3,1194.1,3498.4,2826.3,24838355.1,0,0,0,0,0
3,old-first,cache/hidden-fade,new,1378.5,1214.9,1474.7,3020.7,23214197.2,0,0,0,0,0
3,old-first,visibility/hidden-fade,old,3173.3,2972.8,3425.6,6949.4,161344206.8,0,0,0,0,0
3,old-first,visibility/hidden-fade,new,3195.5,2801.9,3443.5,7008.6,160224925.1,0,0,0,0,0
3,old-first,cache/sudden-fade,old,1318.6,1225.0,1411.9,2873.4,24267649.2,0,0,0,0,0
3,old-first,cache/sudden-fade,new,1273.2,1184.1,1415.3,2792.8,25133652.9,0,0,0,0,0
3,old-first,visibility/sudden-fade,old,3511.1,3276.7,3763.5,7700.7,145821883.5,0,0,0,0,0
3,old-first,visibility/sudden-fade,new,2845.8,2583.0,3503.1,6245.2,179914210.2,0,0,0,0,0
3,old-first,visibility/hidden-wide,old,3161.3,2951.7,3741.2,6936.5,161957247.0,0,0,0,0,0
3,old-first,visibility/hidden-wide,new,1783.8,1389.8,1935.2,3914.1,287029453.6,0,0,0,0,0
3,old-first,visibility/sudden-wide,old,3648.6,3341.5,3779.5,8001.7,140326535.0,0,0,0,0,0
3,old-first,visibility/sudden-wide,new,1498.4,1377.6,1650.4,3291.4,341689259.6,0,0,0,0,0
3,old-first,cache/combined,old,1319.1,1218.1,1365.6,2892.2,24259115.3,0,0,0,0,0
3,old-first,cache/combined,new,1331.1,1287.9,1454.8,2919.4,24040644.9,0,0,0,0,0
3,old-first,visibility/combined,old,3869.4,3574.7,4410.5,8473.5,132319107.6,0,0,0,0,0
3,old-first,visibility/combined,new,3671.8,3522.7,4178.1,8043.7,139442006.4,0,0,0,0,0
3,old-first,cache/general,old,1729.0,1633.8,1813.5,3792.5,18508027.5,0,0,0,0,0
3,old-first,cache/general,new,1868.2,1670.9,1931.2,4077.8,17128445.0,0,0,0,0,0
3,old-first,visibility/general,old,5130.2,5039.1,5852.4,11251.7,99801648.5,0,0,0,0,0
3,old-first,visibility/general,new,5352.7,4774.2,5873.7,11737.2,95652047.0,0,0,0,0,0
3,old-first,cache/identity,old,277.1,254.0,313.3,607.9,115461592.7,0,0,0,0,0
3,old-first,cache/identity,new,302.3,268.6,324.2,660.2,105839793.3,0,0,0,0,0
3,old-first,visibility/identity,old,672.6,607.5,725.6,1477.8,761271961.7,0,0,0,0,0
3,old-first,visibility/identity,new,603.0,578.1,641.6,1325.8,849049392.7,0,0,0,0,0
3,old-first,visibility/stealth,old,1183.1,1107.7,1482.7,2595.4,432759389.2,0,0,0,0,0
3,old-first,visibility/stealth,new,1292.0,1159.7,1352.9,2824.6,396287226.0,0,0,0,0,0
3,old-first,visibility/hidden-outside,old,2973.8,2769.6,3335.9,6524.6,172168658.9,0,0,0,0,0
3,old-first,visibility/hidden-outside,new,1298.6,1140.5,1497.5,2852.2,394260791.1,0,0,0,0,0
3,old-first,visibility/sudden-outside,old,3159.3,3019.0,4508.5,6933.1,162062378.3,0,0,0,0,0
3,old-first,visibility/sudden-outside,new,1323.2,1187.6,1501.5,2902.6,386928413.3,0,0,0,0,0
