run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
control,mono,before,3527.8,3308.7,3818.6,7728.8,290264257.0,0,0,0,0,0
control,mono,after,3418.4,3278.0,3603.9,7495.2,299557837.8,0,0,0,0,0
control,mono_stereo,before,3737.6,3425.4,3826.5,8194.1,273972774.5,0,0,0,0,0
control,mono_stereo,after,3769.4,3566.5,5132.6,8264.8,271657971.5,0,0,0,0,0
control,stereo,before,6651.4,6304.9,6921.9,14580.1,153951898.1,0,0,0,0,0
control,stereo,after,6782.5,6373.4,7087.6,14803.5,150975800.3,0,0,0,0,0
control,six_stereo,before,9726.9,9373.7,10262.0,21323.8,105274751.2,0,0,0,0,0
control,six_stereo,after,9645.6,9376.8,9995.6,21153.0,106161932.0,0,0,0,0,0
control,six,before,27281.4,26320.8,28946.3,59788.1,37534685.1,0,0,0,0,0
control,six,after,28605.0,27350.9,29105.9,62696.0,35797885.5,0,0,0,0,0
control,six_eight,before,34667.0,33532.6,35690.9,75997.3,29538142.6,0,0,0,0,0
control,six_eight,after,37873.3,35346.1,39934.3,83001.6,27037541.0,0,0,0,0,0
control,stereo_six64,before,1918.4,1864.6,1973.8,4190.1,33361416.2,0,0,0,0,0
control,stereo_six64,after,1895.9,1802.7,1972.9,4133.1,33757299.9,0,0,0,0,0
control,stereo_six,before,28702.2,26846.0,29526.0,62593.3,35676695.9,0,0,0,0,0
control,stereo_six,after,28495.5,26361.8,29870.5,62306.5,35935550.3,0,0,0,0,0
control,stereo_eight,before,39176.4,38613.8,41642.5,85523.0,26138166.4,0,0,0,0,0
control,stereo_eight,after,38739.2,37904.7,39198.9,84898.1,26433175.8,0,0,0,0,0
control,mono_eight,before,39745.0,38930.7,40483.6,87088.4,25764250.2,0,0,0,0,0
control,mono_eight,after,39449.4,39348.6,40268.5,86467.8,25957309.1,0,0,0,0,0
control,three_eight,before,38729.5,38050.8,39148.6,84903.2,26439799.3,0,0,0,0,0
control,three_eight,after,39146.2,38577.6,40234.7,85441.8,26158355.7,0,0,0,0,0
control,sixteen,before,77631.4,75715.3,78890.5,170160.1,13190543.6,0,0,0,0,0
control,sixteen,after,80470.8,76544.5,81382.5,176339.9,12725118.4,0,0,0,0,0
run1,mono,before,3832.2,3806.6,3977.5,8398.6,267211839.5,0,0,0,0,0
run1,mono,after,3934.8,3835.2,4102.3,8623.3,260240180.4,0,0,0,0,0
run1,mono_stereo,before,4227.8,4092.8,4469.2,9264.9,242206611.4,0,0,0,0,0
run1,mono_stereo,after,4156.3,4068.7,4473.2,9107.2,246372321.8,0,0,0,0,0
run1,stereo,before,7458.9,7252.5,7510.4,16351.9,137285903.2,0,0,0,0,0
run1,stereo,after,7513.8,7335.2,7654.4,16469.7,136282019.0,0,0,0,0,0
run1,six_stereo,before,10955.5,10527.9,11100.6,24004.7,93468988.0,0,0,0,0,0
run1,six_stereo,after,10932.6,10690.6,11083.7,23961.1,93664462.6,0,0,0,0,0
run1,six,before,29435.3,28887.7,30493.4,64499.0,34788116.0,0,0,0,0,0
run1,six,after,29402.1,27948.3,30337.8,64438.1,34827444.8,0,0,0,0,0
run1,six_eight,before,38614.8,37691.6,39772.6,84623.9,26518316.5,0,0,0,0,0
run1,six_eight,after,31472.6,30756.9,32518.2,68635.4,32536217.6,0,0,0,0,0
run1,stereo_six64,before,1835.1,1815.6,1927.5,4000.8,34876038.6,0,0,0,0,0
run1,stereo_six64,after,918.4,917.4,970.3,2007.1,69684862.5,0,0,0,0,0
run1,stereo_six,before,29465.0,29072.5,31062.5,64337.1,34753065.2,0,0,0,0,0
run1,stereo_six,after,14669.3,14519.9,15145.1,32012.4,69805593.7,0,0,0,0,0
run1,stereo_eight,before,39184.1,38413.1,40255.1,85656.3,26133028.3,0,0,0,0,0
run1,stereo_eight,after,16718.5,16435.6,17817.7,36642.5,61249403.1,0,0,0,0,0
run1,mono_eight,before,38898.1,38768.4,40344.8,85230.3,26325212.7,0,0,0,0,0
run1,mono_eight,after,12930.2,12877.9,13004.3,28347.7,79194592.3,0,0,0,0,0
run1,three_eight,before,39405.6,38947.7,40261.7,86375.5,25986184.5,0,0,0,0,0
run1,three_eight,after,20039.2,19781.1,20681.8,43927.8,51099945.9,0,0,0,0,0
run1,sixteen,before,77973.4,77447.7,79667.6,170906.1,13132675.3,0,0,0,0,0
run1,sixteen,after,74715.9,74191.9,76290.3,163746.1,13705241.0,0,0,0,0,0
run1,pipeline_2_2,before,38550.0,37803.9,40843.4,84468.1,6640726.3,0,0,0,0,0
run1,pipeline_2_2,after,38809.4,38232.4,38900.4,85034.8,6596344.3,0,0,0,0,0
run1,pipeline_2_6,before,44327.7,43305.9,46481.2,97043.9,5775165.4,0,0,0,0,0
run1,pipeline_2_6,after,40118.8,39123.4,40705.5,87936.3,6381056.2,0,0,0,0,0
run1,pipeline_2_8,before,47168.8,46403.1,47880.9,103375.1,5427322.1,0,0,0,0,0
run1,pipeline_2_8,after,41553.5,41028.1,41985.5,91057.3,6160730.2,0,0,0,0,0
run1,pipeline_6_6,before,85382.0,84563.3,86654.7,187101.5,2998288.9,0,0,0,0,0
run1,pipeline_6_6,after,83644.1,82199.2,85376.2,183220.8,3060585.0,0,0,0,0,0
run1,pipeline_6_8,before,88402.7,87474.2,90728.5,193735.3,2895838.0,0,0,0,0,0
run1,pipeline_6_8,after,86912.5,83924.6,87866.8,190480.6,2945491.2,0,0,0,0,0
run2,mono,after,3869.5,3855.5,4220.9,8477.2,264633206.1,0,0,0,0,0
run2,mono,before,3974.9,3810.2,4172.9,8707.2,257617974.2,0,0,0,0,0
run2,mono_stereo,after,4223.3,4032.3,4327.2,9250.7,242464939.4,0,0,0,0,0
run2,mono_stereo,before,4070.0,4004.1,4319.4,8916.4,251598862.7,0,0,0,0,0
run2,stereo,after,7605.9,7456.8,7772.9,16662.6,134632611.9,0,0,0,0,0
run2,stereo,before,7499.9,7376.0,7696.3,16423.1,136535111.1,0,0,0,0,0
run2,six_stereo,after,10828.4,10547.4,11017.9,23732.7,94566517.0,0,0,0,0,0
run2,six_stereo,before,10731.3,10482.2,10893.3,23510.5,95421922.5,0,0,0,0,0
run2,six,after,29225.8,29146.0,29935.8,64065.6,35037499.3,0,0,0,0,0
run2,six,before,30352.3,29829.6,30747.9,66527.3,33737179.6,0,0,0,0,0
run2,six_eight,after,31129.2,30244.2,31510.2,68217.8,32895160.4,0,0,0,0,0
run2,six_eight,before,39189.7,38534.3,39582.8,85898.1,26129332.7,0,0,0,0,0
run2,stereo_six64,after,914.6,878.7,992.0,2005.8,69979711.7,0,0,0,0,0
run2,stereo_six64,before,1846.0,1703.9,1874.3,4046.9,34669399.9,0,0,0,0,0
run2,stereo_six,after,14108.4,13425.7,14598.9,30924.8,72580630.6,0,0,0,0,0
run2,stereo_six,before,29919.7,28075.7,30435.5,65562.5,34224953.6,0,0,0,0,0
run2,stereo_eight,after,16835.0,16257.1,17092.4,36904.6,60825713.8,0,0,0,0,0
run2,stereo_eight,before,39012.2,36911.6,39295.3,85499.8,26248202.8,0,0,0,0,0
run2,mono_eight,after,12846.3,12485.9,13122.2,28158.2,79711735.8,0,0,0,0,0
run2,mono_eight,before,39956.5,39095.6,41035.4,87585.8,25627850.6,0,0,0,0,0
run2,three_eight,after,19881.0,19426.6,20794.7,43557.3,51506574.8,0,0,0,0,0
run2,three_eight,before,39663.7,39180.9,40171.2,86928.7,25817051.4,0,0,0,0,0
run2,sixteen,after,75360.2,72945.5,76821.4,165169.4,13588071.2,0,0,0,0,0
run2,sixteen,before,78864.6,76868.6,79141.6,172624.2,12984283.5,0,0,0,0,0
run2,pipeline_2_2,after,37904.7,37764.8,37934.4,83024.2,6753782.1,0,0,0,0,0
run2,pipeline_2_2,before,37941.8,37827.0,38042.6,83180.2,6747176.5,0,0,0,0,0
run2,pipeline_2_6,after,43939.8,43644.5,44357.4,96175.3,5826147.3,0,0,0,0,0
run2,pipeline_2_6,before,47855.9,47225.0,48298.0,104873.8,5349397.2,0,0,0,0,0
run2,pipeline_2_8,after,44593.4,44295.3,44867.2,97776.1,5740765.1,0,0,0,0,0
run2,pipeline_2_8,before,50038.7,48961.7,50641.4,109617.1,5116043.1,0,0,0,0,0
run2,pipeline_6_6,after,84994.1,81760.5,88457.8,186320.4,3011972.3,0,0,0,0,0
run2,pipeline_6_6,before,87933.2,87189.5,88791.0,192712.4,2911300.7,0,0,0,0,0
run2,pipeline_6_8,after,82352.0,81946.9,84204.3,180512.2,3108608.7,0,0,0,0,0
run2,pipeline_6_8,before,86285.9,84798.4,87436.7,189101.8,2966879.7,0,0,0,0,0
run3,mono,before,3940.0,3868.5,4050.4,8637.7,259895900.5,0,0,0,0,0
run3,mono,after,3890.1,3828.2,4007.9,8528.5,263231475.0,0,0,0,0,0
run3,mono_stereo,before,4047.8,4014.5,4114.3,8872.9,252976754.8,0,0,0,0,0
run3,mono_stereo,after,4069.4,3909.4,4192.2,8922.1,251636599.3,0,0,0,0,0
run3,stereo,before,7463.3,7396.4,7541.6,16358.7,137205066.5,0,0,0,0,0
run3,stereo,after,7313.5,7164.6,7528.4,16030.9,140014320.9,0,0,0,0,0
run3,six_stereo,before,10707.3,10400.6,10867.4,23471.5,95635689.5,0,0,0,0,0
run3,six_stereo,after,10850.9,10673.6,11386.6,23788.2,94370023.4,0,0,0,0,0
run3,six,before,29843.9,29441.5,29931.8,65410.3,34311873.5,0,0,0,0,0
run3,six,after,29198.4,28766.8,29567.9,64004.3,35070428.4,0,0,0,0,0
run3,six_eight,before,39523.8,39105.9,40534.0,86613.7,25908429.5,0,0,0,0,0
run3,six_eight,after,31080.4,30786.8,31352.5,68121.9,32946852.5,0,0,0,0,0
run3,stereo_six64,before,1865.4,1799.7,1931.2,4089.8,34308673.9,0,0,0,0,0
run3,stereo_six64,after,899.4,889.7,972.1,1970.0,71161300.8,0,0,0,0,0
run3,stereo_six,before,29804.9,29174.7,30322.9,65325.1,34356814.8,0,0,0,0,0
run3,stereo_six,after,14745.6,14478.9,15037.9,32318.7,69444361.2,0,0,0,0,0
run3,stereo_eight,before,39476.8,38707.1,39581.3,86502.0,25939305.6,0,0,0,0,0
run3,stereo_eight,after,17140.4,16747.1,17604.8,37572.2,59742005.6,0,0,0,0,0
