run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,life_changes_128,old,691.4,690.6,840.6,1529.6,185129943.5,0,0,0,0,0
1,old-first,life_changes_128,new,609.4,609.4,610.2,1349.6,210051282.1,0,0,0,0,0
1,old-first,life_plateau_128,old,1055.5,1021.1,1376.6,2328.8,121273131.0,0,0,0,0,0
1,old-first,life_plateau_128,new,285.2,285.2,289.1,639.6,448876712.3,0,0,0,0,0
1,old-first,life_changing_128,old,283.6,264.8,402.3,636.2,451349862.3,0,0,0,0,0
1,old-first,life_changing_128,new,264.1,264.1,264.8,591.6,484733727.8,0,0,0,0,0
1,old-first,life_mixed_128,old,921.9,891.4,1053.1,2037.2,138847457.6,0,0,0,0,0
1,old-first,life_mixed_128,new,293.8,282.0,377.3,656.8,435744680.9,0,0,0,0,0
1,old-first,life_same_time_128,old,370.3,370.3,371.9,826.6,345654008.4,0,0,0,0,0
1,old-first,life_same_time_128,new,371.1,370.3,371.9,826.6,344926315.8,0,0,0,0,0
1,old-first,life_changes_8192,old,47165.6,45529.7,50915.6,103439.4,173685814.6,0,0,0,0,0
1,old-first,life_changes_8192,new,42181.2,40443.8,43092.2,92260.3,194209512.5,0,0,0,0,0
1,old-first,life_plateau_8192,old,72550.8,66154.7,78238.3,158919.7,112914015.0,0,0,0,0,0
1,old-first,life_plateau_8192,new,15939.1,14935.9,16892.2,34974.2,513957455.2,0,0,0,0,0
1,old-first,life_changing_8192,old,15708.6,15340.6,16493.8,34463.2,521497985.8,0,0,0,0,0
1,old-first,life_changing_8192,new,16172.7,15458.6,17953.1,35480.1,506533983.9,0,0,0,0,0
1,old-first,life_mixed_8192,old,50809.4,49633.6,54871.1,111391.1,161230088.0,0,0,0,0,0
1,old-first,life_mixed_8192,new,16022.7,15448.4,17996.1,35072.0,511276025.2,0,0,0,0,0
1,old-first,life_same_time_8192,old,20060.9,19752.3,22007.0,44018.3,408355790.9,0,0,0,0,0
1,old-first,life_same_time_8192,new,20291.4,20079.7,21571.9,44522.5,403717706.8,0,0,0,0,0
1,old-first,life_full_plateau,old,136.8,124.2,185.8,299.2,7309065.0,1,1,1,48,48
1,old-first,life_full_plateau,new,62.5,55.1,80.8,137.6,15987509.8,1,0,1,16,16
1,old-first,stats_0x1_judged,old,1.0,0.8,1.0,4.7,1024000000.0,0,0,0,0,0
1,old-first,stats_0x1_judged,new,1.0,1.0,1.0,4.7,1024000000.0,0,0,0,0,0
1,old-first,windows_0x1_judged,old,6.6,6.6,7.0,17.1,150588235.3,0,0,0,0,0
1,old-first,windows_0x1_judged,new,6.6,6.6,6.6,17.1,150588235.3,0,0,0,0,0
1,old-first,scatter_0x1_judged,old,16.0,16.0,16.2,38.2,62439024.4,0,0,0,0,0
1,old-first,scatter_0x1_judged,new,15.6,15.0,16.0,37.3,64000000.0,0,0,0,0,0
1,old-first,stats_1x1_judged,old,11.1,10.7,11.3,27.0,89824561.4,0,0,0,0,0
1,old-first,stats_1x1_judged,new,9.6,9.6,10.0,23.6,104489795.9,0,0,0,0,0
1,old-first,windows_1x1_judged,old,12.5,12.5,12.9,30.0,80000000.0,0,0,0,0,0
1,old-first,windows_1x1_judged,new,12.9,12.7,13.1,30.4,77575757.6,0,0,0,0,0
1,old-first,scatter_1x1_judged,old,78.1,70.1,114.3,174.9,12800000.0,1,0,1,24,24
1,old-first,scatter_1x1_judged,new,73.2,73.0,106.1,163.3,13653333.3,1,0,1,24,24
1,old-first,stats_128x1_judged,old,901.6,852.9,943.9,1981.9,141975736.6,0,0,0,0,0
1,old-first,stats_128x1_judged,new,715.0,671.1,800.6,1572.5,179011199.1,0,0,0,0,0
1,old-first,windows_128x1_judged,old,946.9,896.7,1237.5,2081.4,135181518.2,0,0,0,0,0
1,old-first,windows_128x1_judged,new,736.7,611.1,881.4,1620.1,173743372.2,0,0,0,0,0
1,old-first,scatter_128x1_judged,old,1771.7,1623.4,1940.8,3882.0,72247822.7,1,0,1,3072,3072
1,old-first,scatter_128x1_judged,new,1590.2,1302.3,1875.4,3494.0,80491279.8,1,0,1,3072,3072
1,old-first,stats_8192x1_judged,old,58989.1,58035.9,62562.5,129378.1,138873202.1,0,0,0,0,0
1,old-first,stats_8192x1_judged,new,49400.0,48757.8,56973.4,108162.1,165829959.5,0,0,0,0,0
1,old-first,windows_8192x1_judged,old,66887.5,65512.5,69678.1,146704.9,122474303.9,0,0,0,0,0
1,old-first,windows_8192x1_judged,new,50734.4,50135.9,54764.1,111272.8,161468432.4,0,0,0,0,0
1,old-first,scatter_8192x1_judged,old,136350.0,130064.1,140943.8,298677.8,60080674.7,1,0,1,196608,196608
1,old-first,scatter_8192x1_judged,new,114537.5,110354.7,121226.6,251114.9,71522427.2,1,0,1,196608,196608
1,old-first,stats_4096x2_judged,old,44387.5,42364.1,46734.4,97169.9,184556463.0,0,0,0,0,0
1,old-first,stats_4096x2_judged,new,38542.2,36757.8,39639.1,83975.9,212546316.9,0,0,0,0,0
1,old-first,windows_4096x2_judged,old,43850.0,42735.9,47546.9,96147.9,186818700.1,0,0,0,0,0
1,old-first,windows_4096x2_judged,new,43962.5,43209.4,49315.6,96381.1,186340631.2,0,0,0,0,0
1,old-first,scatter_4096x2_judged,old,98148.4,94448.4,105634.4,215223.2,83465414.3,1,0,1,196608,196608
1,old-first,scatter_4096x2_judged,new,76239.1,74640.6,81495.3,167166.4,107451478.7,1,0,1,196608,196608
1,old-first,stats_2048x4_judged,old,39292.2,38959.4,41826.6,86208.6,208489283.0,0,0,0,0,0
1,old-first,stats_2048x4_judged,new,40376.6,38712.5,42673.4,88585.4,202889981.0,0,0,0,0,0
1,old-first,windows_2048x4_judged,old,41479.7,40525.0,44396.9,90921.0,197494255.5,0,0,0,0,0
1,old-first,windows_2048x4_judged,new,40106.2,38937.5,46935.9,87992.1,204257441.2,0,0,0,0,0
1,old-first,scatter_2048x4_judged,old,71689.1,69981.2,75182.8,157237.5,114271267.0,1,0,1,196608,196608
1,old-first,scatter_2048x4_judged,new,63700.0,60967.2,67820.3,139516.3,128602825.7,1,0,1,196608,196608
1,old-first,stats_1024x8_judged,old,38151.6,37107.8,41339.1,83704.9,214722529.4,0,0,0,0,0
1,old-first,stats_1024x8_judged,new,37851.6,37318.8,41296.9,83056.7,216424355.0,0,0,0,0,0
1,old-first,windows_1024x8_judged,old,36384.4,36173.4,38335.9,79795.1,225151593.2,0,0,0,0,0
1,old-first,windows_1024x8_judged,new,37221.9,36600.0,40725.0,81667.7,220085635.1,0,0,0,0,0
