run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,select/5-sorted-top,old,12.3,12.3,12.4,28.5,406504065.0,0,0,0,0,0
1,old-first,select/5-sorted-top,new,12.4,12.3,13.0,28.5,403225806.5,0,0,0,0,0
1,old-first,select/5-sorted-near,old,15.6,15.0,16.3,35.6,320512820.5,0,0,0,0,0
1,old-first,select/5-sorted-near,new,13.6,12.3,13.6,31.2,367647058.8,0,0,0,0,0
1,old-first,select/10-sorted-top,old,157.6,141.5,175.3,347.2,63451776.6,0,0,0,0,0
1,old-first,select/10-sorted-top,new,104.6,99.6,119.8,230.9,95602294.5,0,0,0,0,0
1,old-first,select/10-sorted-near,old,198.7,167.8,235.6,437.5,50327126.3,0,0,0,0,0
1,old-first,select/10-sorted-near,new,151.2,148.5,180.8,333.4,66137566.1,0,0,0,0,0
1,old-first,select/100-sorted-top,old,337.9,299.6,411.5,743.0,295945546.0,0,0,0,0,0
1,old-first,select/100-sorted-top,new,294.9,294.8,450.7,648.8,339097999.3,0,0,0,0,0
1,old-first,select/100-sorted-near,old,302.8,302.7,311.9,666.0,330250990.8,0,0,0,0,0
1,old-first,select/100-sorted-near,new,319.5,295.5,373.1,702.8,312989045.4,0,0,0,0,0
1,old-first,select/1024-sorted-top,old,3681.7,3481.9,4177.2,8004.7,278132384.5,0,0,0,0,0
1,old-first,select/1024-sorted-top,new,3336.1,3201.8,3706.8,7244.6,306945235.5,0,0,0,0,0
1,old-first,select/1024-sorted-near,old,3577.9,3513.5,4433.3,7803.2,286201403.1,0,0,0,0,0
1,old-first,select/1024-sorted-near,new,3215.8,3106.9,3960.0,7055.6,318427762.9,0,0,0,0,0
1,old-first,select/1024-reverse-top,old,4078.3,3990.2,4660.8,8946.2,251085010.9,0,0,0,0,0
1,old-first,select/1024-reverse-top,new,4164.3,3902.6,4858.9,9054.2,245899671.0,0,0,0,0,0
1,old-first,select/1024-reverse-near,old,3928.1,3788.8,4597.9,8620.0,260685827.8,0,0,0,0,0
1,old-first,select/1024-reverse-near,new,3714.5,3472.7,4225.6,8131.2,275676403.3,0,0,0,0,0
1,old-first,select/1024-shuffle-top,old,4708.1,3911.2,4884.0,10312.5,217497504.3,0,0,0,0,0
1,old-first,select/1024-shuffle-top,new,3905.7,3436.2,4254.3,8477.5,262180915.1,0,0,0,0,0
1,old-first,select/1024-shuffle-near,old,4617.3,4281.0,5124.9,10128.4,221774630.2,0,0,0,0,0
1,old-first,select/1024-shuffle-near,new,3979.2,3726.9,4449.5,8728.4,257338158.4,0,0,0,0,0
1,old-first,select/1024-ties-top,old,7803.6,6748.5,8570.4,17114.0,131221487.5,0,0,0,0,0
1,old-first,select/1024-ties-top,new,3690.9,3482.0,4311.4,8099.6,277439107.0,0,0,0,0,0
