run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,local/selective,old,29276287.5,27644550.0,31031737.5,64009986.6,17488.6,2576,2565,2576,615882,615882
1,old-first,local/selective,new,2200375.0,2159925.0,2526862.5,4819588.9,232687.6,2064,2565,2064,521594,521594
1,old-first,local/replay,old,29293312.5,28738962.5,30204537.5,64094081.5,17478.4,2576,2565,2576,615978,615978
1,old-first,local/replay,new,2329737.5,2223975.0,2384412.5,5086116.8,219767.2,2064,2565,2064,521690,521690
1,old-first,local/missing,old,29313900.0,28852762.5,30360650.0,64128845.6,17466.1,2567,2564,2567,610362,610362
1,old-first,local/missing,new,1493387.5,1461550.0,1594450.0,3261523.2,342844.7,2055,2564,2055,518202,518202
1,old-first,local/all,old,19003787.5,18658487.5,19364950.0,41211316.6,6735.5,776,647,776,181674,181674
1,old-first,local/all,new,11620600.0,11188200.0,12034212.5,25232155.8,11014.9,648,647,648,158378,158378
1,old-first,decode/v2,old,111.8,102.3,123.5,245.1,8947745.2,1,0,1,5,5
1,old-first,decode/v2,new,36.3,31.8,41.7,79.6,27578599.0,0,0,0,0,0
1,old-first,decode/v1,old,103.9,96.8,114.7,228.0,9621398.0,1,0,1,5,5
1,old-first,decode/v1,new,40.6,34.7,51.3,84.6,24633575.6,0,0,0,0,0
1,old-first,decode/long,old,349.9,323.2,379.3,763.9,2857714.4,1,0,1,4096,4096
1,old-first,decode/long,new,142.2,134.9,174.8,311.3,7030371.2,0,0,0,0,0
1,old-first,decode/invalid,old,9.8,9.8,10.0,21.5,102511532.5,0,0,0,0,0
1,old-first,decode/invalid,new,9.5,9.5,12.1,20.9,105429625.7,0,0,0,0,0
1,old-first,owned/v2,old,102.7,95.7,128.2,225.3,9736624.3,1,0,1,5,5
1,old-first,owned/v2,new,93.5,88.9,126.6,205.0,10696903.2,1,0,1,5,5
1,old-first,owned/v1,old,105.0,97.5,121.2,228.5,9526531.4,1,0,1,5,5
1,old-first,owned/v1,new,104.5,85.7,123.5,228.9,9571209.8,1,0,1,5,5
1,old-first,index/128,old,19946362.5,19008562.5,20406187.5,43387577.8,6417.2,1044,655,1044,186627,186627
1,old-first,index/128,new,19330500.0,19218675.0,20600612.5,41914896.8,6621.7,916,655,916,185219,185219
1,old-first,duplicate/early,old,19864312.5,19116525.0,20886537.5,43173948.0,50.3,1033,650,1033,190284,190284
1,old-first,duplicate/early,new,191650.0,186000.0,225212.5,419519.4,5217.8,12,9,12,2372,2372
1,old-first,duplicate/late,old,20581712.5,20134887.5,23537275.0,44653680.4,48.6,1033,650,1033,189636,189636
1,old-first,duplicate/late,new,14370925.0,13799950.0,15049012.5,31160247.9,69.6,647,644,647,150574,150574
1,old-first,duplicate/miss,old,20647900.0,20135825.0,21295825.0,44756873.0,48.4,1033,650,1033,189648,189648
1,old-first,duplicate/miss,new,14064537.5,13889212.5,14736550.0,30483474.0,71.1,647,644,647,150574,150574
1,old-first,duplicate/one-hit,old,313400.0,289012.5,339675.0,675154.6,3190.8,17,10,17,2823,2823
