run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,label_hit,old,267.8,249.8,310.7,587.1,3734074.2,2,0,2,41,41
1,old-first,label_hit,new,129.2,119.6,160.9,283.3,7739818.3,0,0,0,0,0
1,old-first,label_miss,old,498.6,476.9,541.9,1091.0,2005446.8,1,0,1,9,9
1,old-first,label_miss,new,417.0,403.1,461.5,912.7,2398334.6,0,0,0,0,0
1,old-first,label_trimmed,old,305.8,295.0,345.3,669.6,3270410.6,2,0,2,42,42
1,old-first,label_trimmed,new,240.7,217.8,250.5,527.8,4154721.8,1,0,1,32,32
1,old-first,label_alias,old,326.8,296.3,360.9,716.4,3060293.9,2,0,2,32,32
1,old-first,label_alias,new,170.5,169.6,172.5,373.7,5866685.4,0,0,0,0,0
1,old-first,label_unicode,old,400.8,396.7,406.1,878.7,2495072.2,3,0,3,50,50
1,old-first,label_unicode,new,256.2,239.8,264.2,561.7,3902956.9,1,0,1,9,9
1,old-first,label_empty_query,old,252.2,233.7,263.5,552.8,3965138.5,2,0,2,41,41
1,old-first,label_empty_query,new,95.2,93.1,98.2,208.9,10502657.2,0,0,0,0,0
1,old-first,rows_8,old,4942.6,4894.9,5217.6,10854.1,1618588.5,33,16,33,1360,1360
1,old-first,rows_8,new,1617.2,1532.0,1749.6,3555.7,4946859.9,9,0,9,576,576
1,old-first,rows_128,old,76541.4,69796.9,77873.4,167772.6,1672297.5,513,256,513,21760,21760
1,old-first,rows_128,new,1788.3,1694.1,1962.5,3930.4,71577107.9,9,0,9,4416,4416
1,old-first,rows_1024,old,661966.4,563148.8,699012.9,1449985.3,1546906.3,4097,2048,4097,174080,174080
1,old-first,rows_1024,new,4241.4,3693.0,4464.1,9315.9,241429360.8,9,0,9,33088,33088
1,old-first,rows_all,old,65953.9,63898.0,71104.3,144441.3,1940749.3,513,256,513,21760,21760
1,old-first,rows_all,new,15454.7,15100.0,18310.5,33888.7,8282276.8,129,0,129,9216,9216
1,old-first,rows_both,old,70518.0,67715.2,72041.4,154442.3,1815140.2,513,256,513,21760,21760
1,old-first,rows_both,new,34268.4,33562.9,35534.8,75093.9,3735224.0,257,0,257,14336,14336
1,old-first,rows_long,old,76948.8,71469.1,84248.4,168576.9,1663443.1,513,256,513,135424,135424
1,old-first,rows_long,new,2121.1,1779.3,2495.3,4640.4,60346224.7,17,0,17,8146,8146
1,old-first,rows_long_both,old,78157.8,72229.3,84220.3,171336.0,1637712.2,513,256,513,135424,135424
1,old-first,rows_long_both,new,62230.9,57158.6,68328.1,136419.2,2056857.3,513,0,513,133888,133888
1,old-first,rows_60_frames,old,78741.4,70180.9,83650.0,172318.6,761987.9,513,256,513,21760,21760
1,old-first,rows_60_frames,new,9382.8,9113.7,10452.0,20562.7,6394671.1,17,0,17,4736,4736
1,old-first,rows_warm,old,105.4,97.3,119.5,230.9,75935910.1,0,0,0,0,0
1,old-first,rows_warm,new,118.5,107.7,135.4,259.9,67501434.4,0,0,0,0,0
1,old-first,typo_front,old,433.9,411.0,454.3,951.9,2304625.4,0,0,0,0,0
1,old-first,typo_front,new,121.8,111.1,132.2,267.2,8212203.3,0,0,0,0,0
1,old-first,typo_middle,old,443.3,398.1,528.0,962.5,2255859.6,0,0,0,0,0
1,old-first,typo_middle,new,140.2,122.1,160.3,306.2,7133176.4,0,0,0,0,0
1,old-first,typo_end,old,397.7,384.5,454.6,872.0,2514647.8,0,0,0,0,0
1,old-first,typo_end,new,139.8,123.2,165.7,306.5,7152564.2,0,0,0,0,0
1,old-first,typo_transposed,old,430.6,367.6,484.9,943.6,2322556.7,0,0,0,0,0
1,old-first,typo_transposed,new,134.6,128.5,161.1,295.5,7432181.3,0,0,0,0,0
1,old-first,typo_unrelated,old,310.0,292.9,407.3,679.9,3226014.6,0,0,0,0,0
1,old-first,typo_unrelated,new,208.2,183.1,230.8,456.7,4803304.7,0,0,0,0,0
1,old-first,typo_unicode,old,645.3,629.9,697.7,1411.5,1549738.9,0,0,0,0,0
1,old-first,typo_unicode,new,592.2,579.7,609.7,1297.7,1688533.2,0,0,0,0,0
1,old-first,typo_multiword,old,513.4,505.0,521.4,1126.0,1947685.2,0,0,0,0,0
