run,variant,fixture,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees
unrestricted-1,before,empty,84.2,83.0,94.4,184.5,11875906.1,0,0,0
unrestricted-1,before,small,237.7,215.0,246.1,521.4,67323437.3,0,0,0
unrestricted-1,before,one-stripe,8761.3,8415.6,9266.5,19198.1,116877582.8,0,0,0
unrestricted-1,before,four-stripes,14341.8,13362.3,16617.0,31436.0,71399821.9,0,0,0
unrestricted-1,before,full-height,477064.8,438068.9,493047.9,1045318.9,2146458.8,0,0,0
unrestricted-1,before,mixed,21153.1,19962.8,22069.6,46365.0,48409006.8,0,0,0
unrestricted-1,before,4k-mixed,30711.6,30517.1,33615.9,67304.6,33342427.5,0,0,0
unrestricted-1,after,empty,30.2,26.7,36.9,65.9,33072264.8,0,0,0
unrestricted-1,after,small,153.2,128.7,174.0,336.8,104406563.6,0,0,0
unrestricted-1,after,one-stripe,6993.7,6660.0,7404.7,15327.0,146416954.4,0,0,0
unrestricted-1,after,four-stripes,11956.5,10277.4,12221.2,26192.0,85643834.1,0,0,0
unrestricted-1,after,full-height,438809.3,402308.4,486274.0,961396.8,2333587.5,0,0,0
unrestricted-1,after,mixed,15795.0,15642.6,16533.1,34618.9,64830712.8,0,0,0
unrestricted-1,after,4k-mixed,26687.2,26219.4,27345.8,58473.6,38370479.7,0,0,0
unrestricted-2,before,empty,78.6,71.3,87.9,173.4,12728402.7,0,0,0
unrestricted-2,before,small,189.4,175.7,209.7,415.6,84459050.2,0,0,0
unrestricted-2,before,one-stripe,7334.0,7231.1,7769.6,16072.9,139623968.0,0,0,0
unrestricted-2,before,four-stripes,13387.2,12857.0,15383.1,29345.9,76491215.3,0,0,0
unrestricted-2,before,full-height,419889.1,414337.1,432884.7,920103.6,2438739.3,0,0,0
unrestricted-2,before,mixed,21400.0,20989.3,21811.2,46885.7,47850385.4,0,0,0
unrestricted-2,before,4k-mixed,34733.7,34326.6,35159.0,76104.3,29481482.6,0,0,0
unrestricted-2,after,empty,40.5,31.2,45.9,89.2,24674698.8,0,0,0
unrestricted-2,after,small,170.9,153.1,177.8,374.9,93602799.4,0,0,0
unrestricted-2,after,one-stripe,7909.8,7607.1,8043.1,17328.9,129459820.7,0,0,0
unrestricted-2,after,four-stripes,12627.9,12375.3,12924.5,27668.3,81090172.0,0,0,0
unrestricted-2,after,full-height,482215.7,470866.0,493802.8,1056456.8,2123530.9,0,0,0
unrestricted-2,after,mixed,18469.1,17080.2,19159.6,40466.5,55443872.4,0,0,0
unrestricted-2,after,4k-mixed,32120.1,28376.0,32850.2,70401.5,31880392.6,0,0,0
core-6,before,empty,73.6,70.5,83.8,161.3,13585406.3,0,0,0
core-6,before,small,227.1,198.5,252.4,498.1,70449879.1,0,0,0
core-6,before,one-stripe,8269.2,7952.1,9026.6,18004.7,123832811.2,0,0,0
core-6,before,four-stripes,16274.7,13656.7,17133.7,35383.9,62919908.2,0,0,0
core-6,before,full-height,456713.9,417387.5,476462.9,986788.8,2242103.8,0,0,0
core-6,before,mixed,18137.2,18001.5,18344.1,39339.9,56458565.4,0,0,0
core-6,before,4k-mixed,33703.1,30786.6,34894.6,72989.9,30383005.3,0,0,0
core-6,after,empty,28.9,26.7,34.3,63.7,34565400.8,0,0,0
core-6,after,small,126.4,118.7,160.4,277.2,126566241.8,0,0,0
core-6,after,one-stripe,6457.9,6349.7,6688.7,14148.5,158565828.0,0,0,0
core-6,after,four-stripes,10140.7,9977.1,10288.9,22207.8,100978996.7,0,0,0
core-6,after,full-height,400875.3,399677.0,423626.0,875557.9,2554410.4,0,0,0
core-6,after,mixed,15439.8,15267.0,16173.1,33757.5,66321914.7,0,0,0
core-6,after,4k-mixed,27235.2,25609.4,29253.2,59503.2,37598378.2,0,0,0
