run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,search/mono/first,old,408.9,400.9,414.2,895.6,2445811.2,0,0,0,0,0
1,old-first,search/mono/first,new,395.6,392.5,415.1,867.9,2527614.9,0,0,0,0,0
1,old-first,search/stereo/first,old,4489.6,4353.2,4571.3,9842.0,222734.6,0,0,0,0,0
1,old-first,search/stereo/first,new,3485.4,3343.4,3554.7,7640.3,286911.1,0,0,0,0,0
1,old-first,search/mono/early,old,7409.0,7133.6,7727.1,16152.1,134971.3,0,0,0,0,0
1,old-first,search/mono/early,new,5002.8,4678.6,5588.7,10936.0,199886.8,0,0,0,0,0
1,old-first,search/stereo/early,old,11370.0,11071.8,11975.6,24868.0,87950.6,0,0,0,0,0
1,old-first,search/stereo/early,new,9518.8,8722.6,10151.9,20881.9,105054.7,0,0,0,0,0
1,old-first,search/mono/middle,old,73635.2,63798.4,76015.6,161486.8,13580.5,0,0,0,0,0
1,old-first,search/mono/middle,new,71796.1,70200.8,72528.1,157357.5,13928.3,0,0,0,0,0
1,old-first,search/stereo/middle,old,104285.9,99064.8,106131.2,228626.4,9589.0,0,0,0,0,0
1,old-first,search/stereo/middle,new,100335.2,97210.9,103173.4,219841.3,9966.6,0,0,0,0,0
1,old-first,search/mono/last,old,136122.7,133145.3,140691.4,298418.8,7346.3,0,0,0,0,0
1,old-first,search/mono/last,new,137072.7,132948.4,139606.2,297420.8,7295.4,0,0,0,0,0
1,old-first,search/stereo/last,old,183884.4,182623.4,206544.5,402564.7,5438.2,0,0,0,0,0
1,old-first,search/stereo/last,new,183886.7,179344.5,192903.9,402753.4,5438.1,0,0,0,0,0
1,old-first,search/mono/no-exact,old,140061.7,125432.0,145328.1,306770.1,7139.7,0,0,0,0,0
1,old-first,search/mono/no-exact,new,141535.2,140930.5,143225.8,310258.1,7065.4,0,0,0,0,0
1,old-first,search/stereo/no-exact,old,195879.7,182433.6,201099.2,429141.4,5105.2,0,0,0,0,0
1,old-first,search/stereo/no-exact,new,190834.4,182945.3,197328.1,418401.3,5240.1,0,0,0,0,0
1,old-first,dual-mono/first,old,578.0,486.1,703.6,1267.3,1730022.0,0,0,0,0,0
1,old-first,dual-mono/first,new,560.7,496.8,583.7,1229.8,1783583.7,0,0,0,0,0
1,old-first,dual-mono/early,old,9047.9,8363.6,9503.9,19480.2,110523.5,0,0,0,0,0
1,old-first,dual-mono/early,new,6584.4,6289.8,7076.2,14267.3,151874.7,0,0,0,0,0
1,old-first,dual-mono/no-exact,old,199219.5,181407.8,201757.8,434064.7,5019.6,0,0,0,0,0
1,old-first,dual-mono/no-exact,new,146004.7,139218.0,152061.7,317484.4,6849.1,0,0,0,0,0
1,old-first,stream/periodic-1ch,old,68040.6,62796.9,76439.1,149078.2,176365223.0,0,0,0,0,0
1,old-first,stream/periodic-1ch,new,56742.2,53118.8,62868.8,124442.8,211482858.3,0,0,0,0,0
1,old-first,stream/aperiodic-1ch,old,62604.7,59837.5,66492.2,137304.1,191678937.8,0,0,0,0,0
1,old-first,stream/aperiodic-1ch,new,61807.8,60400.0,62753.1,135376.6,194150213.6,0,0,0,0,0
1,old-first,stream/periodic-2ch,old,134056.2,126165.6,139645.3,293752.8,179029325.4,0,0,0,0,0
1,old-first,stream/periodic-2ch,new,116685.9,113253.1,129654.7,255618.0,205680311.7,0,0,0,0,0
1,old-first,stream/aperiodic-2ch,old,142431.2,130471.9,154670.3,312187.3,168502347.6,0,0,0,0,0
1,old-first,stream/aperiodic-2ch,new,134720.3,131404.7,143340.6,295800.2,178146855.2,0,0,0,0,0
1,old-first,stream/dual-periodic-2ch,old,105790.6,95856.2,109321.9,231411.3,226863202.7,0,0,0,0,0
1,old-first,stream/dual-periodic-2ch,new,84410.9,80601.6,93787.5,185100.2,284323343.8,0,0,0,0,0
1,old-first,stream/dual-aperiodic-2ch,old,112057.8,105879.7,120518.8,245689.1,214175160.7,0,0,0,0,0
1,old-first,stream/dual-aperiodic-2ch,new,92853.1,87485.9,101521.9,203459.3,258472722.4,0,0,0,0,0
2,new-first,search/mono/first,new,374.5,352.3,430.5,814.0,2669969.4,0,0,0,0,0
2,new-first,search/mono/first,old,379.6,353.9,402.7,831.3,2634591.9,0,0,0,0,0
2,new-first,search/stereo/first,new,3515.1,3479.3,3581.6,7698.1,284487.9,0,0,0,0,0
2,new-first,search/stereo/first,old,4519.2,4280.8,4722.4,9906.1,221277.4,0,0,0,0,0
2,new-first,search/mono/early,new,5117.3,4883.3,5387.4,11224.3,195416.1,0,0,0,0,0
2,new-first,search/mono/early,old,7708.7,7183.7,8181.2,16801.6,129723.7,0,0,0,0,0
2,new-first,search/stereo/early,new,10029.3,9934.1,10414.8,21863.0,99707.9,0,0,0,0,0
2,new-first,search/stereo/early,old,12310.4,12158.9,12495.5,26849.5,81231.8,0,0,0,0,0
2,new-first,search/mono/middle,new,72896.9,70322.7,75956.2,158216.6,13718.0,0,0,0,0,0
2,new-first,search/mono/middle,old,74585.2,73128.1,75961.7,162618.6,13407.5,0,0,0,0,0
2,new-first,search/stereo/middle,new,103080.5,99771.1,105154.7,224696.0,9701.2,0,0,0,0,0
2,new-first,search/stereo/middle,old,101969.5,98940.6,104596.1,223428.7,9806.9,0,0,0,0,0
2,new-first,search/mono/last,new,139722.7,131174.2,146286.7,306346.6,7157.0,0,0,0,0,0
2,new-first,search/mono/last,old,140400.0,133997.7,141057.8,307751.0,7122.5,0,0,0,0,0
2,new-first,search/stereo/last,new,188376.6,179414.8,196308.6,413105.9,5308.5,0,0,0,0,0
2,new-first,search/stereo/last,old,201574.2,182666.4,210353.9,438787.4,4961.0,0,0,0,0,0
2,new-first,search/mono/no-exact,new,144689.8,143486.7,147620.3,315025.4,6911.3,0,0,0,0,0
2,new-first,search/mono/no-exact,old,140328.9,133202.3,148399.2,304840.9,7126.1,0,0,0,0,0
2,new-first,search/stereo/no-exact,new,199992.2,197214.8,202140.6,435985.3,5000.2,0,0,0,0,0
2,new-first,search/stereo/no-exact,old,200574.2,196271.9,204706.2,437413.8,4985.7,0,0,0,0,0
2,new-first,dual-mono/first,new,570.0,541.2,615.3,1227.4,1754325.9,0,0,0,0,0
2,new-first,dual-mono/first,old,576.2,541.1,653.6,1259.0,1735519.7,0,0,0,0,0
2,new-first,dual-mono/early,new,6722.6,6700.9,6815.7,14657.6,148752.9,0,0,0,0,0
2,new-first,dual-mono/early,old,9370.5,9079.2,9866.9,20546.8,106717.8,0,0,0,0,0
2,new-first,dual-mono/no-exact,new,140625.0,139402.3,147318.8,308347.8,7111.1,0,0,0,0,0
2,new-first,dual-mono/no-exact,old,184180.5,181852.3,192703.1,403766.8,5429.5,0,0,0,0,0
2,new-first,stream/periodic-1ch,new,54248.4,48114.1,79512.5,118759.8,221204527.8,0,0,0,0,0
2,new-first,stream/periodic-1ch,old,68923.4,61426.6,73671.9,151057.2,174106232.0,0,0,0,0,0
2,new-first,stream/aperiodic-1ch,new,60365.6,51775.0,71379.7,131672.6,198788631.8,0,0,0,0,0
2,new-first,stream/aperiodic-1ch,old,58900.0,55937.5,61321.9,128342.3,203735144.3,0,0,0,0,0
2,new-first,stream/periodic-2ch,new,115157.8,106029.7,127420.3,250717.0,208409655.2,0,0,0,0,0
2,new-first,stream/periodic-2ch,old,121501.6,117728.1,145128.1,264404.9,197528324.0,0,0,0,0,0
2,new-first,stream/aperiodic-2ch,new,133668.8,124359.4,145187.5,291472.0,179548323.7,0,0,0,0,0
2,new-first,stream/aperiodic-2ch,old,135537.5,127840.6,144257.8,297065.8,177072765.8,0,0,0,0,0
2,new-first,stream/dual-periodic-2ch,new,87567.2,82343.8,95943.8,191908.2,274075263.6,0,0,0,0,0
2,new-first,stream/dual-periodic-2ch,old,102054.7,89929.7,109104.7,223756.2,235168031.8,0,0,0,0,0
2,new-first,stream/dual-aperiodic-2ch,new,91662.5,88862.5,101706.2,200948.8,261830083.2,0,0,0,0,0
2,new-first,stream/dual-aperiodic-2ch,old,112254.7,104650.0,119287.5,246100.7,213799535.1,0,0,0,0,0
3,old-first,search/mono/first,old,370.3,343.0,417.7,813.5,2700778.1,0,0,0,0,0
3,old-first,search/mono/first,new,363.0,342.0,438.5,797.2,2754724.6,0,0,0,0,0
