run,order,samples,iterations_per_sample,path,logging,variant,ns_per_op,min_ns_per_op,max_ns_per_op,thread_cycles_per_op,calls_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
1,old-first,7,1048576,host,off,old,31.3,30.5,33.5,68.5,31997070.6,0,0,0,0,0
1,old-first,7,1048576,host,off,new,31.9,30.2,32.5,69.9,31372511.5,0,0,0,0,0
1,old-first,7,1048576,instant-past,off,old,42.9,42.6,49.9,94.1,23313241.9,0,0,0,0,0
1,old-first,7,1048576,instant-past,off,new,33.2,31.9,34.0,72.7,30143014.4,0,0,0,0,0
1,old-first,7,1048576,instant-future,off,old,64.7,59.8,68.5,141.7,15463806.8,0,0,0,0,0
1,old-first,7,1048576,instant-future,off,new,41.8,41.0,45.9,91.7,23904997.9,0,0,0,0,0
1,old-first,7,1048576,host,filtered,old,30.9,30.1,32.5,67.8,32358962.5,0,0,0,0,0
1,old-first,7,1048576,host,filtered,new,30.3,29.8,31.0,66.5,32953052.0,0,0,0,0,0
1,old-first,7,1048576,instant-past,filtered,old,42.9,41.4,45.7,93.9,23317130.0,0,0,0,0,0
1,old-first,7,1048576,instant-past,filtered,new,33.2,32.0,34.4,72.6,30165473.8,0,0,0,0,0
1,old-first,7,1048576,instant-future,filtered,old,62.0,59.8,63.3,135.7,16135761.4,0,0,0,0,0
1,old-first,7,1048576,instant-future,filtered,new,41.7,40.8,43.0,91.3,23998498.6,0,0,0,0,0
1,old-first,7,16384,host,formatted,old,1009.2,970.9,1043.4,2212.9,990897.8,0,0,0,0,0
1,old-first,7,16384,host,formatted,new,1031.6,953.6,1055.5,2258.4,969375.7,0,0,0,0,0
1,old-first,7,16384,instant-past,formatted,old,1005.0,981.5,1085.8,2204.2,995062.3,0,0,0,0,0
1,old-first,7,16384,instant-past,formatted,new,1001.1,936.1,1070.4,2191.0,998914.8,0,0,0,0,0
1,old-first,7,16384,instant-future,formatted,old,1057.3,958.5,1116.1,2317.0,945827.4,0,0,0,0,0
1,old-first,7,16384,instant-future,formatted,new,1046.3,1005.1,1098.5,2294.2,955770.0,0,0,0,0,0
2,new-first,7,1048576,host,off,new,31.5,30.3,32.8,69.1,31734736.8,0,0,0,0,0
2,new-first,7,1048576,host,off,old,32.3,31.1,33.5,70.9,30937925.1,0,0,0,0,0
2,new-first,7,1048576,instant-past,off,new,34.8,32.3,36.9,76.3,28744017.2,0,0,0,0,0
2,new-first,7,1048576,instant-past,off,old,43.6,42.5,45.2,95.6,22925105.8,0,0,0,0,0
2,new-first,7,1048576,instant-future,off,new,41.7,41.1,44.2,91.4,23978413.0,0,0,0,0,0
2,new-first,7,1048576,instant-future,off,old,62.1,60.2,67.5,136.2,16094920.1,0,0,0,0,0
2,new-first,7,1048576,host,filtered,new,31.2,30.0,33.0,68.4,32074783.7,0,0,0,0,0
2,new-first,7,1048576,host,filtered,old,32.1,31.7,33.0,70.3,31178667.4,0,0,0,0,0
2,new-first,7,1048576,instant-past,filtered,new,33.7,32.7,34.7,73.9,29671248.8,0,0,0,0,0
2,new-first,7,1048576,instant-past,filtered,old,44.0,43.1,44.8,96.4,22737742.4,0,0,0,0,0
2,new-first,7,1048576,instant-future,filtered,new,42.0,41.2,43.2,92.0,23836365.0,0,0,0,0,0
2,new-first,7,1048576,instant-future,filtered,old,62.3,61.4,64.2,136.5,16057923.8,0,0,0,0,0
2,new-first,7,16384,host,formatted,new,1034.3,978.1,1095.7,2268.1,966881.5,0,0,0,0,0
2,new-first,7,16384,host,formatted,old,1050.3,979.5,1122.2,2302.8,952098.7,0,0,0,0,0
2,new-first,7,16384,instant-past,formatted,new,1036.3,982.6,1063.6,2272.0,964996.5,0,0,0,0,0
2,new-first,7,16384,instant-past,formatted,old,1070.1,993.1,1102.8,2343.4,934498.4,0,0,0,0,0
2,new-first,7,16384,instant-future,formatted,new,1046.0,1023.1,1111.1,2293.7,955993.0,0,0,0,0,0
2,new-first,7,16384,instant-future,formatted,old,1047.6,968.4,1096.1,2297.0,954561.6,0,0,0,0,0
3,old-first,7,1048576,host,off,old,32.2,31.3,33.6,70.5,31092410.6,0,0,0,0,0
3,old-first,7,1048576,host,off,new,30.2,29.5,31.7,66.3,33068614.4,0,0,0,0,0
3,old-first,7,1048576,instant-past,off,old,45.6,44.4,48.8,100.0,21910517.1,0,0,0,0,0
3,old-first,7,1048576,instant-past,off,new,36.9,34.6,38.1,80.7,27130530.2,0,0,0,0,0
3,old-first,7,1048576,instant-future,off,old,63.0,61.9,65.5,138.2,15867704.6,0,0,0,0,0
3,old-first,7,1048576,instant-future,off,new,44.2,42.6,44.8,96.8,22644250.8,0,0,0,0,0
3,old-first,7,1048576,host,filtered,old,31.9,29.4,34.7,69.8,31378426.0,0,0,0,0,0
3,old-first,7,1048576,host,filtered,new,30.4,29.7,31.9,66.5,32891136.2,0,0,0,0,0
3,old-first,7,1048576,instant-past,filtered,old,42.7,41.8,43.3,93.6,23415801.9,0,0,0,0,0
3,old-first,7,1048576,instant-past,filtered,new,33.5,31.7,38.2,73.4,29841143.4,0,0,0,0,0
3,old-first,7,1048576,instant-future,filtered,old,61.2,59.1,62.3,134.0,16345944.6,0,0,0,0,0
3,old-first,7,1048576,instant-future,filtered,new,41.9,40.2,43.5,91.8,23858818.8,0,0,0,0,0
3,old-first,7,16384,host,formatted,old,988.9,943.9,1047.0,2165.7,1011189.5,0,0,0,0,0
3,old-first,7,16384,host,formatted,new,1055.4,981.2,1165.9,2314.1,947534.0,0,0,0,0,0
3,old-first,7,16384,instant-past,formatted,old,1036.2,938.7,1076.2,2272.2,965064.7,0,0,0,0,0
3,old-first,7,16384,instant-past,formatted,new,1021.1,967.2,1051.5,2238.9,979342.0,0,0,0,0,0
3,old-first,7,16384,instant-future,formatted,old,1013.8,969.3,1082.9,2222.5,986411.6,0,0,0,0,0
