run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
1,no_expiry_1,before,1569.1,1389.0,1734.7,3440.7,637306.4,0,0,0,0,0
1,no_expiry_1,after,1298.3,1222.8,1356.5,2847.6,770250.6,0,0,0,0,0
1,ordered_8,before,1050.8,998.4,1094.3,2302.3,951650.8,0,0,0,0,0
1,ordered_8,after,970.6,929.8,1012.9,2126.6,1030323.6,0,0,0,0,0
1,overlap_8,before,1300.1,1273.2,1364.2,2850.7,769158.5,0,0,0,0,0
1,overlap_8,after,1243.8,1201.7,1405.4,2728.3,803972.8,0,0,0,0,0
1,overlap_32,before,1543.9,1523.0,1599.5,3384.1,647716.9,0,0,0,0,0
1,overlap_32,after,1526.7,1448.7,1539.9,3345.0,655008.9,0,0,0,0,0
1,tied_groups_32,before,1573.3,1417.7,1612.2,3446.8,635610.3,0,0,0,0,0
1,tied_groups_32,after,1465.1,1427.8,1517.1,3212.3,682535.8,0,0,0,0,0
1,nested_32,before,1383.5,1346.7,1468.4,3029.6,722812.9,0,0,0,0,0
1,nested_32,after,965.6,918.8,1012.7,2118.2,1035585.6,0,0,0,0,0
1,nested_32_single,before,2126.5,2080.0,2804.1,4660.7,470264.1,0,0,0,0,0
1,nested_32_single,after,2124.6,2057.3,2388.1,4658.6,470666.6,0,0,0,0,0
1,identical_128,before,4264.4,4156.4,4366.9,9349.2,234499.3,0,0,0,0,0
1,identical_128,after,4356.7,4243.4,4739.8,9544.0,229530.8,0,0,0,0,0
1,overlap_128,before,6228.4,6112.6,6420.5,13640.8,160554.1,0,0,0,0,0
1,overlap_128,after,6339.9,5873.7,7124.1,13894.3,157732.3,0,0,0,0,0
1,nested_128,before,13072.1,12704.7,14727.4,28642.5,76498.8,0,0,0,0,0
1,nested_128,after,8865.1,8754.1,9078.8,19426.5,112802.5,0,0,0,0,0
2,no_expiry_1,after,1534.0,1481.1,1569.1,3363.4,651897.1,0,0,0,0,0
2,no_expiry_1,before,1575.7,1459.3,1820.8,3454.2,634625.5,0,0,0,0,0
2,ordered_8,after,1261.4,1142.3,1396.3,2762.1,792799.8,0,0,0,0,0
2,ordered_8,before,1272.2,1252.7,1317.7,2790.1,786037.1,0,0,0,0,0
2,overlap_8,after,1522.8,1426.5,1560.7,3337.1,656699.7,0,0,0,0,0
2,overlap_8,before,1586.9,1537.2,1689.5,3479.4,630149.0,0,0,0,0,0
2,overlap_32,after,1827.8,1735.4,1888.9,4005.6,547118.1,0,0,0,0,0
2,overlap_32,before,1865.7,1825.8,2041.3,4089.1,536002.9,0,0,0,0,0
2,tied_groups_32,after,1756.6,1711.3,1841.3,3845.7,569284.2,0,0,0,0,0
2,tied_groups_32,before,1778.7,1737.9,1857.7,3899.6,562212.6,0,0,0,0,0
2,nested_32,after,1174.4,1139.2,1268.1,2575.7,851532.7,0,0,0,0,0
2,nested_32,before,1687.8,1643.8,1748.2,3701.3,592494.0,0,0,0,0,0
2,nested_32_single,after,2544.0,2498.5,2602.4,5576.8,393088.3,0,0,0,0,0
2,nested_32_single,before,2476.6,2427.1,2527.8,5429.7,403787.5,0,0,0,0,0
2,identical_128,after,5058.1,4992.3,5175.3,11085.2,197702.0,0,0,0,0,0
2,identical_128,before,5206.1,4932.1,5342.2,11413.2,192083.6,0,0,0,0,0
2,overlap_128,after,7316.5,7218.9,7397.8,16038.5,136677.5,0,0,0,0,0
2,overlap_128,before,7371.4,7221.2,7620.7,16157.0,135658.8,0,0,0,0,0
2,nested_128,after,8874.6,8699.2,9026.2,19454.4,112680.7,0,0,0,0,0
2,nested_128,before,15524.6,15385.9,15786.9,34029.0,64414.0,0,0,0,0,0
3,no_expiry_1,before,1619.7,1555.1,1716.9,3549.6,617416.1,0,0,0,0,0
3,no_expiry_1,after,1503.8,1464.7,1598.6,3296.0,664989.0,0,0,0,0,0
3,ordered_8,before,1281.1,1211.5,1316.5,2807.8,780606.8,0,0,0,0,0
3,ordered_8,after,1158.1,1114.3,1251.8,2539.2,863515.6,0,0,0,0,0
3,overlap_8,before,1528.4,1475.5,1576.0,3350.8,654260.8,0,0,0,0,0
3,overlap_8,after,1473.1,1370.2,1574.7,3229.9,678842.5,0,0,0,0,0
3,overlap_32,before,1763.2,1600.6,1897.1,3863.2,567148.1,0,0,0,0,0
3,overlap_32,after,1779.9,1677.3,1858.1,3902.6,561823.2,0,0,0,0,0
3,tied_groups_32,before,1739.8,1688.4,1770.3,3813.5,574792.5,0,0,0,0,0
3,tied_groups_32,after,1715.1,1659.3,1742.3,3760.7,583052.2,0,0,0,0,0
3,nested_32,before,1654.4,1591.0,1799.3,3628.0,604450.7,0,0,0,0,0
3,nested_32,after,1196.4,1147.5,1224.2,2622.3,835875.7,0,0,0,0,0
3,nested_32_single,before,2586.7,2530.6,2673.5,5670.7,386597.5,0,0,0,0,0
3,nested_32_single,after,2515.8,2488.6,2550.8,5510.9,397486.6,0,0,0,0,0
3,identical_128,before,5092.4,4927.2,5116.6,11161.6,196369.4,0,0,0,0,0
3,identical_128,after,5153.6,5022.0,5232.8,11295.2,194037.2,0,0,0,0,0
3,overlap_128,before,7393.2,7262.3,7845.7,16186.3,135259.0,0,0,0,0,0
3,overlap_128,after,7338.3,7247.9,7580.5,16080.4,136271.7,0,0,0,0,0
3,nested_128,before,15390.2,15325.0,15799.8,33541.2,64976.2,0,0,0,0,0
3,nested_128,after,8845.8,8760.9,8946.1,19312.9,113048.0,0,0,0,0,0
