run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
1,ordered_8,before,302.1,290.3,347.6,662.9,3310300.2,0,0,0,0,0
1,ordered_8,after,297.0,284.0,358.3,651.4,3366483.1,0,0,0,0,0
1,overlap_8,before,392.2,383.3,476.6,860.5,2549483.4,0,0,0,0,0
1,overlap_8,after,372.7,365.6,465.8,816.2,2682910.9,0,0,0,0,0
1,overlap_32,before,1607.5,1570.5,1625.4,3524.8,622095.3,0,0,0,0,0
1,overlap_32,after,1389.7,1337.0,1460.2,3045.7,719568.5,0,0,0,0,0
1,tied_groups_32,before,1570.8,1517.9,1797.2,3442.7,636637.8,0,0,0,0,0
1,tied_groups_32,after,1371.3,1289.9,1771.4,3005.9,729247.3,0,0,0,0,0
1,identical_128,before,3833.6,3786.1,3987.6,8406.8,260848.5,0,0,0,0,0
1,identical_128,after,3731.7,3642.8,3860.9,8180.5,267975.1,0,0,0,0,0
1,overlap_128,before,7012.4,6861.2,7149.8,15371.5,142603.7,0,0,0,0,0
1,overlap_128,after,5809.3,5685.8,5956.3,12722.5,172139.2,0,0,0,0,0
2,ordered_8,after,285.9,284.8,352.0,627.0,3497566.4,0,0,0,0,0
2,ordered_8,before,303.6,290.0,355.1,666.2,3294060.9,0,0,0,0,0
2,overlap_8,after,366.1,365.6,488.7,803.0,2731304.0,0,0,0,0,0
2,overlap_8,before,412.9,385.6,470.5,906.1,2422163.7,0,0,0,0,0
2,overlap_32,after,1384.1,1317.1,1445.0,3028.1,722487.8,0,0,0,0,0
2,overlap_32,before,1619.9,1552.8,1709.4,3552.0,617313.7,0,0,0,0,0
2,tied_groups_32,after,1333.8,1276.7,1405.8,2923.7,749716.3,0,0,0,0,0
2,tied_groups_32,before,1548.3,1484.6,1565.6,3395.0,645868.3,0,0,0,0,0
2,identical_128,after,3733.5,3695.7,4077.2,8186.1,267845.5,0,0,0,0,0
2,identical_128,before,3842.4,3793.5,4031.7,8424.3,260253.5,0,0,0,0,0
2,overlap_128,after,5686.6,5612.8,5809.9,12451.2,175850.6,0,0,0,0,0
2,overlap_128,before,6995.7,6816.9,7991.6,15336.0,142944.6,0,0,0,0,0
3,ordered_8,before,295.1,292.8,348.0,647.1,3388204.2,0,0,0,0,0
3,ordered_8,after,291.9,287.5,343.6,640.5,3425608.4,0,0,0,0,0
3,overlap_8,before,401.1,387.6,483.2,879.5,2492924.7,0,0,0,0,0
3,overlap_8,after,399.3,386.7,452.9,875.4,2504662.6,0,0,0,0,0
3,overlap_32,before,1690.8,1599.4,1926.3,3707.0,591428.9,0,0,0,0,0
3,overlap_32,after,1374.4,1331.8,1453.2,3014.8,727576.3,0,0,0,0,0
3,tied_groups_32,before,1548.5,1512.2,1587.6,3396.0,645776.7,0,0,0,0,0
3,tied_groups_32,after,1349.8,1270.3,1425.9,2960.0,740868.0,0,0,0,0,0
3,identical_128,before,3830.9,3769.6,3979.2,8397.4,261038.0,0,0,0,0,0
3,identical_128,after,3752.9,3685.4,3880.5,8227.6,266458.5,0,0,0,0,0
3,overlap_128,before,6961.1,6822.5,7281.0,15259.8,143654.8,0,0,0,0,0
3,overlap_128,after,5627.9,5610.3,5722.2,12338.6,177686.4,0,0,0,0,0
