"run","variant","case","sequences","median_ns","min_ns","max_ns","thread_cycles","units_per_second","allocs","reallocs","frees","allocated_bytes","freed_bytes"
"1","before","sleep","64","3841.2","3673.8","4078.3","10185.3","16661412.5","0","0","0","0","0"
"1","before","inline-one","64","3905.7","3796.5","4127.1","10265.9","16386458.0","0","0","0","0","0"
"1","before","inline-twelve","64","4615.6","4474.6","4999.4","11940.0","13865944.5","0","0","0","0","0"
"1","before","spilled","64","26314.1","15073.8","42741.8","59976.7","2432159.6","0","0","128","0","147456"
"1","before","instant-chain","64","264741.4","262885.0","270061.3","582427.0","7735850.7","0","0","0","0","0"
"1","before","timed-chain","64","243302.1","226034.2","265288.7","534185.8","8417517.1","0","0","0","0","0"
"1","before","ongoing","64","3277.9","3109.2","3357.4","8529.6","19524518.9","0","0","0","0","0"
"1","before","empty","64","1798.2","1684.2","1882.8","5232.4","35590311.7","0","0","0","0","0"
"1","after","sleep","64","1760.9","1646.5","1944.5","5139.4","36344276.8","0","0","0","0","0"
"1","after","inline-one","64","1806.6","1761.5","2031.2","5362.7","35424864.9","0","0","0","0","0"
"1","after","inline-twelve","64","2946.9","2923.0","3074.2","7830.0","21717921.5","0","0","0","0","0"
"1","after","spilled","64","22419.7","11958.2","36336.5","51110.1","2854628.9","0","0","128","0","147456"
"1","after","instant-chain","64","203084.0","198916.2","219828.7","446764.8","10084497.8","0","0","0","0","0"
"1","after","timed-chain","64","199228.3","195354.3","205293.6","437219.1","10279663.0","0","0","0","0","0"
"1","after","ongoing","64","2974.6","2893.6","3203.1","7961.2","21515430.1","0","0","0","0","0"
"1","after","empty","64","1709.8","1573.8","1990.8","5128.7","37432031.1","0","0","0","0","0"
"2","before","sleep","64","3111.7","2899.6","3259.0","8178.1","20567411.5","0","0","0","0","0"
"2","before","inline-one","64","3175.4","2917.8","3584.0","8556.2","20155000.6","0","0","0","0","0"
"2","before","inline-twelve","64","3731.1","3474.6","3873.4","9664.9","17153326.7","0","0","0","0","0"
"2","before","spilled","64","21407.4","13138.1","34784.6","48615.0","2989617.4","0","0","128","0","147456"
"2","before","instant-chain","64","217597.3","213549.6","223232.6","479214.4","9411883.0","0","0","0","0","0"
"2","before","timed-chain","64","215835.2","207758.4","231421.1","475463.1","9488722.9","0","0","0","0","0"
"2","before","ongoing","64","3301.8","3174.6","3499.6","8693.0","19383614.3","0","0","0","0","0"
"2","before","empty","64","1758.8","1618.2","2147.7","5179.3","36388673.0","0","0","0","0","0"
"2","after","sleep","64","1841.4","1734.2","1912.9","5439.1","34756045.8","0","0","0","0","0"
"2","after","inline-one","64","2020.3","1799.2","2212.1","6009.3","31678267.6","0","0","0","0","0"
"2","after","inline-twelve","64","3135.2","3001.2","3243.0","8430.6","20413655.6","0","0","0","0","0"
"2","after","spilled","64","22036.1","12491.4","39141.2","50028.8","2904320.9","0","0","128","0","147456"
"2","after","instant-chain","64","204680.3","199872.3","214725.8","450817.4","10005849.4","0","0","0","0","0"
"2","after","timed-chain","64","194803.1","193242.2","203509.8","427908.0","10513178.4","0","0","0","0","0"
"2","after","ongoing","64","3093.8","2930.3","3274.2","8358.6","20686868.7","0","0","0","0","0"
"2","after","empty","64","1876.6","1719.1","2118.8","5726.3","34104912.6","0","0","0","0","0"
"3","before","sleep","64","3045.1","2953.7","3230.1","7962.4","21017253.5","0","0","0","0","0"
"3","before","inline-one","64","3303.1","2912.5","3578.5","8839.1","19375591.3","0","0","0","0","0"
"3","before","inline-twelve","64","3800.8","3589.6","3971.1","9638.7","16838643.4","0","0","0","0","0"
"3","before","spilled","64","22399.0","13223.0","35252.3","51200.5","2857267.4","0","0","128","0","147456"
"3","before","instant-chain","64","230670.7","219232.8","254523.2","507943.1","8878457.4","0","0","0","0","0"
"3","before","timed-chain","64","213039.8","211318.9","232573.4","469019.6","9613225.2","0","0","0","0","0"
"3","before","ongoing","64","3432.8","3185.7","3638.5","8957.9","18643604.9","0","0","0","0","0"
"3","before","empty","64","1754.5","1699.6","2021.9","5283.0","36477791.4","0","0","0","0","0"
"3","after","sleep","64","1813.5","1734.6","1984.4","5436.5","35291330.1","0","0","0","0","0"
"3","after","inline-one","64","1873.4","1823.0","2368.4","5392.3","34161801.5","0","0","0","0","0"
"3","after","inline-twelve","64","3254.3","2977.5","3625.0","8530.5","19666306.6","0","0","0","0","0"
"3","after","spilled","64","21780.1","11912.1","37076.8","49546.1","2938465.1","0","0","128","0","147456"
"3","after","instant-chain","64","203687.1","200187.9","206560.5","448348.0","10054637.3","0","0","0","0","0"
"3","after","timed-chain","64","192730.1","190898.2","195177.5","424623.6","10626260.4","0","0","0","0","0"
"3","after","ongoing","64","2818.8","2753.7","2920.3","7476.7","22705099.8","0","0","0","0","0"
"3","after","empty","64","1646.9","1585.0","1861.7","4946.0","38861480.1","0","0","0","0","0"
"1","before","steady-ongoing","64","3885.1","3831.4","3937.3","8521.5","16473070.4","0","0","0","0","0"
"1","before","steady-empty","64","1986.2","1973.4","2034.4","4355.9","32222978.5","0","0","0","0","0"
"1","after","steady-ongoing","64","3508.1","3466.6","3565.1","7692.3","18243465.2","0","0","0","0","0"
"1","after","steady-empty","64","1999.1","1958.2","2057.5","4384.4","32014899.5","0","0","0","0","0"
"2","before","steady-ongoing","64","3954.2","3804.3","4027.5","8672.5","16185162.7","0","0","0","0","0"
"2","before","steady-empty","64","2003.7","1998.7","2013.4","4394.2","31941270.1","0","0","0","0","0"
"2","after","steady-ongoing","64","3509.0","3471.3","3539.1","7695.3","18238673.6","0","0","0","0","0"
"2","after","steady-empty","64","1949.0","1913.6","1980.4","4272.4","32837574.6","0","0","0","0","0"
"3","before","steady-ongoing","64","3957.4","3924.8","3982.7","8679.3","16172182.3","0","0","0","0","0"
"3","before","steady-empty","64","2061.0","2016.0","2075.9","4519.5","31053414.8","0","0","0","0","0"
"3","after","steady-ongoing","64","3611.0","3570.9","3691.2","7919.4","17723569.5","0","0","0","0","0"
"3","after","steady-empty","64","2038.5","1989.9","2061.8","4470.8","31394914.0","0","0","0","0","0"
