stage,run,case,variant,ns_per_op,ns_min,ns_max,thread_cycles_per_op,actor_visits_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
unchanged_control,0,idle16,before,956.9,879.7,1049.2,2099.0,16720073.5,0,0,0,0,0
unchanged_control,0,idle16,after,877.9,817.3,913.9,1925.7,18224440.7,0,0,0,0,0
unchanged_control,0,idle128,before,8589.0,8463.8,9145.2,18821.9,14902822.4,0,0,0,0,0
unchanged_control,0,idle128,after,8149.8,7831.8,9111.9,17853.4,15705827.3,0,0,0,0,0
unchanged_control,0,idle1024,before,117261.8,116177.1,119920.3,256977.7,8732593.6,0,0,0,0,0
unchanged_control,0,idle1024,after,106787.9,104626.5,109424.7,233311.8,9589097.8,0,0,0,0,0
unchanged_control,0,active128,before,7414.9,7299.1,7688.5,16211.8,17262527.8,0,0,0,0,0
unchanged_control,0,active128,after,6662.2,6566.6,6750.9,14605.3,19212852.3,0,0,0,0,0
unchanged_control,0,reorder128,before,14731.3,14456.6,15058.5,32286.3,8688982.7,0,0,0,0,0
unchanged_control,0,reorder128,after,14125.4,13932.4,14298.1,30962.4,9061696.3,0,0,0,0,0
unchanged_control,0,duplicate128,before,12947.6,12814.7,13277.8,28376.2,9885977.7,0,0,0,0,0
unchanged_control,0,duplicate128,after,11582.9,11428.0,12038.9,25390.4,11050751.8,0,0,0,0,0
unchanged_control,0,expire128_keep0,before,14998.8,13898.0,56667.4,34843.1,8534000.1,0,0,128,0,241664
unchanged_control,0,expire128_keep0,after,14338.3,13539.6,14672.9,33355.4,8927150.9,0,0,128,0,241664
unchanged_control,0,expire128_keep64,before,7942.2,7857.2,8282.2,19190.4,16116466.7,0,0,64,0,120832
unchanged_control,0,expire128_keep64,after,8069.9,7869.5,8428.7,19577.9,15861367.9,0,0,64,0,120832
rejected_stamp_removal,1,idle16,before,1320.0,1259.4,1402.1,2894.0,12120920.7,0,0,0,0,0
rejected_stamp_removal,1,idle16,after,1379.7,1368.4,1421.5,3024.3,11596726.4,0,0,0,0,0
rejected_stamp_removal,1,idle128,before,11045.9,10512.0,11483.9,24193.3,11587973.3,0,0,0,0,0
rejected_stamp_removal,1,idle128,after,12308.8,12006.6,12540.0,26967.7,10399042.4,0,0,0,0,0
rejected_stamp_removal,1,idle1024,before,133341.6,132523.3,133983.0,292156.7,7679523.8,0,0,0,0,0
rejected_stamp_removal,1,idle1024,after,139292.2,137687.9,142066.0,304136.4,7351454.5,0,0,0,0,0
rejected_stamp_removal,1,active128,before,10184.6,10157.0,10401.9,22319.6,12567956.1,0,0,0,0,0
rejected_stamp_removal,1,active128,after,10866.4,10759.5,11074.2,23817.7,11779423.4,0,0,0,0,0
rejected_stamp_removal,1,reorder128,before,17665.3,17526.4,18566.1,38709.3,7245845.4,0,0,0,0,0
rejected_stamp_removal,1,reorder128,after,20157.1,19544.4,20548.4,43836.9,6350114.5,0,0,0,0,0
rejected_stamp_removal,1,duplicate128,before,16103.3,15952.6,16838.7,35286.9,7948695.4,0,0,0,0,0
rejected_stamp_removal,1,duplicate128,after,14857.8,14726.5,15132.7,32571.4,8614989.2,0,0,0,0,0
rejected_stamp_removal,1,expire128_keep0,before,14656.2,13953.3,56722.9,34332.0,8733475.5,0,0,128,0,241664
rejected_stamp_removal,1,expire128_keep0,after,11553.7,11096.3,12069.1,27353.0,11078691.6,0,0,128,0,241664
rejected_stamp_removal,1,expire128_keep64,before,8362.3,8247.7,8543.2,20216.7,15306785.0,0,0,64,0,120832
rejected_stamp_removal,1,expire128_keep64,after,7074.8,6870.9,7286.3,17227.7,18092372.2,0,0,64,0,120832
rejected_stamp_removal,2,idle16,after,1038.0,962.2,1107.9,2275.7,15413525.9,0,0,0,0,0
rejected_stamp_removal,2,idle16,before,1018.5,953.3,1068.3,2233.6,15710039.3,0,0,0,0,0
