run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,panes/0-empty-15,old,18.3,18.3,18.3,40.3,54734537.5,0,0,0,0,0
1,old-first,panes/0-empty-15,new,18.6,18.6,22.7,41.1,53676865.3,0,0,0,0,0
1,old-first,panes/1-gs-15,old,124.7,123.6,139.8,273.9,8018603.2,1,0,1,8,8
1,old-first,panes/1-gs-15,new,46.5,46.5,48.2,102.2,21505376.3,0,0,0,0,0
1,old-first,panes/5-mixed-15,old,154.4,153.1,189.0,337.0,6475845.1,1,0,1,40,40
1,old-first,panes/5-mixed-15,new,78.5,77.4,84.1,172.5,12738853.5,0,0,0,0,0
1,old-first,panes/8-tournaments-15,old,1304.0,1272.2,1330.6,2856.4,766859.4,1,0,1,64,64
1,old-first,panes/8-tournaments-15,new,602.5,588.8,615.3,1321.6,1659751.0,0,0,0,0,0
1,old-first,panes/8-mixed-0,old,167.7,161.2,187.0,367.9,5962318.1,1,0,1,64,64
1,old-first,panes/8-mixed-0,new,86.0,84.7,104.1,188.4,11629259.2,0,0,0,0,0
1,old-first,panes/9-mixed-15,old,211.5,204.3,223.4,463.8,4728132.4,1,0,1,72,72
1,old-first,panes/9-mixed-15,new,233.0,218.9,241.7,511.0,4291108.8,1,0,1,72,72
1,old-first,panes/64-tournaments-15,old,9984.3,9766.9,10260.6,21833.2,100157.5,1,0,1,512,512
1,old-first,panes/64-tournaments-15,new,4895.2,4780.4,5119.7,10730.8,204282.6,1,0,1,512,512
1,old-first,compare/ascii-early,old,29.7,28.5,31.1,65.3,33627009.2,0,0,0,0,0
1,old-first,compare/ascii-early,new,7.3,6.7,7.8,15.9,137136588.0,0,0,0,0,0
1,old-first,compare/ascii-prefix,old,570.5,563.7,573.1,1250.6,1752799.2,0,0,0,0,0
1,old-first,compare/ascii-prefix,new,47.8,46.7,52.2,104.9,20917001.3,0,0,0,0,0
1,old-first,compare/equal,old,243.1,226.6,253.0,532.9,4113432.0,0,0,0,0,0
1,old-first,compare/equal,new,24.2,21.4,26.3,53.0,41394155.1,0,0,0,0,0
1,old-first,compare/unicode-first,old,63.3,56.8,64.1,138.5,15801283.1,0,0,0,0,0
1,old-first,compare/unicode-first,new,61.7,60.3,65.9,135.4,16202728.5,0,0,0,0,0
1,old-first,compare/unicode-late,old,257.2,250.3,262.7,563.5,3887722.6,0,0,0,0,0
1,old-first,compare/unicode-late,new,116.9,116.5,118.0,256.1,8552125.2,0,0,0,0,0
1,old-first,compare/empty,old,9.5,9.0,12.0,21.0,104865771.8,0,0,0,0,0
1,old-first,compare/empty,new,5.5,5.5,5.6,12.2,181028240.4,0,0,0,0,0
1,old-first,sort/ascii,old,2923568.8,2852100.0,3086909.4,6407657.7,350256.9,2,0,2,16384,16384
1,old-first,sort/ascii,new,336081.2,329993.8,355312.5,735908.1,3046882.3,2,0,2,16384,16384
1,old-first,sort/mixed,old,2998346.9,2932184.4,3087993.8,6570211.2,341521.5,2,0,2,16384,16384
1,old-first,sort/mixed,new,768659.4,760262.5,776715.6,1683976.6,1332189.6,2,0,2,16384,16384
1,old-first,sort/unicode,old,3143003.1,3051625.0,3217087.5,6886716.4,325803.0,2,0,2,16384,16384
1,old-first,sort/unicode,new,3145328.1,3099956.2,3268246.9,6893088.8,325562.2,2,0,2,16384,16384
1,old-first,history/flat,old,55463850.0,54707250.0,56336125.0,121434587.8,9231.2,5169,5128,5169,1191748,1191748
1,old-first,history/flat,new,688275.0,673225.0,693725.0,1507361.5,743888.7,555,4,555,13604,13604
1,old-first,count/flat,old,54724850.0,53618800.0,56125050.0,119822028.5,9355.9,5133,5128,5133,1187446,1187446
1,old-first,count/flat,new,707025.0,617450.0,731950.0,1555267.2,724161.1,519,4,519,9302,9302
1,old-first,history/sharded,old,28585375.0,27775400.0,29156900.0,62574127.0,17911.3,2673,2630,2673,624240,624240
1,old-first,history/sharded,new,1113250.0,1047275.0,1159400.0,2440017.0,459914.7,595,45,595,22703,22703
1,old-first,count/sharded,old,28162900.0,26833675.0,29223500.0,61656946.2,18179.9,2637,2630,2637,619944,619944
1,old-first,count/sharded,new,1048200.0,1014800.0,1167675.0,2297397.0,488456.4,559,45,559,18407,18407
1,old-first,history/empty,old,216400.0,201600.0,229000.0,476150.5,4621.1,12,10,12,2452,2452
1,old-first,history/empty,new,97000.0,94050.0,128975.0,209293.2,10309.3,6,5,6,1226,1226
1,old-first,count/empty,old,241525.0,211825.0,257150.0,530641.2,4140.4,13,10,13,2580,2580
1,old-first,count/empty,new,127550.0,124250.0,153200.0,280521.0,7840.1,7,5,7,1354,1354
2,new-first,panes/0-empty-15,new,17.4,17.4,18.5,38.3,57504312.8,0,0,0,0,0
2,new-first,panes/0-empty-15,old,18.3,17.6,22.3,40.5,54585152.8,0,0,0,0,0
2,new-first,panes/1-gs-15,new,44.6,42.9,57.1,97.9,22416498.5,0,0,0,0,0
2,new-first,panes/1-gs-15,old,113.0,106.0,123.9,245.9,8851124.1,1,0,1,8,8
2,new-first,panes/5-mixed-15,new,76.3,66.8,82.6,167.6,13107877.8,0,0,0,0,0
2,new-first,panes/5-mixed-15,old,143.8,129.4,161.8,314.9,6952169.1,1,0,1,40,40
2,new-first,panes/8-tournaments-15,new,576.3,544.6,622.2,1264.3,1735297.7,0,0,0,0,0
2,new-first,panes/8-tournaments-15,old,1225.9,1180.1,1245.3,2687.6,815747.2,1,0,1,64,64
2,new-first,panes/8-mixed-0,new,88.0,72.8,94.7,192.7,11362345.2,0,0,0,0,0
2,new-first,panes/8-mixed-0,old,142.7,133.5,171.0,312.9,7008690.8,1,0,1,64,64
2,new-first,panes/9-mixed-15,new,222.3,177.4,263.8,487.8,4498223.2,1,0,1,72,72
2,new-first,panes/9-mixed-15,old,214.3,205.9,225.7,470.0,4666791.1,1,0,1,72,72
2,new-first,panes/64-tournaments-15,new,4959.1,4912.2,5071.4,10871.3,201647.9,1,0,1,512,512
2,new-first,panes/64-tournaments-15,old,9753.8,9495.2,10157.8,21377.4,102524.2,1,0,1,512,512
2,new-first,compare/ascii-early,new,6.4,5.5,9.8,14.1,155957579.5,0,0,0,0,0
2,new-first,compare/ascii-early,old,30.7,27.7,37.8,67.4,32533021.0,0,0,0,0,0
2,new-first,compare/ascii-prefix,new,48.1,43.1,59.4,105.5,20794343.9,0,0,0,0,0
2,new-first,compare/ascii-prefix,old,586.7,561.6,602.3,1286.3,1704367.3,0,0,0,0,0
2,new-first,compare/equal,new,22.3,20.8,28.1,48.8,44927666.5,0,0,0,0,0
2,new-first,compare/equal,old,241.9,233.0,253.0,530.4,4134623.3,0,0,0,0,0
2,new-first,compare/unicode-first,new,59.9,51.8,63.1,131.2,16703414.2,0,0,0,0,0
2,new-first,compare/unicode-first,old,61.7,59.8,65.1,135.2,16199578.8,0,0,0,0,0
2,new-first,compare/unicode-late,new,116.7,110.0,123.3,256.1,8567658.8,0,0,0,0,0
2,new-first,compare/unicode-late,old,254.0,242.1,275.8,556.8,3936573.9,0,0,0,0,0
2,new-first,compare/empty,new,5.5,4.8,6.5,12.1,181225081.6,0,0,0,0,0
2,new-first,compare/empty,old,9.1,7.6,12.2,19.9,110326566.6,0,0,0,0,0
2,new-first,sort/ascii,new,346781.2,330475.0,348859.4,759895.3,2952870.1,2,0,2,16384,16384
2,new-first,sort/ascii,old,2922228.1,2830756.2,2988425.0,6405380.4,350417.5,2,0,2,16384,16384
2,new-first,sort/mixed,new,734640.6,687009.4,748562.5,1610574.4,1393878.8,2,0,2,16384,16384
2,new-first,sort/mixed,old,2872540.6,2799087.5,2955425.0,6297379.5,356478.9,2,0,2,16384,16384
2,new-first,sort/unicode,new,3106718.8,3086637.5,3175378.1,6808787.2,329608.2,2,0,2,16384,16384
2,new-first,sort/unicode,old,3076815.6,3027131.2,3120440.6,6741153.7,332811.6,2,0,2,16384,16384
2,new-first,history/flat,new,683350.0,612800.0,692850.0,1493697.5,749250.0,555,4,555,13604,13604
2,new-first,history/flat,old,53547400.0,51793700.0,54913750.0,117212287.2,9561.6,5169,5128,5169,1191748,1191748
2,new-first,count/flat,new,684175.0,612725.0,741050.0,1500886.0,748346.5,519,4,519,9302,9302
2,new-first,count/flat,old,52946200.0,51976875.0,54003000.0,115901706.2,9670.2,5133,5128,5133,1187446,1187446
2,new-first,history/sharded,new,1044425.0,992800.0,1141625.0,2288836.2,490221.9,595,45,595,22703,22703
2,new-first,history/sharded,old,27377375.0,27178825.0,28408100.0,59946109.0,18701.6,2673,2630,2673,624240,624240
2,new-first,count/sharded,new,994425.0,951450.0,1103850.0,2179689.8,514870.4,559,45,559,18407,18407
2,new-first,count/sharded,old,27219175.0,26674150.0,28212800.0,59571312.8,18810.3,2637,2630,2637,619944,619944
2,new-first,history/empty,new,96875.0,86000.0,99650.0,213189.2,10322.6,6,5,6,1226,1226
2,new-first,history/empty,old,183875.0,167125.0,188900.0,398392.2,5438.5,12,10,12,2452,2452
2,new-first,count/empty,new,131325.0,128150.0,164150.0,285459.8,7614.7,7,5,7,1354,1354
2,new-first,count/empty,old,218450.0,213700.0,259750.0,479991.5,4577.7,13,10,13,2580,2580
3,old-first,panes/0-empty-15,old,17.1,17.1,21.9,37.6,58582308.1,0,0,0,0,0
3,old-first,panes/0-empty-15,new,20.2,18.0,21.8,44.5,49529470.0,0,0,0,0,0
3,old-first,panes/1-gs-15,old,125.5,118.9,141.1,275.1,7968762.5,1,0,1,8,8
3,old-first,panes/1-gs-15,new,43.4,42.0,52.1,95.4,23046785.0,0,0,0,0,0
3,old-first,panes/5-mixed-15,old,147.2,136.0,180.7,322.5,6794401.4,1,0,1,40,40
3,old-first,panes/5-mixed-15,new,76.6,71.0,84.5,168.4,13049719.4,0,0,0,0,0
3,old-first,panes/8-tournaments-15,old,1242.4,1139.9,1290.8,2723.3,804919.7,1,0,1,64,64
3,old-first,panes/8-tournaments-15,new,594.1,515.0,616.5,1302.8,1683331.7,0,0,0,0,0
3,old-first,panes/8-mixed-0,old,175.9,144.9,186.9,386.0,5683432.8,1,0,1,64,64
3,old-first,panes/8-mixed-0,new,80.0,72.1,96.3,175.7,12500000.0,0,0,0,0,0
3,old-first,panes/9-mixed-15,old,198.2,169.9,239.4,434.6,5045408.7,1,0,1,72,72
3,old-first,panes/9-mixed-15,new,214.8,179.6,239.0,470.8,4654843.4,1,0,1,72,72
3,old-first,panes/64-tournaments-15,old,9621.4,9389.0,9820.1,21088.7,103935.2,1,0,1,512,512
3,old-first,panes/64-tournaments-15,new,5019.4,4853.4,5072.4,10976.1,199228.6,1,0,1,512,512
3,old-first,compare/ascii-early,old,30.8,24.9,33.3,67.1,32475967.8,0,0,0,0,0
3,old-first,compare/ascii-early,new,7.8,6.1,10.7,17.2,128172263.5,0,0,0,0,0
3,old-first,compare/ascii-prefix,old,547.3,524.2,563.8,1199.8,1827278.3,0,0,0,0,0
3,old-first,compare/ascii-prefix,new,50.3,43.1,56.5,110.3,19891788.7,0,0,0,0,0
3,old-first,compare/equal,old,245.0,234.7,252.1,537.0,4082365.8,0,0,0,0,0
3,old-first,compare/equal,new,24.5,23.3,25.3,53.9,40743155.1,0,0,0,0,0
3,old-first,compare/unicode-first,old,58.7,55.3,62.6,128.4,17041581.5,0,0,0,0,0
3,old-first,compare/unicode-first,new,58.9,52.8,63.2,129.2,16986003.5,0,0,0,0,0
3,old-first,compare/unicode-late,old,252.1,223.4,262.9,552.5,3967026.1,0,0,0,0,0
3,old-first,compare/unicode-late,new,113.3,101.6,121.0,248.5,8825190.6,0,0,0,0,0
3,old-first,compare/empty,old,10.1,9.0,12.0,22.2,98931539.4,0,0,0,0,0
3,old-first,compare/empty,new,6.7,5.4,7.7,14.7,149925037.5,0,0,0,0,0
3,old-first,sort/ascii,old,2859312.5,2784075.0,2970725.0,6266553.4,358128.0,2,0,2,16384,16384
3,old-first,sort/ascii,new,349806.2,343968.8,360343.8,766905.5,2927334.8,2,0,2,16384,16384
3,old-first,sort/mixed,old,2850893.8,2754443.8,2963943.8,6245070.0,359185.6,2,0,2,16384,16384
3,old-first,sort/mixed,new,767256.2,686712.5,796981.2,1681603.2,1334625.8,2,0,2,16384,16384
3,old-first,sort/unicode,old,3022181.2,2917478.1,3098696.9,6624537.5,338828.1,2,0,2,16384,16384
3,old-first,sort/unicode,new,3092225.0,3035443.8,3223156.2,6776314.9,331153.1,2,0,2,16384,16384
3,old-first,history/flat,old,53349975.0,52172375.0,54810075.0,116774988.0,9597.0,5169,5128,5169,1191748,1191748
3,old-first,history/flat,new,671325.0,630975.0,707650.0,1470101.2,762670.8,555,4,555,13604,13604
3,old-first,count/flat,old,54018250.0,52177150.0,55178750.0,118273787.8,9478.3,5133,5128,5133,1187446,1187446
3,old-first,count/flat,new,695725.0,648300.0,724425.0,1526677.5,735923.0,519,4,519,9302,9302
3,old-first,history/sharded,old,28789875.0,28474950.0,29066125.0,63022182.0,17784.0,2673,2630,2673,624240,624240
3,old-first,history/sharded,new,1086225.0,983575.0,1173775.0,2378666.8,471357.2,595,45,595,22703,22703
3,old-first,count/sharded,old,27950025.0,26589675.0,29291600.0,61182990.5,18318.4,2637,2630,2637,619944,619944
3,old-first,count/sharded,new,1132925.0,1074125.0,1162425.0,2477935.8,451927.5,559,45,559,18407,18407
3,old-first,history/empty,old,201800.0,177975.0,222825.0,441579.0,4955.4,12,10,12,2452,2452
3,old-first,history/empty,new,94775.0,84900.0,117650.0,208470.2,10551.3,6,5,6,1226,1226
3,old-first,count/empty,old,242600.0,228925.0,259850.0,533110.8,4122.0,13,10,13,2580,2580
3,old-first,count/empty,new,141450.0,131325.0,175650.0,311031.5,7069.6,7,5,7,1354,1354
4,new-first,panes/0-empty-15,new,19.8,18.6,22.7,42.5,50403225.8,0,0,0,0,0
4,new-first,panes/0-empty-15,old,18.3,17.6,19.6,40.3,54674685.6,0,0,0,0,0
4,new-first,panes/1-gs-15,new,42.2,40.2,45.8,92.9,23668639.1,0,0,0,0,0
4,new-first,panes/1-gs-15,old,123.2,111.2,137.7,270.0,8114907.1,1,0,1,8,8
4,new-first,panes/5-mixed-15,new,77.9,77.3,86.0,170.5,12841916.0,0,0,0,0,0
4,new-first,panes/5-mixed-15,old,152.7,149.9,170.6,334.8,6547502.1,1,0,1,40,40
4,new-first,panes/8-tournaments-15,new,598.9,555.6,608.3,1313.4,1669644.2,0,0,0,0,0
4,new-first,panes/8-tournaments-15,old,1257.0,1208.9,1317.2,2756.2,795551.3,1,0,1,64,64
4,new-first,panes/8-mixed-0,new,85.5,84.4,94.8,187.3,11695906.4,0,0,0,0,0
4,new-first,panes/8-mixed-0,old,165.7,155.2,176.9,363.8,6035367.3,1,0,1,64,64
4,new-first,panes/9-mixed-15,new,214.1,207.7,226.1,469.3,4671151.0,1,0,1,72,72
4,new-first,panes/9-mixed-15,old,202.6,184.4,223.2,444.4,4936321.5,1,0,1,72,72
4,new-first,panes/64-tournaments-15,new,5045.9,4950.1,5079.3,11058.6,198181.9,1,0,1,512,512
4,new-first,panes/64-tournaments-15,old,10005.3,9914.2,10280.4,21926.2,99947.2,1,0,1,512,512
4,new-first,compare/ascii-early,new,6.7,6.5,8.5,14.8,148411991.7,0,0,0,0,0
4,new-first,compare/ascii-early,old,46.8,46.0,48.0,102.6,21383056.1,0,0,0,0,0
4,new-first,compare/ascii-prefix,new,51.4,47.6,53.9,112.7,19461310.9,0,0,0,0,0
4,new-first,compare/ascii-prefix,old,594.9,584.5,604.9,1304.1,1681084.8,0,0,0,0,0
4,new-first,compare/equal,new,25.1,24.3,27.3,54.9,39907414.8,0,0,0,0,0
4,new-first,compare/equal,old,247.6,244.4,254.3,542.7,4039326.9,0,0,0,0,0
4,new-first,compare/unicode-first,new,62.0,59.5,62.8,135.9,16133195.7,0,0,0,0,0
4,new-first,compare/unicode-first,old,68.9,62.5,73.5,151.1,14515473.5,0,0,0,0,0
4,new-first,compare/unicode-late,new,118.0,112.2,125.1,258.7,8473858.1,0,0,0,0,0
4,new-first,compare/unicode-late,old,262.1,256.4,273.2,573.2,3815395.9,0,0,0,0,0
4,new-first,compare/empty,new,6.7,5.5,15.9,14.7,150150150.2,0,0,0,0,0
4,new-first,compare/empty,old,9.2,9.0,11.4,20.3,108436347.9,0,0,0,0,0
