run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,lobby_text_0,old,700.0,621.9,767.2,1542.5,1428571.4,5,1,5,386,386
1,old-first,lobby_text_0,new,237.1,235.7,357.8,524.3,4217462.9,1,1,1,123,123
1,old-first,lobby_snapshot_0,old,319.1,277.9,346.8,701.3,3133414.9,4,0,4,46,46
1,old-first,lobby_snapshot_0,new,31.9,29.8,43.3,70.8,31362940.3,0,0,0,0,0
1,old-first,lobby_text_2,old,5207.2,5019.5,5528.3,11396.9,384081.6,21,8,21,1215,1215
1,old-first,lobby_text_2,new,1746.7,1663.9,2113.9,3837.4,1145029.6,2,0,2,297,297
1,old-first,lobby_snapshot_2,old,584.7,575.2,687.5,1281.7,3420459.3,9,0,9,202,202
1,old-first,lobby_snapshot_2,new,70.0,60.8,88.2,154.4,28583391.5,0,0,0,0,0
1,old-first,lobby_text_8,old,14998.2,13912.5,15050.8,32820.8,533395.8,51,28,51,3203,3203
1,old-first,lobby_text_8,new,6242.4,5848.6,6334.6,13692.2,1281561.9,2,1,2,1001,1001
1,old-first,lobby_snapshot_8,old,1366.7,1310.1,1532.6,2995.8,5853519.1,21,0,21,670,670
1,old-first,lobby_snapshot_8,new,167.7,158.5,194.7,368.9,47711124.1,0,0,0,0,0
1,old-first,lobby_text_32,old,53189.3,52371.5,55025.4,116605.1,601625.2,171,104,171,13014,13014
1,old-first,lobby_text_32,new,23201.6,21707.2,23947.7,50860.1,1379217.5,2,3,2,4073,4073
1,old-first,lobby_snapshot_32,old,4920.2,4636.1,5072.3,10761.5,6503845.6,69,0,69,2564,2564
1,old-first,lobby_snapshot_32,new,523.3,453.4,582.3,1147.9,61145736.1,0,0,0,0,0
1,old-first,lobby_text_128,old,215391.6,209739.3,227290.4,471841.0,594266.4,651,396,651,52363,52363
1,old-first,lobby_text_128,new,89912.7,88364.5,92352.5,197047.1,1423603.2,2,5,2,16361,16361
1,old-first,lobby_snapshot_128,old,18193.6,17831.3,18680.7,39883.8,7035458.6,261,0,261,10176,10176
1,old-first,lobby_snapshot_128,new,1824.4,1762.7,1919.5,4001.7,70159511.8,0,0,0,0,0
1,old-first,lobby_snapshot_renamed,old,1562.1,1513.0,1842.6,3424.5,640160.0,21,0,21,670,734
1,old-first,lobby_snapshot_renamed,new,596.3,564.4,619.7,1309.6,1677039.0,8,0,8,64,128
1,old-first,lobby_snapshot_membership,old,1474.0,1441.1,1560.4,3234.2,678437.7,21,0,23,670,748
1,old-first,lobby_snapshot_membership,new,1221.4,1039.7,1275.0,2680.1,818708.8,17,0,19,624,702
1,old-first,wrap_empty,old,26.6,26.6,89.8,64.3,0.0,0,0,0,0,0
1,old-first,wrap_empty,new,28.5,27.3,28.5,68.6,0.0,0,0,0,0,0
1,old-first,wrap_short,old,1002.7,926.6,1132.0,2207.9,23934554.0,5,3,5,126,126
1,old-first,wrap_short,new,621.5,598.8,663.7,1368.4,38617221.9,2,2,2,80,80
1,old-first,wrap_paragraph,old,28602.3,27883.6,29730.1,62722.1,19718663.8,91,99,91,8520,8520
1,old-first,wrap_paragraph,new,11170.3,10580.1,12284.0,24496.5,50490977.8,2,3,2,684,684
1,old-first,wrap_path,old,236842.6,229536.7,245290.2,519058.3,4458657.8,1081,1063,1081,81058,81058
1,old-first,wrap_path,new,51832.4,50727.7,52928.5,113581.0,20373348.6,2,1,2,4224,4224
1,old-first,wrap_unicode,old,139619.1,136781.6,143352.7,305975.3,3667119.0,561,521,561,39279,39279
1,old-first,wrap_unicode,new,39814.8,38721.9,42152.3,87307.8,12859525.5,2,1,2,6656,6656
2,new-first,lobby_text_0,new,259.8,259.4,383.4,573.2,3849624.1,1,1,1,123,123
2,new-first,lobby_text_0,old,702.5,541.8,789.3,1546.4,1423408.4,5,1,5,386,386
2,new-first,lobby_snapshot_0,new,33.3,31.9,35.4,74.0,30029325.5,0,0,0,0,0
2,new-first,lobby_snapshot_0,old,296.9,268.7,317.4,652.7,3368421.1,4,0,4,46,46
2,new-first,lobby_text_2,new,1825.2,1671.1,2762.1,3999.4,1095773.1,2,0,2,297,297
2,new-first,lobby_text_2,old,4609.4,4356.6,5152.7,10111.6,433898.3,21,8,21,1215,1215
2,new-first,lobby_snapshot_2,new,65.3,64.5,68.5,144.0,30635751.7,0,0,0,0,0
2,new-first,lobby_snapshot_2,old,623.1,576.6,672.1,1366.5,3209528.3,9,0,9,202,202
2,new-first,lobby_text_8,new,6199.4,6054.5,6780.3,13560.6,1290444.5,2,1,2,1001,1001
2,new-first,lobby_text_8,old,16104.9,14321.7,17227.0,35274.3,496743.8,51,28,51,3203,3203
2,new-first,lobby_snapshot_8,new,157.4,157.2,160.6,346.5,50818858.6,0,0,0,0,0
2,new-first,lobby_snapshot_8,old,1467.7,1337.5,2027.8,3217.5,5450795.1,21,0,21,670,670
2,new-first,lobby_text_32,new,24270.5,23279.9,25402.0,53131.0,1318472.6,2,3,2,4073,4073
2,new-first,lobby_text_32,old,53065.0,52442.4,55796.5,116302.4,603033.6,171,104,171,13014,13014
2,new-first,lobby_snapshot_32,new,496.6,483.3,532.7,1087.9,64440511.3,0,0,0,0,0
2,new-first,lobby_snapshot_32,old,5010.6,4787.5,5287.4,10983.5,6386403.9,69,0,69,2564,2564
2,new-first,lobby_text_128,new,91257.4,89210.2,92397.7,199941.8,1402625.6,2,5,2,16361,16361
2,new-first,lobby_text_128,old,218526.6,213585.2,227439.3,478655.8,585741.1,651,396,651,52363,52363
2,new-first,lobby_snapshot_128,new,1921.8,1801.7,1990.8,4186.3,66603318.2,0,0,0,0,0
2,new-first,lobby_snapshot_128,old,18646.6,18032.5,19819.9,40868.0,6864528.8,261,0,261,10176,10176
2,new-first,lobby_snapshot_renamed,new,887.2,805.7,977.9,1945.7,1127132.6,8,0,8,64,128
2,new-first,lobby_snapshot_renamed,old,1358.2,1261.5,1444.8,2980.4,736266.9,21,0,21,670,734
2,new-first,lobby_snapshot_membership,new,1153.0,1101.8,1357.3,2523.0,867282.1,17,0,19,624,702
2,new-first,lobby_snapshot_membership,old,1390.2,1330.3,1609.1,3047.6,719328.4,21,0,23,670,748
2,new-first,wrap_empty,new,27.0,26.2,89.5,65.2,0.0,0,0,0,0,0
2,new-first,wrap_empty,old,27.7,25.8,94.9,66.0,0.0,0,0,0,0,0
2,new-first,wrap_short,new,623.4,560.9,732.8,1377.9,38496240.6,2,2,2,80,80
2,new-first,wrap_short,old,887.9,867.6,1044.5,1955.8,27030356.4,5,3,5,126,126
