run,order,workload,variant,median_ns,min_ns,max_ns,thread_cycles,units_per_second,allocations,reallocations,frees,allocated_bytes,freed_bytes
1,old-first,hold_complete_slots,old,968.7,961.1,1057.2,2109.2,1032336.1,0,0,0,0,0
1,old-first,hold_complete_slots,new,745.7,723.0,850.0,1609.0,1341104.1,0,0,0,0,0
1,old-first,roll_complete_slots,old,1105.5,1034.0,1174.6,2405.8,904573.7,0,0,0,0,0
1,old-first,roll_complete_slots,new,784.4,772.8,970.0,1719.9,1274860.7,0,0,0,0,0
1,old-first,hold_fallback_slots,old,755.3,722.4,916.5,1637.8,1324023.8,0,0,0,0,0
1,old-first,hold_fallback_slots,new,700.9,686.5,756.7,1534.5,1426730.3,0,0,0,0,0
1,old-first,roll_fallback_slots,old,840.3,803.8,858.9,1842.9,1190075.0,0,0,0,0,0
1,old-first,roll_fallback_slots,new,790.2,779.2,822.6,1728.2,1265447.4,0,0,0,0,0
1,old-first,tap_actor_0,old,64.8,64.1,65.6,150.9,15421686.7,0,0,0,0,0
1,old-first,tap_actor_0,new,57.0,57.0,57.8,135.5,17534246.6,0,0,0,0,0
1,old-first,tap_direct_0,old,66.4,66.4,66.4,156.1,15058823.5,0,0,0,0,0
1,old-first,tap_direct_0,new,55.5,55.5,55.5,132.0,18028169.0,0,0,0,0,0
1,old-first,tap_actor_1,old,4314.1,3939.1,4596.1,9479.7,231800.1,19,0,19,3003,3003
1,old-first,tap_actor_1,new,2855.5,2837.5,3233.6,6278.0,350205.2,4,0,4,2040,2040
1,old-first,tap_direct_1,old,4149.2,3824.2,6739.8,8802.3,241009.2,51,0,51,2880,2880
1,old-first,tap_direct_1,new,2288.3,2282.8,2638.3,5031.4,437009.2,26,0,26,1360,1360
1,old-first,tap_actor_4,old,13123.4,12756.2,14290.6,28783.7,76199.5,64,0,64,6111,6111
1,old-first,tap_actor_4,new,8941.4,8910.9,9315.6,19612.7,111839.2,7,0,7,3216,3216
1,old-first,tap_direct_4,old,17343.0,16985.9,19616.4,38052.4,57660.3,195,1,195,11212,11212
1,old-first,tap_direct_4,new,11272.7,10893.0,13028.1,24729.8,88710.2,99,0,99,5766,5766
1,old-first,tap_actor_8,old,26578.1,26179.7,28138.3,58294.4,37624.9,126,1,126,11935,11935
1,old-first,tap_actor_8,new,18541.4,18360.2,20289.8,40658.9,53933.3,14,0,14,6128,6128
1,old-first,tap_direct_8,old,34443.0,34114.1,39643.8,75526.9,29033.5,394,2,394,24156,24156
1,old-first,tap_direct_8,new,22604.7,22265.6,25815.6,49591.6,44238.6,202,1,202,13230,13230
1,old-first,tap_actor_32,old,110310.2,108651.6,116296.9,241326.5,9065.3,492,13,492,50283,50283
1,old-first,tap_actor_32,new,75246.9,72846.9,77793.0,164395.2,13289.6,44,12,44,27056,27056
1,old-first,tap_direct_32,old,151017.2,148050.8,157500.0,330585.9,6621.8,1546,18,1546,101612,101612
1,old-first,tap_direct_32,new,98957.0,96064.1,100738.3,216487.0,10105.4,778,17,778,57910,57910
1,old-first,tap_metric_direct_1,old,30340.6,29355.5,33379.7,66551.4,32959.1,94,0,94,11020,11020
