run,fixture,variant,median_ns,min_ns,max_ns,thread_cycles,operations_per_second,allocations,reallocations,frees
1,reuse-video,before,12.7,12.7,12.8,27.9,78627474.5,0,0,0
1,reuse-video,after,7.1,6.4,8.1,15.6,140228950.5,0,0,0
1,reuse-mixed,before,12.2,11.7,12.9,26.8,81833052.4,0,0,0
1,reuse-mixed,after,9.2,8.6,10.8,20.3,108140753.3,0,0,0
1,reuse-oversized,before,31.6,30.2,32.9,69.3,31663345.0,0,0,0
1,reuse-oversized,after,32.6,31.2,38.0,71.5,30668725.7,0,0,0
1,reuse-missing,before,9.0,8.4,10.6,19.8,110754151.0,0,0,0
1,reuse-missing,after,9.6,9.1,10.5,21.0,104506458.3,0,0,0
1,equal/0,before,1.4,1.4,1.7,3.2,689852631.6,0,0,0
1,equal/0,after,1.4,1.4,1.5,3.1,698305807.1,0,0,0
1,first/0,before,1.4,1.4,1.6,3.0,738018018.0,0,0,0
1,first/0,after,1.4,1.4,1.7,3.0,738225851.9,0,0,0
1,middle/0,before,1.6,1.4,1.9,3.6,609353788.9,0,0,0
1,middle/0,after,1.4,1.4,1.5,3.0,738018018.0,0,0,0
1,last/0,before,1.7,1.4,2.0,3.7,597138952.2,0,0,0
1,last/0,after,1.4,1.4,1.6,3.0,721166437.4,0,0,0
1,fit/0,before,1.4,1.4,1.4,3.0,738225851.9,0,0,0
1,fit/0,after,1.5,1.4,1.8,3.3,656837885.2,0,0,0
1,miss/0,before,1.4,1.4,1.5,3.1,698119840.2,0,0,0
1,miss/0,after,1.9,1.6,2.2,4.2,522719840.5,0,0,0
1,equal/1,before,2.3,2.3,2.7,5.1,430167377.7,0,0,0
1,equal/1,after,1.4,1.4,2.0,3.2,698305807.1,0,0,0
1,first/1,before,2.5,2.3,2.7,5.5,399062262.1,0,0,0
1,first/1,after,1.5,1.4,1.6,3.3,657661816.4,0,0,0
1,middle/1,before,2.3,2.2,3.4,5.1,428479895.4,0,0,0
1,middle/1,after,1.4,1.4,1.4,3.0,738225851.9,0,0,0
1,last/1,before,2.4,2.2,2.6,5.2,423017589.2,0,0,0
1,last/1,after,1.6,1.4,2.1,3.5,630760346.5,0,0,0
1,fit/1,before,2.3,2.2,3.0,5.1,432295514.5,0,0,0
1,fit/1,after,2.2,2.2,2.6,4.9,445823129.3,0,0,0
1,miss/1,before,2.3,2.2,2.8,5.1,430308601.4,0,0,0
1,miss/1,after,2.5,2.4,2.9,5.6,394795180.7,0,0,0
1,equal/3,before,5.8,5.6,7.4,12.6,172849795.6,0,0,0
1,equal/3,after,1.6,1.4,2.2,3.5,624747378.5,0,0,0
1,first/3,before,6.2,5.5,6.9,13.6,160411210.4,0,0,0
1,first/3,after,1.4,1.4,1.5,3.0,738225851.9,0,0,0
1,middle/3,before,5.8,5.4,6.6,12.8,171537756.8,0,0,0
1,middle/3,after,6.2,5.6,6.4,13.6,161468432.4,0,0,0
1,last/3,before,6.0,5.6,7.1,13.2,166061066.8,0,0,0
1,last/3,after,5.6,5.4,7.0,12.3,178560043.6,0,0,0
1,fit/3,before,5.8,5.4,7.1,12.7,172565334.7,0,0,0
1,fit/3,after,6.3,5.9,6.4,13.7,159785444.3,0,0,0
1,miss/3,before,3.6,3.3,4.2,7.9,278906266.6,0,0,0
1,miss/3,after,3.8,3.5,4.0,8.4,262301380.8,0,0,0
1,equal/8,before,9.2,8.4,10.5,20.1,108990520.5,0,0,0
1,equal/8,after,1.5,1.4,1.7,3.3,662816687.7,0,0,0
1,first/8,before,9.5,8.4,10.4,20.8,105639331.0,0,0,0
1,first/8,after,1.4,1.4,1.7,3.0,738225851.9,0,0,0
1,middle/8,before,9.1,8.4,9.7,20.1,109459267.6,0,0,0
1,middle/8,after,9.0,8.4,9.5,19.7,111541145.4,0,0,0
1,last/8,before,9.0,8.4,10.3,19.7,111593376.2,0,0,0
1,last/8,after,9.3,8.5,10.7,20.4,107488929.0,0,0,0
1,fit/8,before,8.9,8.4,9.2,19.5,112329776.7,0,0,0
1,fit/8,after,9.1,8.4,11.1,19.8,110441523.4,0,0,0
1,miss/8,before,9.0,7.2,9.6,19.6,111522164.6,0,0,0
1,miss/8,after,9.2,8.7,11.0,20.1,109017716.0,0,0,0
1,equal/32,before,28.8,26.5,31.2,63.2,34702674.1,0,0,0
1,equal/32,after,1.6,1.5,2.1,3.4,639375609.8,0,0,0
1,first/32,before,26.8,25.7,30.2,58.8,37303127.8,0,0,0
1,first/32,after,1.7,1.4,1.9,3.6,604575645.8,0,0,0
1,middle/32,before,30.4,26.4,31.8,66.7,32901663.0,0,0,0
1,middle/32,after,31.3,27.4,32.8,68.6,31901476.2,0,0,0
1,last/32,before,28.4,25.1,34.3,62.2,35219733.7,0,0,0
1,last/32,after,26.0,24.8,27.7,57.0,38464608.5,0,0,0
1,fit/32,before,24.8,24.0,26.6,54.5,40254910.1,0,0,0
1,fit/32,after,25.7,24.2,31.9,56.4,38908200.4,0,0,0
1,miss/32,before,24.4,23.4,29.2,53.6,40899928.2,0,0,0
1,miss/32,after,26.9,25.0,30.5,59.0,37137190.5,0,0,0
2,reuse-video,after,7.8,6.4,9.1,17.2,127545370.5,0,0,0
2,reuse-video,before,11.7,11.5,12.6,25.6,85589656.5,0,0,0
2,reuse-mixed,after,10.8,9.3,12.9,23.7,92499647.1,0,0,0
2,reuse-mixed,before,11.8,11.5,12.3,25.7,85034384.3,0,0,0
2,reuse-oversized,after,30.0,29.6,32.1,65.9,33286436.2,0,0,0
2,reuse-oversized,before,30.4,29.6,31.5,66.6,32911576.8,0,0,0
2,reuse-missing,after,9.3,8.6,9.7,20.4,107550668.7,0,0,0
2,reuse-missing,before,9.0,8.4,9.8,19.7,111593376.2,0,0,0
2,equal/0,after,1.4,1.4,1.7,3.1,718202739.7,0,0,0
2,equal/0,before,1.4,1.4,1.7,3.0,720175824.2,0,0,0
2,first/0,after,1.4,1.4,1.7,3.0,738225851.9,0,0,0
2,first/0,before,1.4,1.4,1.9,3.1,714288828.3,0,0,0
2,middle/0,after,1.4,1.4,1.6,3.0,738225851.9,0,0,0
2,middle/0,before,1.5,1.4,1.6,3.2,674759330.8,0,0,0
2,last/0,after,1.4,1.4,2.3,3.0,738225851.9,0,0,0
2,last/0,before,1.4,1.4,1.6,3.0,738018018.0,0,0,0
2,fit/0,after,1.4,1.4,1.8,3.0,707159428.1,0,0,0
2,fit/0,before,1.8,1.4,2.4,4.0,542741200.8,0,0,0
2,miss/0,after,1.4,1.4,1.7,3.0,738225851.9,0,0,0
2,miss/0,before,1.9,1.6,2.2,4.1,530655870.4,0,0,0
2,equal/1,after,1.4,1.4,2.0,3.0,707923305.4,0,0,0
2,equal/1,before,2.3,2.2,2.6,4.9,441245581.6,0,0,0
2,first/1,after,1.4,1.4,1.8,3.0,738018018.0,0,0,0
2,first/1,before,2.2,2.2,2.6,4.8,461358676.5,0,0,0
2,middle/1,after,1.4,1.4,1.8,3.0,737810301.2,0,0,0
2,middle/1,before,2.2,2.2,2.5,4.8,454164934.2,0,0,0
2,last/1,after,1.4,1.4,1.5,3.0,738018018.0,0,0,0
2,last/1,before,2.2,2.2,2.8,4.8,461358676.5,0,0,0
2,fit/1,after,2.4,2.2,2.6,5.0,425144339.9,0,0,0
2,fit/1,before,2.2,2.2,2.5,4.8,454007620.4,0,0,0
2,miss/1,after,2.5,2.4,3.4,5.4,402431685.6,0,0,0
2,miss/1,before,2.4,2.2,3.1,5.2,422949338.5,0,0,0
2,equal/3,after,1.5,1.4,1.9,3.0,678953639.0,0,0,0
2,equal/3,before,5.6,5.4,6.2,12.3,179084574.4,0,0,0
2,first/3,after,1.4,1.4,1.9,3.0,738225851.9,0,0,0
2,first/3,before,5.7,5.4,6.5,12.1,175136290.8,0,0,0
2,middle/3,after,5.7,5.4,6.3,12.5,175770417.1,0,0,0
2,middle/3,before,5.8,5.4,6.4,12.7,173444488.6,0,0,0
2,last/3,after,5.9,5.4,9.3,12.9,169694458.8,0,0,0
2,last/3,before,5.5,5.4,7.1,12.1,180838852.1,0,0,0
2,fit/3,after,6.2,5.4,6.5,13.5,161847255.7,0,0,0
2,fit/3,before,5.8,5.4,6.6,12.7,172259166.8,0,0,0
2,miss/3,after,3.6,3.5,4.6,7.8,280698147.6,0,0,0
2,miss/3,before,3.4,3.3,4.1,7.6,290721969.6,0,0,0
2,equal/8,after,1.4,1.4,1.9,3.0,738018018.0,0,0,0
2,equal/8,before,9.0,8.5,10.3,19.8,110735437.0,0,0,0
2,first/8,after,1.5,1.4,1.7,3.4,651613224.0,0,0,0
2,first/8,before,9.0,8.5,9.3,19.8,110627954.1,0,0,0
2,middle/8,after,9.3,8.6,10.0,20.3,107028130.5,0,0,0
2,middle/8,before,9.1,8.5,9.9,19.8,109720408.5,0,0,0
2,last/8,after,9.3,8.6,9.8,20.1,107581565.2,0,0,0
2,last/8,before,9.1,8.5,9.5,19.8,109354246.6,0,0,0
2,fit/8,after,9.6,8.8,11.2,20.7,104681734.7,0,0,0
2,fit/8,before,9.3,8.9,10.9,20.3,107971498.0,0,0,0
2,miss/8,after,8.3,7.5,9.1,17.8,121010017.1,0,0,0
2,miss/8,before,7.6,7.1,7.8,16.6,131426852.5,0,0,0
2,equal/32,after,1.4,1.4,1.6,3.0,738225851.9,0,0,0
2,equal/32,before,25.9,24.6,34.4,56.3,38627843.9,0,0,0
2,first/32,after,1.4,1.4,1.8,3.2,692403592.2,0,0,0
2,first/32,before,25.9,24.9,28.1,56.4,38553423.0,0,0,0
2,middle/32,after,33.5,24.9,35.3,73.5,29825695.2,0,0,0
2,middle/32,before,25.7,24.7,26.8,56.3,38903581.0,0,0,0
2,last/32,after,34.3,33.5,36.9,74.8,29167621.7,0,0,0
2,last/32,before,26.0,24.4,26.6,56.5,38428521.2,0,0,0
2,fit/32,after,34.9,34.1,35.7,75.5,28694148.3,0,0,0
2,fit/32,before,25.0,24.6,30.4,54.6,40064802.1,0,0,0
2,miss/32,after,21.4,21.1,22.8,46.6,46695523.6,0,0,0
2,miss/32,before,21.4,20.6,21.7,46.5,46807249.4,0,0,0
3,reuse-video,before,11.2,10.5,13.4,24.5,89383524.3,0,0,0
3,reuse-video,after,7.1,5.9,8.1,15.5,140907331.8,0,0,0
3,reuse-mixed,before,11.6,10.9,13.3,24.9,86373640.9,0,0,0
3,reuse-mixed,after,9.1,8.6,9.8,20.0,109624053.9,0,0,0
3,reuse-oversized,before,33.4,30.9,40.9,72.4,29970960.1,0,0,0
3,reuse-oversized,after,34.4,31.4,36.3,75.1,29098336.1,0,0,0
3,reuse-missing,before,11.0,9.7,11.6,23.8,90572504.6,0,0,0
3,reuse-missing,after,10.2,9.3,12.5,22.2,98446747.8,0,0,0
3,equal/0,before,1.8,1.6,2.3,3.9,558942430.7,0,0,0
3,equal/0,after,1.9,1.8,2.2,4.2,521887318.3,0,0,0
3,first/0,before,1.9,1.8,2.2,4.1,530333805.4,0,0,0
3,first/0,after,1.9,1.8,2.0,4.2,520850387.4,0,0,0
3,middle/0,before,1.5,1.4,2.0,3.3,661478677.8,0,0,0
3,middle/0,after,1.6,1.5,1.9,3.3,619432892.2,0,0,0
3,last/0,before,1.5,1.5,1.5,3.2,678075530.3,0,0,0
3,last/0,after,1.6,1.5,2.0,3.5,626389486.3,0,0,0
3,fit/0,before,1.8,1.8,2.0,3.9,558347177.8,0,0,0
3,fit/0,after,1.8,1.8,1.9,3.9,558466127.0,0,0,0
3,miss/0,before,1.5,1.5,1.7,3.2,678250970.2,0,0,0
3,miss/0,after,1.6,1.5,2.3,3.5,635038759.7,0,0,0
3,equal/1,before,2.5,2.4,2.8,5.6,395033152.5,0,0,0
3,equal/1,after,1.6,1.5,2.1,3.6,615217085.2,0,0,0
3,first/1,before,2.5,2.4,2.8,5.4,400036624.4,0,0,0
3,first/1,after,1.8,1.8,1.8,3.9,558466127.0,0,0,0
3,middle/1,before,2.9,2.9,3.1,6.3,345699591.2,0,0,0
3,middle/1,after,1.5,1.5,1.8,3.2,678250970.2,0,0,0
3,last/1,before,2.9,2.9,3.1,6.3,349152903.6,0,0,0
3,last/1,after,1.8,1.6,2.1,4.0,553163114.6,0,0,0
3,fit/1,before,2.8,2.4,3.2,6.2,353675121.4,0,0,0
3,fit/1,after,2.8,2.4,3.4,5.7,358806460.4,0,0,0
3,miss/1,before,2.7,2.4,2.9,5.8,369737658.7,0,0,0
3,miss/1,after,3.5,3.3,3.8,7.7,286152166.8,0,0,0
3,equal/3,before,7.5,6.3,8.3,15.6,133528932.4,0,0,0
3,equal/3,after,1.8,1.5,2.5,3.9,558228279.4,0,0,0
3,first/3,before,6.6,6.1,7.5,13.7,150813485.2,0,0,0
3,first/3,after,1.4,1.4,2.3,3.2,697191489.4,0,0,0
3,middle/3,before,6.4,5.4,8.3,14.0,155769207.9,0,0,0
3,middle/3,after,5.9,5.4,7.7,13.0,168473007.7,0,0,0
3,last/3,before,7.0,5.7,7.7,15.1,142183652.4,0,0,0
3,last/3,after,5.7,5.4,6.4,12.5,175640871.0,0,0,0
3,fit/3,before,6.0,5.4,6.3,13.1,166567543.5,0,0,0
3,fit/3,after,6.3,5.9,7.5,13.9,158146718.1,0,0,0
3,miss/3,before,3.7,3.4,4.1,8.1,271174097.4,0,0,0
3,miss/3,after,4.0,3.7,4.9,8.9,247445724.0,0,0,0
3,equal/8,before,9.8,9.5,10.7,21.3,101700807.0,0,0,0
3,equal/8,after,1.6,1.5,1.8,3.4,639375609.8,0,0,0
3,first/8,before,9.4,8.4,11.7,20.6,106679689.1,0,0,0
3,first/8,after,1.5,1.4,1.7,3.4,654541822.7,0,0,0
3,middle/8,before,9.8,9.2,11.4,21.5,101946021.6,0,0,0
3,middle/8,after,9.0,8.4,11.2,19.8,110875946.4,0,0,0
3,last/8,before,9.2,8.5,9.3,19.9,108786985.9,0,0,0
3,last/8,after,9.7,8.9,10.9,21.2,103450670.9,0,0,0
