affinity_mask,run,order,mode,case,version,median_ns,min_ns,max_ns,thread_cycles,items_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
2,1,old-first,untracked,sprites_layers,old,11080.5,5737.9,12228.1,25865.8,184829725.7,0,0,0,0,0
2,1,old-first,untracked,sprites_layers,new,3498.0,3275.0,3895.3,9336.5,585469570.1,0,0,0,0,0
2,1,old-first,untracked,sprites_16layers,old,3962.5,3886.7,4098.4,10409.1,516845425.9,0,0,0,0,0
2,1,old-first,untracked,sprites_16layers,new,3405.9,3312.5,3566.0,9058.7,601316664.8,0,0,0,0,0
2,1,old-first,untracked,sprites_same_z,old,3921.5,3634.8,4304.3,10139.0,522251220.2,0,0,0,0,0
2,1,old-first,untracked,sprites_same_z,new,3371.9,3245.7,3502.7,8986.6,607377201.1,0,0,0,0,0
2,1,old-first,untracked,sprites_textures,old,13040.6,12878.1,13601.2,30286.7,157047687.5,0,0,0,0,0
2,1,old-first,untracked,sprites_textures,new,12715.2,12409.0,13145.7,29000.6,161066633.9,0,0,0,0,0
2,1,old-first,untracked,sprites_fragmented,old,13514.5,13207.0,14230.1,31285.6,151541463.1,0,0,0,0,0
2,1,old-first,untracked,sprites_fragmented,new,13142.6,12580.9,14066.0,30656.2,155829395.2,0,0,0,0,0
2,1,old-first,untracked,meshes_layers,old,48756.2,48098.4,49589.8,108937.2,42004871.2,0,0,0,0,0
2,1,old-first,untracked,meshes_layers,new,48848.0,48491.8,49709.8,108637.1,41925934.2,0,0,0,0,0
2,1,old-first,untracked,meshes_same_z,old,47934.0,46475.4,54616.8,107035.4,42725428.0,0,0,0,0,0
2,1,old-first,untracked,meshes_same_z,new,47804.7,46468.8,49950.8,106966.0,42840987.1,0,0,0,0,0
2,1,old-first,untracked,meshes_cameras,old,58161.3,56758.6,59371.9,128536.1,35212400.9,0,0,0,0,0
2,1,old-first,untracked,meshes_cameras,new,57239.1,56546.5,58388.7,127099.9,35779761.4,0,0,0,0,0
2,1,old-first,untracked,tmesh_layers,old,70382.4,67840.2,71318.0,152681.1,29098174.6,0,0,0,0,0
2,1,old-first,untracked,tmesh_layers,new,68100.0,66752.7,70012.5,150740.7,30073421.4,0,0,0,0,0
2,1,old-first,untracked,tmesh_16layers,old,69515.6,68205.9,73287.9,154874.4,29461002.5,0,0,0,0,0
2,1,old-first,untracked,tmesh_16layers,new,67935.9,66718.4,70354.7,150036.0,30146047.5,0,0,0,0,0
2,1,old-first,untracked,tmesh_depth,old,71206.2,69134.4,72238.7,156525.8,28761520.2,0,0,0,0,0
2,1,old-first,untracked,tmesh_depth,new,67296.5,66041.0,69122.3,149725.6,30432496.1,0,0,0,0,0
2,1,old-first,untracked,tmesh_cameras,old,76454.7,71967.6,90530.9,163717.0,26787108.4,0,0,0,0,0
2,1,old-first,untracked,tmesh_cameras,new,72528.5,70949.6,75854.3,160409.9,28237169.6,0,0,0,0,0
2,1,old-first,untracked,mixed,old,44701.6,42668.0,51540.6,99085.4,45814953.3,0,0,0,0,0
2,1,old-first,untracked,mixed,new,42549.2,41883.6,43728.1,94937.2,48132493.6,0,0,0,0,0
2,1,old-first,tracked,sprites_layers,old,6527.3,5937.1,6695.3,15126.7,313757031.7,0,0,0,0,0
2,1,old-first,tracked,sprites_layers,new,3648.8,3570.7,4496.9,9547.4,561276094.6,0,0,0,0,0
2,1,old-first,tracked,sprites_16layers,old,4011.3,3848.0,4271.9,10370.5,510554094.8,0,0,0,0,0
2,1,old-first,tracked,sprites_16layers,new,3705.9,3568.4,3820.7,9544.0,552638347.2,0,0,0,0,0
2,1,old-first,tracked,sprites_same_z,old,3701.6,3675.8,4057.0,9766.0,553279864.9,0,0,0,0,0
2,1,old-first,tracked,sprites_same_z,new,3679.7,3555.1,4131.6,9622.0,556569002.1,0,0,0,0,0
2,1,old-first,tracked,sprites_textures,old,17459.4,16797.7,17575.0,39812.7,117300877.0,0,0,0,0,0
2,1,old-first,tracked,sprites_textures,new,17914.1,16827.0,19618.0,41086.8,114323593.5,0,0,0,0,0
2,1,old-first,tracked,sprites_fragmented,old,18395.7,18164.1,20990.6,42131.1,111330346.3,0,0,0,0,0
2,1,old-first,tracked,sprites_fragmented,new,18426.6,18297.7,23203.5,42358.3,111143898.9,0,0,0,0,0
2,1,old-first,tracked,meshes_layers,old,49106.2,48623.8,52361.3,109551.1,41705485.6,0,0,0,0,0
2,1,old-first,tracked,meshes_layers,new,49940.2,48907.8,54022.7,111077.3,41009018.6,0,0,0,0,0
2,1,old-first,tracked,meshes_same_z,old,47659.4,47229.7,48994.5,105950.8,42971608.4,0,0,0,0,0
2,1,old-first,tracked,meshes_same_z,new,47301.2,46418.4,54180.9,105173.1,43297024.6,0,0,0,0,0
2,1,old-first,tracked,meshes_cameras,old,57408.6,57038.3,60367.2,127956.5,35674101.5,0,0,0,0,0
